Unnamed: 0,carts_carts-db,catalogue_catalogue-db,front-end_carts,front-end_catalogue,front-end_orders,front-end_user,orders_carts,orders_orders-db,orders_payment,orders_shipping,orders_user,queue-master_rabbitmq,shipping_rabbitmq,unknown_front-end,user_user-db
0,98.66986666666666,106.73973333333333,9.748001360544219,22.69724676616915,29.4703475826972,53.69047002398081,5.0503203980099505,1.1747999999999998,4.6928,4.447333333333333,15.253199156118143,5.922933333333333,0.0,671.4362,186.96660000000003
2,98.66986666666666,106.73973333333333,9.748001360544219,22.69724676616915,29.4703475826972,53.69047002398081,5.0503203980099505,1.1747999999999998,4.6928,4.447333333333333,15.253199156118143,5.922933333333333,0.0,671.4362,186.96660000000003
4,81.84662222222222,89.10857777777778,9.845698325722983,30.27660199750313,27.8918368159204,46.51584360141629,5.176583197831979,1.2201333333333333,4.379555555555555,4.447333333333334,13.887251851851852,4.9062222222222225,0.0001777777777777778,604.4470888888889,184.4646222222222
6,73.435,80.293,9.665653881278539,34.05684644194757,26.7883368159204,42.901710268082965,5.182227642276423,1.2428,4.222933333333334,4.447333333333333,13.190096296296296,4.397866666666667,0.0002666666666666667,570.9525333333332,183.21363333333332
8,68.38802666666666,75.00365333333335,9.557627214611873,36.32499310861422,26.1262368159204,40.73323026808295,5.185614308943089,1.2564,4.12896,4.447333333333333,12.771802962962964,4.092853333333332,0.00032,550.8558,182.46304
10,73.6176,80.51740000000002,9.197185287659202,34.25491020098596,26.067933333333336,43.51118176638177,5.236274074074075,1.2254666666666667,4.2069777777777775,4.541605962059622,13.26251235721703,4.412644444444444,0.00035555555555555557,574.3767111111111,180.61676666666668
12,77.35300952380952,84.45579047619049,9.251736081309994,32.81031337558914,26.304361904761908,45.519048433048425,5.328918518518519,1.2033714285714285,4.262704761904762,4.5799075493612085,13.651372674677349,4.641066666666666,0.000380952380952381,591.1773619047619,179.298
14,80.15456666666665,87.40958333333334,9.292649176548089,31.72686575654152,26.481683333333336,47.024948433048436,5.398401851851852,1.1868,4.3045,4.608633739837399,13.943017912772584,4.812383333333333,0.0004,603.7778500000002,178.308925
16,77.25568888888887,86.17434074074076,8.936467489711934,33.13432645502644,26.710729548526633,45.39435383341613,5.423033618233618,1.1623555555555556,4.242888888888889,4.580918518518518,14.072853574504737,4.648103703703704,0.0003555555555555556,590.1212148148147,179.69347407407406
18,74.93658666666666,85.18614666666669,8.812585267489712,34.24569238095238,26.67109547445256,44.13388272230502,5.437041025641026,1.1427999999999998,4.1936,4.591266666666667,14.113438759689922,4.516679999999999,0.00032,579.1959066666667,180.80111333333332
20,73.03913939393937,84.37762424242428,8.71122708567153,35.154991774891776,26.638667595664682,43.102588176850475,5.448501631701632,1.1267999999999998,4.153272727272727,4.599733333333333,14.146644820295982,4.409151515151516,0.0002909090909090909,570.2570181818182,181.70736363636365
22,75.2594111111111,83.81914444444446,8.861961960213488,34.35187380952381,688.1897427536231,729.0323777777778,5.201122222222221,1.1261333333333332,4.181066666666666,4.629238888888889,693.87043461231,4.458455555555555,0.0002666666666666667,577.8524277777777,180.1365611111111
24,75.34378888888887,81.39715555555556,8.905567515769043,34.55504047619047,687.5591260869566,729.1274222222222,5.175644444444444,1.1214666666666666,4.1639,4.619361111111111,693.5986123900877,4.381611111111111,0.0002666666666666667,577.016238888889,178.12748888888888
26,75.42816666666667,78.9751666666667,8.9491730713246,34.75820714285714,686.9285094202899,729.2224666666667,5.150166666666667,1.1168,4.146733333333334,4.609483333333333,693.3267901678655,4.3047666666666675,0.0002666666666666667,576.18005,176.11841666666666
28,73.91705555555555,79.48874444444445,8.910272594364699,33.84729678362572,757.8642888888888,790.8262,5.133598867313916,1.0688,4.100077777777778,4.580076923076923,760.8214722222223,4.279644444444443,0.0002666666666666667,567.2676166666668,170.14884999999998
30,72.40594444444443,80.00232222222223,8.817100372142477,32.94108567251461,758.1478944444444,789.9299333333333,5.044215533980583,1.0208,4.053422222222222,4.554676923076924,760.8701111111111,4.2545222222222225,0.0002666666666666667,558.3551833333335,164.17928333333333
32,70.8948333333333,80.5159,8.723928149920255,32.0348745614035,758.4315,789.0336666666667,4.95483220064725,0.9728,4.006766666666667,4.529276923076924,760.91875,4.2294,0.0002666666666666667,549.44275,158.20971666666665
34,69.1726200242898,76.94723861785006,8.643025304818998,31.722012005279716,758.0404252584495,788.3811969578483,4.840697151457285,0.9681107882342485,3.9856923516691847,4.455506031195913,760.5364039900471,4.114030507420243,0.0002666548179744661,538.057064376907,157.7312745756687
36,67.4504067152463,73.37857723570012,8.500841635279023,31.429570340834676,757.6493505168992,787.7287272490299,4.779997791286665,0.9634215764684972,3.9646180366717023,4.407490633820399,760.1540579800942,3.9986610148404877,0.00026664296928226544,526.6713787538139,157.25283248467076
38,65.72819340620279,69.80991585355015,8.358657965739049,31.137128676389633,757.2582757753488,787.0762575402115,4.7192984311160435,0.9587323647027458,3.94354372167422,4.359475236444885,759.7717119701413,3.883291522260731,0.0002666311205900649,515.2856931307207,156.7743903936728
40,64.1667562377727,68.83933019515237,8.906838310615987,30.507105956374062,757.1851366967798,786.36694049863,4.785330011891725,0.9594206993697679,3.9411587422453627,4.357369729312156,759.491677820294,3.8109352020568243,0.0002666311205900649,506.51585713297317,152.07181459271845
42,62.6053190693426,67.86874453675458,8.847456725897098,29.889935181945322,757.1119976182106,785.6576234570485,4.712846700786541,0.9601090340367904,3.916046490089232,4.324954071803487,759.2116436704465,3.738578881852918,0.0002666311205900649,497.7460211352256,147.3692387917642
