,Unnamed: 0,carts_carts-db,catalogue_catalogue-db,front-end_carts,front-end_catalogue,front-end_orders,front-end_user,orders_carts,orders_orders-db,orders_payment,orders_shipping,orders_user,queue-master_rabbitmq,shipping_rabbitmq,unknown_front-end,user_user-db
0,0,80.34506666666667,122.73493333333332,9.90763082437276,43.5111012987013,27.834305376344087,45.05611734693877,5.611545098039215,0.8185333333333333,3.7225333333333332,4.921089624724061,14.873547994467497,3.2274666666666665,0.0010666666666666667,560.4666666666667,204.47653333333335
1,2,80.34506666666667,122.73493333333332,9.90763082437276,43.5111012987013,27.834305376344087,45.05611734693877,5.611545098039215,0.8185333333333333,3.7225333333333332,4.921089624724061,14.873547994467497,3.2274666666666665,0.0010666666666666667,560.4666666666667,204.47653333333335
2,4,80.34506666666667,122.73493333333332,9.90763082437276,43.5111012987013,27.834305376344087,45.05611734693877,5.611545098039215,0.8185333333333333,3.7225333333333332,4.921089624724061,14.873547994467499,3.2274666666666665,0.0010666666666666667,560.4666666666667,204.47653333333335
3,6,83.49086666666666,107.11403333333332,9.715103973509933,40.24967083333333,27.858248018648023,42.71345276679842,5.504048039215687,1.0191666666666666,4.0684000000000005,4.938827777777777,15.464440046838408,4.2028,0.0008,607.9819666666666,197.19271666666668
4,8,85.37834666666667,97.74149333333332,9.559923973509934,38.30797083333333,27.974328018648023,41.295262766798416,5.410138039215687,1.1395466666666665,4.27592,4.948987777777777,15.718020046838408,4.788,0.00064,636.4911466666666,192.82242666666667
5,10,86.63666666666666,91.49313333333332,9.456470640176601,37.013504166666664,28.051714685314693,40.34980276679842,5.34753137254902,1.2198,4.414266666666666,4.95576111111111,15.887073380171742,5.178133333333332,0.0005333333333333334,655.4972666666666,189.90890000000002
6,12,83.68584761904764,96.24318095238097,9.466937704918035,38.47185679442508,349.92992491694343,41.801472066764866,5.456498841698842,1.1544761904761904,4.327676190476191,4.9160571428571425,15.286235790761703,4.904533333333333,0.00045714285714285724,642.6580666666667,188.29110476190476
7,14,81.47273333333335,99.80571666666665,9.425037704918033,39.50888536585366,349.867103488372,42.897654209622004,5.5193452702702706,1.1054833333333334,4.262733333333333,4.872514285714286,14.942742933618844,4.699333333333334,0.0004,633.0286666666667,187.07775833333332
8,16,79.75142222222223,102.57657777777779,9.392448816029145,40.31546314363143,349.8182423772609,43.75024032073311,5.568225825825826,1.0673777777777778,4.2122222222222225,4.838647619047618,14.675581822507734,4.539733333333333,0.0003555555555555556,625.5391333333333,186.13404444444444
9,18,81.80977333333335,98.20148,9.27009393939394,39.34894064785787,385.47034666666667,42.27264208067941,5.534811901565995,1.1187466666666668,376.79292,4.8622,15.094910123456792,4.7418933333333335,0.00032,637.68696,186.30118666666664
10,20,83.4938787878788,94.62185454545455,9.34699393939394,38.62639519331243,385.3062121212121,41.143258444315784,5.591324628838723,1.1607757575757576,376.85894545454545,4.910690909090909,15.459626487093155,4.9072969696969695,0.0002909090909090909,647.6260909090909,186.4379393939394
11,22,84.89730000000002,91.63883333333332,9.411077272727272,38.02427398119121,385.16943333333336,40.20210541401275,5.638418568232662,1.1958,376.9139666666667,4.9511,15.763556790123458,5.045133333333332,0.0002666666666666667,655.9087,186.55190000000002
12,24,83.45738888888889,91.74058888888885,9.386769005847952,38.576415277777784,385.18601666666666,40.068655158240865,5.751694444444444,1.1978000000000002,376.91481111111113,4.955333333333334,15.556705555555553,5.061388888888889,0.0002666666666666667,655.6404888888889,182.80624444444442
13,26,82.0174777777778,91.84234444444442,9.288696783625731,39.12079305555555,385.2026,39.9368384915742,5.754977777777778,1.1998000000000002,376.91565555555553,4.959566666666667,15.356644444444441,5.077644444444444,0.0002666666666666667,655.3722777777778,179.06058888888884
14,28,80.57756666666668,91.94409999999996,9.190624561403508,39.66517083333333,385.2191833333333,39.805021824907534,5.7582611111111115,1.2018000000000002,376.9165,4.9638,15.15658333333333,5.0939000000000005,0.0002666666666666667,655.1040666666668,175.3149333333333
15,30,80.43504444444446,91.92999999999996,9.213603020496224,39.57700555555555,385.1112611111111,39.992294300144316,5.701744444444445,1.2031333333333336,376.91372222222225,4.977844600938967,15.329856779246207,5.073211111111112,0.0002666666666666667,656.8534444444447,177.67022777777777
16,32,80.29252222222223,91.91589999999997,9.277247464940668,39.51227777777777,385.0033388888889,40.150966522366524,5.739672222222223,1.2044666666666668,376.91094444444445,4.9566779342722995,15.526184557023983,5.052522222222223,0.0002666666666666667,658.6028222222224,180.0255222222222
17,34,80.15,91.90179999999994,9.340891909385114,39.44754999999999,384.8954166666667,40.30963874458875,5.777600000000001,1.2058,376.90816666666666,4.935511267605634,15.722512334801756,5.031833333333334,0.0002666666666666667,660.3522000000003,182.3808166666667
18,36,79.66902222222222,91.72093333333328,9.518372222222222,39.10724789644012,384.9393333333333,39.971434132841345,5.755409829059831,1.2144666666666666,376.9015111111111,4.936988888888889,15.746752631578941,5.068777777777779,0.0002666666666666667,659.6380944444446,180.7731
19,38,79.18804444444444,91.54006666666662,9.605844444444443,38.7507645631068,384.98325,39.63120079950801,5.740270940170942,1.2231333333333332,376.8948555555556,4.9736777777777785,15.743552631578941,5.105722222222224,0.0002666666666666667,658.9239888888892,179.16538333333335
20,40,78.70706666666666,91.35919999999994,9.693316666666668,38.39428122977347,385.0271666666667,39.29096746617467,5.725132051282053,1.2317999999999998,376.8882,5.010366666666667,15.740352631578942,5.142666666666668,0.0002666666666666667,658.2098833333333,177.55766666666668
