,source,destination
0,front-end,catalogue
1,orders,orders-db
2,shipping,rabbitmq
3,front-end,carts
4,orders,carts
5,front-end,user
6,user,user-db
7,carts,carts-db
8,orders,payment
9,orders,shipping
10,orders,user
11,catalogue,catalogue-db
12,unknown,front-end
13,front-end,orders
14,queue-master,rabbitmq
15,orders,user
16,orders,carts
17,front-end,carts
18,front-end,catalogue
19,front-end,orders
20,orders,payment
21,orders,shipping
22,front-end,user
