,front-end_carts,orders_carts,front-end_catalogue,front-end_orders,orders_payment,orders_shipping,front-end_user,orders_user,carts_carts-db,catalogue_catalogue-db,orders_orders-db,queue-master_rabbitmq,shipping_rabbitmq,user_user-db
4,4.271255060728746,2.6268115942028984,2.535335689045936,16.9140625,2.5,2.5,2.627551020408163,2.6794554455445545,34.17986666666666,39.01681333333333,0.5162,2.05352,0.0,90.18852000000001
5,4.271255060728746,2.6268115942028984,2.535335689045936,16.9140625,2.5,2.5,2.627551020408163,2.6794554455445545,34.09523333333333,41.63153333333333,0.5474,2.1900666666666666,0.0,89.89386666666668
6,4.534412955465587,2.5919117647058827,2.5,17.291666666666668,2.5,2.517361111111111,2.5462962962962967,2.5517241379310347,33.77928571428571,39.53543809523809,0.5274,2.1102666666666665,0.0,89.86012380952381
7,4.534412955465587,2.5919117647058827,2.5,17.291666666666668,2.5,2.517361111111111,2.5462962962962967,2.5517241379310347,33.542325,37.963366666666666,0.5124,2.0504166666666666,0.0,89.83481666666668
8,4.534412955465587,2.5919117647058827,2.5,17.291666666666668,2.5,2.517361111111111,2.5462962962962967,2.5517241379310347,33.35802222222222,36.74064444444444,0.5007333333333333,2.0038666666666667,0.0,89.81513333333335
9,4.1881918819188195,2.6056338028169015,2.527173913043478,17.336956521739133,2.5,2.518939393939394,2.568149210903874,2.596852300242131,33.684326666666664,38.51092666666666,0.5286,2.1368666666666667,5.333333333333333e-05,89.13954000000003
10,4.1881918819188195,2.6056338028169015,2.527173913043478,17.336956521739133,2.5,2.518939393939394,2.568149210903874,2.596852300242131,33.95130303030302,39.959339393939395,0.5514,2.2456848484848484,9.696969696969698e-05,88.58678181818185
11,4.1881918819188195,2.6056338028169015,2.527173913043478,17.336956521739133,2.5,2.518939393939394,2.568149210903874,2.596852300242131,34.173783333333326,41.16635,0.5703999999999999,2.3363666666666663,0.00013333333333333334,88.12615000000001
12,4.3674698795180715,2.536231884057971,2.508169934640523,17.17153284671533,2.5,2.5,2.5823045267489713,2.6009501187648456,34.162977777777776,41.00115,0.5717333333333333,2.3304555555555555,0.00013333333333333334,89.51405000000001
13,4.3674698795180715,2.536231884057971,2.508169934640523,17.17153284671533,2.5,2.5,2.5823045267489713,2.6009501187648456,34.15217222222222,40.835950000000004,0.5730666666666666,2.3245444444444443,0.00013333333333333334,90.90195000000001
14,4.3674698795180715,2.536231884057971,2.508169934640523,17.17153284671533,2.5,2.5,2.5823045267489713,2.6009501187648456,34.14136666666666,40.670750000000005,0.5743999999999999,2.318633333333333,0.00013333333333333334,92.28985000000002
15,4.705882352941176,2.77027027027027,2.5836431226765804,335.33653846153845,2.5,2.542016806722689,2.6362928348909658,2.661290322580645,34.66188934256235,40.62726009303084,0.5757293369330932,2.331916487789703,0.00013333333333333334,91.33336698442328
16,4.705882352941176,2.77027027027027,2.5836431226765804,335.33653846153845,2.5,2.542016806722689,2.6362928348909658,2.661290322580645,35.18241201845803,40.58377018606168,0.5770586738661866,2.3451996422460724,0.00013333333333333334,90.37688396884654
17,4.705882352941176,2.77027027027027,2.5836431226765804,335.33653846153845,2.5,2.542016806722689,2.6362928348909658,2.661290322580645,35.70293469435372,40.54028027909252,0.5783880107992799,2.3584827967024418,0.00013333333333333334,89.4204009532698
18,375.0,375.0,2.5645756457564577,375.0,2.5,2.5,2.638081395348837,2.600250626566416,35.75652650936361,40.487915448474176,0.5770568520553637,2.345190974284651,0.00013333333333333334,89.74265942420492
19,375.0,375.0,2.5645756457564577,375.0,2.5,2.5,2.638081395348837,2.600250626566416,35.8101183243735,40.43555061785584,0.5757256933114474,2.33189915186686,0.00013333333333333334,90.06491789514001
20,375.0,375.0,2.5645756457564577,375.0,2.5,2.5,2.638081395348837,2.600250626566416,35.86371013938339,40.3831857872375,0.5743945345675311,2.3186073294490686,0.00013333333333333334,90.38717636607511
21,375.0,375.0,2.5448028673835124,375.0,2.5,2.588495575221239,2.646825396825397,2.6212938005390836,36.430037917161165,40.23879134279305,0.5683945345675311,2.2757517738935134,0.00013333333333333334,90.70752081051957
22,375.0,375.0,2.5448028673835124,375.0,2.5,2.588495575221239,2.646825396825397,2.6212938005390836,36.996365694938945,40.0943968983486,0.5623945345675311,2.232896218337958,0.00013333333333333334,91.02786525496403
23,375.0,375.0,2.5448028673835124,375.0,2.5,2.588495575221239,2.646825396825397,2.6212938005390836,37.562693472716724,39.950002453904155,0.5563945345675311,2.1900406627824025,0.00013333333333333334,91.34820969940849
24,375.0,375.0,2.5655430711610485,375.0,2.5,2.518382352941176,2.6088483146067416,2.566666666666667,37.988776806050055,39.93451912057082,0.5550612012341978,2.194473996115736,0.00013333333333333334,90.66563747718625
25,375.0,375.0,2.5655430711610485,375.0,2.5,2.518382352941176,2.6088483146067416,2.566666666666667,38.414860139383386,39.91903578723748,0.5537278679008645,2.1989073294490695,0.00013333333333333334,89.98306525496402
26,375.0,375.0,2.5655430711610485,375.0,2.5,2.518382352941176,2.6088483146067416,2.566666666666667,38.840943472716724,39.90355245390415,0.5523945345675311,2.2033406627824026,0.00013333333333333334,89.30049303274178
27,375.0,375.0,2.545787545787546,375.0,2.5185185185185186,2.5211864406779663,2.7921535893155265,2.8779069767441854,38.64482635237659,39.83590902753998,0.553398530967771,2.1959686194371444,0.00013333333333333334,89.48177604831854
28,375.0,375.0,2.545787545787546,375.0,2.5185185185185186,2.5211864406779663,2.7921535893155265,2.8779069767441854,38.448709232036464,39.76826560117581,0.554402527368011,2.1885965760918857,0.00013333333333333334,89.66305906389528
29,375.0,375.0,2.545787545787546,375.0,2.5185185185185186,2.5211864406779663,2.7921535893155265,2.8779069767441854,38.25259211169634,39.70062217481165,0.555406523768251,2.181224532746627,0.00013333333333333334,89.84434207947201
30,375.0,375.0,2.526690391459075,375.0,2.5,2.5442477876106193,2.62905604719764,2.604679802955665,38.81262251890867,39.660981449874434,0.5520710158455006,2.1856496884977514,0.00013333333333333334,89.51428916409246
