,Unnamed: 0,carts_carts-db,catalogue_catalogue-db,front-end_carts,front-end_catalogue,front-end_orders,front-end_user,orders_carts,orders_orders-db,orders_payment,orders_shipping,orders_user,queue-master_rabbitmq,shipping_rabbitmq,unknown_front-end,user_unknown,user_user-db
Unnamed: 0,1.0,0.8087712157184047,-0.7543091735930532,0.08395285694557478,-0.5856862883621913,0.7590921237974531,0.7881696268950814,-0.7199494520415003,-0.633151385610848,-0.7544572039881959,-0.6586831039356984,0.7864151886199663,-0.6089191135449855,0.09604450105848578,-0.7180103686173608,,0.7923394157726703
carts_carts-db,0.8087712157184047,1.0,-0.6807013672007032,0.36397693073448417,-0.710999712810365,0.8481972703702879,0.8576225621369034,-0.5714032072693734,-0.8068992820830927,-0.8374002408359852,-0.5633061037200959,0.8539837422128377,-0.7811328071088508,0.21655762820243923,-0.8398304688812105,,0.8472832840593005
catalogue_catalogue-db,-0.7543091735930532,-0.6807013672007032,1.0,0.036545526675697104,0.40028327513037437,-0.681336924151388,-0.6825307183396417,0.4353867880772739,0.5375606972716872,0.671323558448267,0.35809861990763797,-0.6823076043355333,0.5152766123927978,-0.03571984180777035,0.621915248833636,,-0.45505537757120484
front-end_carts,0.08395285694557478,0.36397693073448417,0.036545526675697104,1.0,-0.7278522895546182,0.16503344402412906,0.17056012314122498,0.3558923920369257,-0.7001469199154927,-0.5973343309314464,-0.5600034957229781,0.15808323937865779,-0.7235171576230885,0.8702576900126838,-0.6339761092852284,,0.1255960279591105
front-end_catalogue,-0.5856862883621913,-0.710999712810365,0.40028327513037437,-0.7278522895546182,1.0,-0.5042866299987997,-0.538004130826838,0.19328774056985726,0.8618435664601264,0.8333688902667535,0.8047352934000593,-0.5275231065741903,0.8818194721333925,-0.6692489662430902,0.8579719091824016,,-0.6047896262272612
front-end_orders,0.7590921237974531,0.8481972703702879,-0.681336924151388,0.16503344402412906,-0.5042866299987997,1.0,0.9963749197488087,-0.548301566152638,-0.7009828302463429,-0.7456581467414385,-0.3667966288228244,0.9968128952776171,-0.6620278621998108,-0.02133801044483924,-0.7428626545791456,,0.8042939850644235
front-end_user,0.7881696268950814,0.8576225621369034,-0.6825307183396417,0.17056012314122498,-0.538004130826838,0.9963749197488087,1.0,-0.5707553609513066,-0.72573903337571,-0.771162564483873,-0.41871462383590646,0.9998947454728256,-0.6890759974134186,0.008742598673729278,-0.7685617920357088,,0.8235899954317949
orders_carts,-0.7199494520415003,-0.5714032072693734,0.4353867880772739,0.3558923920369257,0.19328774056985726,-0.548301566152638,-0.5707553609513066,1.0,0.19268319458423286,0.28900553723685085,0.29920458180457327,-0.5753406490161189,0.161998340911849,0.34946882171777327,0.27092857642076423,,-0.7540853917505734
orders_orders-db,-0.633151385610848,-0.8068992820830927,0.5375606972716872,-0.7001469199154927,0.8618435664601264,-0.7009828302463429,-0.72573903337571,0.19268319458423286,1.0,0.9755962154205476,0.7563237120037168,-0.7158296820591684,0.9977373479820378,-0.6680893047648239,0.9917630132783506,,-0.5901382408993099
orders_payment,-0.7544572039881959,-0.8374002408359852,0.671323558448267,-0.5973343309314464,0.8333688902667535,-0.7456581467414385,-0.771162564483873,0.28900553723685085,0.9755962154205476,1.0,0.7825026728035471,-0.7623911932184524,0.9675205335964668,-0.6006640981996165,0.9939983796725778,,-0.607538964117073
orders_shipping,-0.6586831039356984,-0.5633061037200959,0.35809861990763797,-0.5600034957229781,0.8047352934000593,-0.3667966288228244,-0.41871462383590646,0.29920458180457327,0.7563237120037168,0.7825026728035471,1.0,-0.4083739798758965,0.7699634317859992,-0.6963074256017361,0.7695588169409088,,-0.44392252169358665
orders_user,0.7864151886199663,0.8539837422128377,-0.6823076043355333,0.15808323937865779,-0.5275231065741903,0.9968128952776171,0.9998947454728256,-0.5753406490161189,-0.7158296820591684,-0.7623911932184524,-0.4083739798758965,1.0,-0.6786246346352524,-0.005393295451446942,-0.7594464138168642,,0.8234571622260789
queue-master_rabbitmq,-0.6089191135449855,-0.7811328071088508,0.5152766123927978,-0.7235171576230885,0.8818194721333925,-0.6620278621998108,-0.6890759974134186,0.161998340911849,0.9977373479820378,0.9675205335964668,0.7699634317859992,-0.6786246346352524,1.0,-0.7033336999152455,0.9862724673942274,,-0.5663488863556171
shipping_rabbitmq,0.09604450105848578,0.21655762820243923,-0.03571984180777035,0.8702576900126838,-0.6692489662430902,-0.02133801044483924,0.008742598673729278,0.34946882171777327,-0.6680893047648239,-0.6006640981996165,-0.6963074256017361,-0.005393295451446942,-0.7033336999152455,1.0,-0.6154931391394699,,-0.0709837523107341
unknown_front-end,-0.7180103686173608,-0.8398304688812105,0.621915248833636,-0.6339761092852284,0.8579719091824016,-0.7428626545791456,-0.7685617920357088,0.27092857642076423,0.9917630132783506,0.9939983796725778,0.7695588169409088,-0.7594464138168642,0.9862724673942274,-0.6154931391394699,1.0,,-0.6310106840696648
user_unknown,,,,,,,,,,,,,,,,,
user_user-db,0.7923394157726703,0.8472832840593005,-0.45505537757120484,0.1255960279591105,-0.6047896262272612,0.8042939850644235,0.8235899954317949,-0.7540853917505734,-0.5901382408993099,-0.607538964117073,-0.44392252169358665,0.8234571622260789,-0.5663488863556171,-0.0709837523107341,-0.6310106840696648,,1.0
