,source,destination
0,carts,carts-db
1,catalogue,catalogue-db
2,front-end,user
3,orders,user
4,orders,shipping
5,user,user-db
6,front-end,carts
7,orders,carts
8,unknown,front-end
9,orders,orders-db
10,front-end,orders
11,queue-master,rabbitmq
12,front-end,catalogue
13,orders,payment
14,shipping,rabbitmq
15,front-end,orders
16,orders,payment
17,orders,shipping
18,front-end,user
19,orders,user
20,orders,carts
21,front-end,carts
22,front-end,catalogue
