Unnamed: 0,catalogue_catalogue-db,front-end_carts,front-end_catalogue,front-end_orders,front-end_user,orders_carts,orders_payment,orders_shipping,orders_user,unknown_front-end
0,931.1868879,49.08957845,37.63551051,129.2514535,31.0421204,12.1011396,7.608695652,23.55925325,22.64864865,60.10215664
2,938.3589032,43.17743764,31.46068889,106.1538462,39.28894205,7.617647059,7.470288625,12.67841012,19.5042709,66.81472081
4,925.6090021,32.65303758,30.27845975,242.6205451,31.15824083,11.8125,7.190195666,86.85446009,24.05181087,55.72687225
6,929.7069516,32.92439516,27.57762814,191.5843023,37.97058824,17.20238095,17.02525253,17.29965753,23.84079903,66.89044039
8,928.2796013,45.63880036,28.46326477,136.7647059,32.77600966,11.27877238,7.497402597,11.41640787,23.23511489,59.62121212
10,928.5489553,42.06164626,29.61054726,141.40625,31.25641955,13.26086957,9.475655431,21.02112676,23.14615385,60.9375
12,922.0315512,39.67232254,49.53226412,150.0833333,45.83870968,11.68402778,7.471091582,69.87179487,23.83979353,76.27610209
14,911.5254069,242.8246951,50.49537037,334.9264706,46.90836021,200.7857143,64.8313253,28.54081633,24.74294671,86.80104031
16,910.3358546,241.7284367,84.61962858,332.5945626,57.38762369,124.2045455,68.62121212,92.8248974,22.53955696,72.13578501
18,910.0654218,225.5464524,30.15695336,348.2586149,42.64560811,107.4615385,7.336032389,86.25,17.37296196,69.37086093
20,915.3708198,141.4832586,40.81269574,321.2578223,39.36485149,111.8740032,61.43192488,60.19097222,25.23960084,49.87704918
22,924.1189848,195.8970588,29.45225272,310.3209459,30.30533182,116.799569,23.04166667,54.49525745,22.93518519,43.87583893
24,925.7302441,240.5856325,27.16405076,307.3219814,31.16191413,125.8413462,61.35375494,77.12962963,23.38285318,55.81162325
26,921.1229469,232.6888112,52.4008206,333.4774194,50.30965046,194.5073892,7.636567164,21.01428571,24.83538778,70.40942928
28,920.8105515,197.3268678,39.07598228,269.8183761,34.73509611,82.16666667,7.500867553,65.45879121,22.76782853,61.48809524
30,917.8033806,229.6630647,37.37753295,279.521576,54.68806937,112.662037,10.7173913,28.62318841,20.87941788,63.19577735
32,921.3398805,241.2034407,67.54635167,289.8809524,54.26315789,113.6580882,10.89920949,26.06227106,24.509375,77.30446927
34,914.4092822,288.8865385,89.11586968,295.6810631,40.12492694,132.7097902,78.84917518,24.93208431,24.64880952,66.45274212
36,920.334404,291.5185289,45.36477411,327.8787879,48.76482154,117.5416667,67.33122363,58.67647059,26.51614679,67.28395062
38,927.3826396,63.60119048,53.79545455,249.7321429,53.14315853,26.25362319,24.58641975,29.36016512,23.15966387,77.69477054
40,926.2661409,54.36611186,31.20705739,229.8830409,45.19118394,18.55707763,50.58641975,24.08333333,24.9047619,58.75952122
42,929.8239003,36.84662906,35.87310308,142.2916667,41.12996032,11.65827199,22.60019841,12.07440476,23.62269689,58.06629834
44,930.4599084,31.70651491,49.50200688,184.5,33.44293273,11.35891304,35.27439024,23.80188679,25.40300546,53.01568154
46,920.2428242,48.39671564,99.27873563,212.8546099,38.69124859,12.7797619,21.73515249,12.61029412,22.51107656,67.8700361
48,913.3855792,32.82954603,69.56818182,161.8181818,39.15865385,11.56696429,8.767857143,12.07403651,24.54275158,70.47244094
50,915.6440838,49.75343155,54.68369724,137.9581737,43.10000601,11.93942355,18.84090909,12.70238095,24.50543478,66.18229855
52,900.7626256,66.06691729,46.81010614,296.7142857,65.87600114,38.87903226,42.65490534,95.5,29.91856061,74.85422741
54,911.1881798,59.61985931,36.59309441,226.5882353,56.48348572,22.50337838,42.29807692,20.92520492,29.72394171,54.5026178
56,919.6192466,33.21529229,28.46180677,275.9375,39.99190178,36.86538462,66.83911159,76.9921875,23.2484985,47.23183391
58,912.3018372,50.00854701,46.78800366,304.6153846,43.54973724,17.79597701,82.79040404,73.62264151,41.00117555,76.38888889
60,911.9836249,43.44160491,49.96886035,244.3125,43.40192465,11.22965642,64.66346154,53.57142857,27.18406593,69.4411415
