,Unnamed: 0,carts_carts-db,cartservice_redis-cart,catalogue_catalogue-db,checkoutservice_cartservice,checkoutservice_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,front-end_catalogue,front-end_user,frontend_adservice,frontend_cartservice,frontend_checkoutservice,frontend_currencyservice,frontend_productcatalogservice,frontend_recommendationservice,frontend_shippingservice,orders_orders-db,orders_payment,orders_user,queue-master_rabbitmq,recommendationservice_productcatalogservice,shipping_rabbitmq,unknown_front-end,unknown_frontend,unknown_redis-cart,user_user-db
0,0,0.042533333333333326,0.3272,0.0,5.384615384615384,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.470981058766391,42.5,5.0148809523809526,5.038424978063761,5.862099723485863,5.0,0.042533333333333326,0.0,0.0,0.0,5.01953125,0.0,0.0,19.029126213592235,0.0,0.0344
1,2,0.042533333333333326,0.3272,0.0,5.384615384615384,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.470981058766391,42.5,5.0148809523809526,5.038424978063761,5.862099723485863,5.0,0.042533333333333326,0.0,0.0,0.0,5.01953125,0.0,0.0,19.029126213592235,0.0,0.0344
2,4,0.042533333333333326,0.3272,0.0,5.384615384615384,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.470981058766391,42.5,5.0148809523809526,5.038424978063761,5.862099723485863,5.0,0.042533333333333326,0.0,0.0,0.0,5.01953125,0.0,0.0,19.029126213592235,0.0,0.0344
3,6,0.05316666666666666,0.38325,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.091743119266057,5.0,47.0,5.00499001996008,5.0125523110264165,5.361035907666001,5.0,0.05316666666666666,0.0,0.0,0.0002666666666666667,5.0,0.0,0.0,18.4051724137931,0.0,0.027566666666666663
4,8,0.05954666666666668,0.41688000000000003,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.091743119266057,5.0,47.0,5.00499001996008,5.0125523110264165,5.361035907666001,5.0,0.05954666666666668,0.0,0.0,0.00042666666666666667,5.0,0.0,0.0,18.4051724137931,0.0,0.023466666666666663
5,10,0.06380000000000001,0.43929999999999997,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.091743119266057,5.0,47.0,5.00499001996008,5.0125523110264165,5.361035907666001,5.0,0.06380000000000001,0.0,0.0,0.0005333333333333334,5.0,0.0,0.0,18.4051724137931,0.0,0.020733333333333333
6,12,0.06076190476190476,0.40882857142857143,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0859707132735,60.0,5.010460251046025,5.006297229219144,5.433484423339809,5.0,0.06076190476190476,0.0,0.0,0.00045714285714285724,5.0,0.00015238095238095242,0.0,18.008474576271187,0.0,0.01878095238095238
7,14,0.058483333333333325,0.385975,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0859707132735,60.0,5.010460251046025,5.006297229219144,5.433484423339809,5.0,0.058483333333333325,0.0,0.0,0.0004,5.0,0.0002666666666666667,0.0,18.008474576271187,0.0,0.017316666666666668
8,16,0.056711111111111115,0.36819999999999997,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0859707132735,60.0,5.010460251046025,5.006297229219144,5.433484423339809,5.0,0.056711111111111115,0.0,0.0,0.0003555555555555556,5.0,0.0003555555555555556,0.0,18.008474576271187,0.0,0.016177777777777777
9,18,0.059546666666666664,0.3793933333333333,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.046296296296297,5.033333333333333,54.16666666666667,5.0,5.0,5.405002744452286,5.0,0.059546666666666664,0.0,0.0,0.00032,5.0,0.00032,0.0,17.689075630252102,0.0,0.018000000000000002
10,20,0.06186666666666665,0.3885515151515151,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.046296296296297,5.033333333333333,54.16666666666667,5.0,5.0,5.405002744452286,5.0,0.06186666666666665,0.0,0.0,0.0002909090909090909,5.0,0.0002909090909090909,0.0,17.689075630252102,0.0,0.019490909090909087
11,22,0.06379999999999998,0.3961833333333333,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.046296296296297,5.033333333333333,54.16666666666667,5.0,5.0,5.405002744452286,5.0,0.06379999999999998,0.0,0.0,0.0002666666666666667,5.0,0.0002666666666666667,0.0,17.689075630252102,0.0,0.02073333333333333
