,Unnamed: 0,carts_carts-db,cartservice_redis-cart,checkoutservice_cartservice,checkoutservice_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,frontend_adservice,frontend_cartservice,frontend_checkoutservice,frontend_currencyservice,frontend_productcatalogservice,frontend_recommendationservice,frontend_shippingservice,orders_orders-db,queue-master_rabbitmq,recommendationservice_productcatalogservice,shipping_rabbitmq,unknown_frontend,user_user-db
0,0,0.042533333333333326,0.48640000000000005,5.0,5.0,5.0,5.0,5.0,5.0,5.0233644859813085,5.028901734104045,50.0,5.003949447077408,5.008597633384827,5.342436219906577,5.0,0.08506666666666667,0.0,5.0,0.0010666666666666667,17.066115702479337,0.02733333333333333
1,2,0.042533333333333326,0.48640000000000005,5.0,5.0,5.0,5.0,5.0,5.0,5.0233644859813085,5.028901734104045,50.0,5.003949447077408,5.008597633384827,5.342436219906577,5.0,0.08506666666666667,0.0,5.0,0.0010666666666666667,17.066115702479337,0.02733333333333333
2,4,0.056711111111111115,0.6131555555555556,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.028735632183908,75.0,5.003918495297807,5.0,5.532015065913371,5.0,0.07088888888888889,0.0,5.0,0.0007111111111111113,17.322834645669293,0.022933333333333337
3,6,0.0638,0.6765333333333334,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.028735632183908,75.0,5.003918495297807,5.0,5.532015065913371,5.0,0.0638,0.0,5.0,0.0005333333333333334,17.322834645669293,0.020733333333333333
4,8,0.06805333333333333,0.7145600000000001,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.028735632183908,75.0,5.003918495297807,5.0,5.532015065913371,5.0,0.059546666666666664,0.0,5.0,0.00042666666666666667,17.322834645669293,0.01941333333333333
5,10,0.0638,0.6604333333333332,5.0,5.0,5.0,5.0,5.0,5.0,5.024752475247524,5.090976409605417,75.00000000000001,5.085388994307401,5.042321644498187,5.210139384667688,5.0,0.0638,0.00017777777777777779,5.042006467941507,0.0003555555555555556,17.304347826086953,0.020733333333333333
6,12,0.06076190476190475,0.6217714285714286,5.0,5.0,5.0,5.0,5.0,5.0,5.024752475247524,5.090976409605417,75.00000000000001,5.085388994307401,5.042321644498187,5.210139384667688,5.0,0.06683809523809524,0.00030476190476190485,5.042006467941507,0.00030476190476190485,17.304347826086953,0.02167619047619048
7,14,0.058483333333333325,0.592775,5.0,5.0,5.0,5.0,5.0,5.0,5.024752475247524,5.090976409605417,75.00000000000001,5.085388994307401,5.042321644498187,5.210139384667688,5.0,0.06911666666666666,0.0004,5.042006467941507,0.0002666666666666667,17.304347826086953,0.02238333333333333
8,16,0.06143703703703704,0.6162296296296297,7.738095238095237,5.0,5.0,5.0,5.0,5.0,5.150309460654289,6.139705882352942,150.0,5.061870753360115,5.0,7.010359432234431,5.0,0.06616296296296297,0.0003555555555555556,5.120573870573871,0.00023703703703703707,19.62121212121212,0.02146666666666666
9,18,0.0638,0.6349933333333334,7.738095238095237,5.0,5.0,5.0,5.0,5.0,5.150309460654289,6.139705882352942,150.0,5.061870753360115,5.0,7.010359432234431,5.0,0.0638,0.00032,5.120573870573871,0.00021333333333333336,19.62121212121212,0.020733333333333333
10,20,0.06573333333333332,0.6503454545454546,7.738095238095237,5.0,5.0,5.0,5.0,5.0,5.150309460654289,6.139705882352942,150.0,5.061870753360115,5.0,7.010359432234431,5.0,0.06186666666666665,0.0002909090909090909,5.120573870573871,0.00019393939393939398,19.62121212121212,0.020133333333333333
11,22,0.06379999999999998,0.6339111111111113,5.555555555555555,5.0,5.0,5.0,5.0,5.0,5.0,5.806829268292684,91.66666666666669,5.033081285444235,5.020107238605898,6.432598039215686,5.0,0.06379999999999998,0.0002666666666666667,5.021739130434783,0.0002666666666666667,19.609375,0.01845555555555555
12,24,0.06379999999999998,0.6311388888888889,5.555555555555555,5.0,5.0,5.0,5.0,5.0,5.0,5.806829268292684,91.66666666666669,5.033081285444235,5.020107238605898,6.432598039215686,5.0,0.06379999999999998,0.0002666666666666667,5.021739130434783,0.0002666666666666667,19.609375,0.016177777777777777
13,26,0.06379999999999998,0.6283666666666667,5.555555555555555,5.0,5.0,5.0,5.0,5.0,5.0,5.806829268292684,91.66666666666669,5.033081285444235,5.020107238605898,6.432598039215686,5.0,0.06379999999999998,0.0002666666666666667,5.021739130434783,0.0002666666666666667,19.609375,0.0139
