,Unnamed: 0,carts_carts-db,cartservice_redis-cart,checkoutservice_cartservice,checkoutservice_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,frontend_adservice,frontend_cartservice,frontend_checkoutservice,frontend_currencyservice,frontend_productcatalogservice,frontend_recommendationservice,frontend_shippingservice,orders_orders-db,queue-master_rabbitmq,recommendationservice_productcatalogservice,shipping_rabbitmq,unknown_front-end,unknown_frontend,user_user-db
10,20,0.06186666666666665,0.46731515151515135,5.0,5.0,5.0,5.0,5.0,5.0,5.047169811320755,5.049234606123151,50.0,5.0097465886939565,5.003333333333334,5.32222673709874,5.0,0.06573333333333332,0.0002909090909090909,5.0,0.0002909090909090909,0.0,17.05508474576271,0.02133333333333333
11,22,0.06379999999999998,0.5021611111111111,5.0,5.0,5.0,5.0,5.0,5.0,5.081229546517064,5.171475486746423,45.0,5.009041591320073,5.019339595363785,5.609546703296703,5.05952380952381,0.06379999999999998,0.0002666666666666667,5.0,0.0002666666666666667,0.0,18.897058823529417,0.02073333333333333
12,24,0.06379999999999998,0.5356888888888889,5.0,5.0,5.0,5.0,5.0,5.0,5.081229546517064,5.171475486746423,45.0,5.009041591320073,5.019339595363785,5.609546703296703,5.05952380952381,0.06379999999999998,0.0002666666666666667,5.0,0.0002666666666666667,0.0,18.897058823529417,0.02073333333333333
13,26,0.06379999999999998,0.5692166666666666,5.0,5.0,5.0,5.0,5.0,5.0,5.081229546517064,5.171475486746423,45.0,5.009041591320073,5.019339595363785,5.609546703296703,5.05952380952381,0.06379999999999998,0.0002666666666666667,5.0,0.0002666666666666667,0.0,18.897058823529417,0.02073333333333333
14,28,0.06734444444444443,0.6159777777777777,5.0,5.0,5.0,5.0,5.0,5.0,5.081229546517064,5.171475486746423,45.0,5.009041591320073,5.019339595363785,5.609546703296703,5.05952380952381,0.060255555555555534,0.0002666666666666667,5.0,0.00017777777777777779,0.0,18.897058823529417,0.019633333333333332
15,30,0.07088888888888888,0.6627388888888888,5.0,5.0,5.0,5.0,5.0,5.0,5.081229546517064,5.171475486746423,45.0,5.009041591320073,5.019339595363785,5.609546703296703,5.05952380952381,0.0567111111111111,0.0002666666666666667,5.0,8.88888888888889e-05,0.0,18.897058823529417,0.018533333333333332
16,32,0.07443333333333331,0.7094999999999998,5.0,5.0,5.0,5.0,5.0,5.0,5.081229546517064,5.171475486746423,45.0,5.009041591320073,5.019339595363785,5.609546703296703,5.05952380952381,0.05316666666666666,0.0002666666666666667,5.0,0.0,0.0,18.897058823529417,0.017433333333333332
17,34,0.07443333333333331,0.7248833333333333,5.0,5.0,5.0,5.0,5.0,5.0,5.081229546517064,5.171475486746423,45.0,5.009041591320073,5.019339595363785,5.609546703296703,5.05952380952381,0.05316666666666666,0.0002666666666666667,5.0,0.0,0.0,18.897058823529417,0.017433333333333332
18,36,0.07443333333333331,0.7402666666666666,5.0,5.0,5.0,5.0,5.0,5.0,5.081229546517064,5.171475486746423,45.0,5.009041591320073,5.019339595363785,5.609546703296703,5.05952380952381,0.05316666666666666,0.0002666666666666667,5.0,0.0,0.0,18.897058823529417,0.017433333333333332
19,38,0.07443333333333331,0.7556499999999999,5.0,5.0,5.0,5.0,5.0,5.0,5.081229546517064,5.171475486746423,45.0,5.009041591320073,5.019339595363785,5.609546703296703,5.05952380952381,0.05316666666666666,0.0002666666666666667,5.0,0.0,0.0,18.897058823529417,0.017433333333333332
