,Unnamed: 0,carts_carts-db,cartservice_redis-cart,checkoutservice_cartservice,checkoutservice_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,frontend_adservice,frontend_cartservice,frontend_checkoutservice,frontend_currencyservice,frontend_productcatalogservice,frontend_recommendationservice,frontend_shippingservice,orders_orders-db,queue-master_rabbitmq,recommendationservice_productcatalogservice,shipping_rabbitmq,unknown_front-end,unknown_frontend,user_user-db
0,0,0.08506666666666667,0.4831333333333333,5.333333333333333,5.0,5.0,5.0,5.0,5.0,5.022321428571429,5.96,40.0,5.027197747785984,5.0,6.421884287695661,5.0,0.042533333333333326,0.0,5.0,0.0,0.0,18.93939393939394,0.014133333333333331
1,2,0.08506666666666667,0.4831333333333333,5.333333333333333,5.0,5.0,5.0,5.0,5.0,5.022321428571429,5.96,40.0,5.027197747785984,5.0,6.421884287695661,5.0,0.042533333333333326,0.0,5.0,0.0,0.0,18.93939393939394,0.014133333333333331
2,4,0.07088888888888889,0.4302,5.0,5.0,5.0,5.0,5.0,5.0,5.1607857857857855,6.104516129032256,66.25,5.093528388816118,5.036962365591398,6.76923076923077,5.0,0.056711111111111115,0.0,5.0427350427350435,0.0003555555555555556,0.0,21.296296296296298,0.018533333333333332
3,6,0.0638,0.4037333333333333,5.0,5.0,5.0,5.0,5.0,5.0,5.1607857857857855,6.104516129032256,66.25,5.093528388816118,5.036962365591398,6.76923076923077,5.0,0.0638,0.0,5.0427350427350435,0.0005333333333333334,0.0,21.296296296296298,0.020733333333333333
4,8,0.059546666666666664,0.38785333333333327,5.0,5.0,5.0,5.0,5.0,5.0,5.1607857857857855,6.104516129032256,66.25,5.093528388816118,5.036962365591398,6.76923076923077,5.0,0.06805333333333333,0.0,5.0427350427350435,0.00064,0.0,21.296296296296298,0.022053333333333338
5,10,0.0638,0.44002222222222215,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.494156980377453,58.33333333333334,5.004980079681275,5.0,5.817213019807716,5.0,0.0638,0.0,5.0,0.0005333333333333334,0.0,17.283653846153847,0.020733333333333333
6,12,0.06683809523809524,0.47728571428571426,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.494156980377453,58.33333333333334,5.004980079681275,5.0,5.817213019807716,5.0,0.06076190476190475,0.0,5.0,0.00045714285714285724,0.0,17.283653846153847,0.01979047619047619
7,14,0.06911666666666666,0.5052333333333333,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.494156980377453,58.33333333333334,5.004980079681275,5.0,5.817213019807716,5.0,0.058483333333333325,0.0,5.0,0.0004,0.0,17.283653846153847,0.019083333333333338
8,16,0.06616296296296297,0.48978518518518516,5.0,5.0,5.0,5.0,5.0,5.0,5.047169811320755,5.049234606123151,50.0,5.0097465886939565,5.003333333333334,5.32222673709874,5.0,0.06143703703703704,0.00011851851851851853,5.0,0.0003555555555555556,0.0,17.05508474576271,0.02
9,18,0.0638,0.47742666666666655,5.0,5.0,5.0,5.0,5.0,5.0,5.047169811320755,5.049234606123151,50.0,5.0097465886939565,5.003333333333334,5.32222673709874,5.0,0.0638,0.00021333333333333336,5.0,0.00032,0.0,17.05508474576271,0.020733333333333333
