,Unnamed: 0,carts_carts-db,cartservice_redis-cart,catalogue_catalogue-db,checkoutservice_cartservice,checkoutservice_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,front-end_catalogue,front-end_user,frontend_adservice,frontend_cartservice,frontend_checkoutservice,frontend_currencyservice,frontend_productcatalogservice,frontend_recommendationservice,frontend_shippingservice,orders_orders-db,orders_payment,orders_user,queue-master_rabbitmq,recommendationservice_productcatalogservice,shipping_rabbitmq,unknown_frontend,user_user-db
0,0,0.08506099593360444,0.643557096193587,0.0,5.0,5.0,5.0,377.5,5.0,5.0,0.0,0.0,5.136788164311101,5.185975609756097,750.0,5.021514629948365,5.014810426540285,6.518755028157683,5.0,0.08506099593360444,0.0,0.0,0.0,5.0,0.0,19.75806451612904,0.03439770681954536
1,2,0.08506099593360444,0.643557096193587,0.0,5.0,5.0,5.0,377.5,5.0,5.0,0.0,0.0,5.136788164311101,5.185975609756097,750.0,5.021514629948365,5.014810426540285,6.518755028157683,5.0,0.08506099593360444,0.0,0.0,0.0,5.0,0.0,19.75806451612904,0.03439770681954536
2,4,0.08506099593360444,0.643557096193587,0.0,5.0,5.0,5.0,377.5,5.0,5.0,0.0,0.0,5.136788164311101,5.185975609756097,750.0,5.021514629948365,5.014810426540285,6.518755028157683,5.0,0.08506099593360444,0.0,0.0,0.0,5.0,0.0,19.75806451612904,0.03439770681954536
3,6,0.07442908028353663,0.5534178221451903,0.0,5.789473684210527,5.0,5.0,377.5,5.15625,5.0,0.0,0.0,5.453145057766367,6.556888575237199,843.75,5.2388355476163895,5.098554533508541,8.396577380952381,5.0675675675675675,0.07442908028353663,0.0,0.0,0.0,5.0,0.0,27.678571428571434,0.027564946781325688
4,8,0.06804993089349598,0.4993342577161523,0.0,5.789473684210527,5.0,5.0,377.5,5.15625,5.0,0.0,0.0,5.453145057766367,6.556888575237199,843.75,5.2388355476163895,5.098554533508541,8.396577380952381,5.0675675675675675,0.06804993089349598,0.0,0.0,0.0,5.0,0.0,27.678571428571434,0.023465290758393882
5,10,0.06379716463346886,0.46327854809679353,0.0,5.789473684210527,5.0,5.0,377.5,5.15625,5.0,0.0,0.0,5.453145057766367,6.556888575237199,843.75,5.2388355476163895,5.098554533508541,8.396577380952381,5.0675675675675675,0.06379716463346886,0.0,0.0,0.0,5.0,0.0,27.678571428571434,0.020732186743106014
6,12,0.0668356649239257,0.4938292317020135,0.0,5.8125,5.0,5.0,377.5,5.0,5.0,0.0,0.0,5.025,5.720258198060792,821.4285714285713,5.065811199698071,5.032849003135732,7.106204550785831,5.0,0.0668356649239257,0.0,0.0,0.00015238095238095242,5.098271407480315,0.0,21.039325842696627,0.02268473149409087
7,14,0.06911454014176832,0.5167422444059285,0.0,5.8125,5.0,5.0,377.5,5.0,5.0,0.0,0.0,5.025,5.720258198060792,821.4285714285713,5.065811199698071,5.032849003135732,7.106204550785831,5.0,0.06911454014176832,0.0,0.0,0.0002666666666666667,5.098271407480315,0.0,21.039325842696627,0.02414914005732951
8,16,0.0708869986445348,0.5345634765089736,0.0,5.8125,5.0,5.0,377.5,5.0,5.0,0.0,0.0,5.025,5.720258198060792,821.4285714285713,5.065811199698071,5.032849003135732,7.106204550785831,5.0,0.0708869986445348,0.0,0.0,0.0003555555555555556,5.098271407480315,0.0,21.039325842696627,0.025288124495404005
9,18,0.06805163211341467,0.5240137955247428,0.0,5.688461538461539,5.0,5.0,377.5,5.0,5.0,0.0,0.0,5.106960950764007,5.43796992481203,825.0,5.0055928411633115,5.0059101737423415,6.274518748289388,5.0,0.06805163211341467,0.0,0.0,0.00032,5.0,0.00010666666666666667,21.56626506024097,0.023465978712530273
10,20,0.06573178676977087,0.5153822383558267,0.0,5.688461538461539,5.0,5.0,377.5,5.0,5.0,0.0,0.0,5.106960950764007,5.43796992481203,825.0,5.0055928411633115,5.0059101737423415,6.274518748289388,5.0,0.06573178676977087,0.0,0.0,0.0002909090909090909,5.0,0.00019393939393939398,21.56626506024097,0.021975132162906308
11,22,0.06379858231673442,0.5081892740483968,0.0,5.688461538461539,5.0,5.0,377.5,5.0,5.0,0.0,0.0,5.106960950764007,5.43796992481203,825.0,5.0055928411633115,5.0059101737423415,6.274518748289388,5.0,0.06379858231673442,0.0,0.0,0.0002666666666666667,5.0,0.0002666666666666667,21.56626506024097,0.020732760038219673
12,24,0.06379905487782295,0.509003960476709,0.0,5.526315789473684,5.0,5.0,377.5,5.0,5.0,0.0,0.0,5.0,6.007455731593661,800.0,5.014940239043824,5.002783964365255,7.184132292827945,5.060975609756097,0.06379905487782295,0.0,0.0,0.0002666666666666667,5.0,0.0002666666666666667,22.209302325581394,0.020732951136590887
13,26,0.06379952743891147,0.509818646905021,0.0,5.526315789473684,5.0,5.0,377.5,5.0,5.0,0.0,0.0,5.0,6.007455731593661,800.0,5.014940239043824,5.002783964365255,7.184132292827945,5.060975609756097,0.06379952743891147,0.0,0.0,0.0002666666666666667,5.0,0.0002666666666666667,22.209302325581394,0.020733142234962112
14,28,0.06379999999999998,0.5106333333333334,0.0,5.526315789473684,5.0,5.0,377.5,5.0,5.0,0.0,0.0,5.0,6.007455731593661,800.0,5.014940239043824,5.002783964365255,7.184132292827945,5.060975609756097,0.06379999999999998,0.0,0.0,0.0002666666666666667,5.0,0.0002666666666666667,22.209302325581394,0.02073333333333333
