Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/,651,66,22,141.1736399713566,5.692005157470703,3032.3710441589355,10130.817204301075,0.18084927926437333,0.018334949971503287,22,23,24,25,320,820,1800,3000,3000,3000,3000,3000
GET,/cart,2017,198,23,176.5571451447184,3.7462711334228516,3124.938726425171,12298.920178482895,0.5603271832200323,0.055004849914509865,23,26,29,32,620,1200,1800,2400,3000,3100,3100,3100
POST,/cart,1289,114,29,200.5160206320491,3.5169124603271484,3648.7576961517334,15590.066718386346,0.35808712898890516,0.0316694590416875,29,31,34,37,340,1600,2400,3000,3400,3600,3600,3600
POST,/cart/checkout,669,59,41,198.11598459879556,5.923748016357422,3057.703733444214,7426.243647234679,0.18584972016569243,0.016390334065434758,41,47,53,110,420,1200,1900,2400,3100,3100,3100,3100
GET,/product/0PUK6V6EV0,901,87,21,138.4003649276581,4.829645156860352,2171.130657196045,7642.215316315205,0.25029984733824945,0.02416879768970888,21,23,24,26,570,820,1500,2100,2200,2200,2200,2200
GET,/product/1YMWWN1N4O,878,76,21,135.03548604752316,5.014181137084961,2131.056547164917,7740.578587699317,0.24391039507545284,0.021112972694458332,21,22,24,25,510,820,1700,2100,2100,2100,2100,2100
GET,/product/2ZYFJ3GM2N,854,69,21,145.9242546586298,5.296230316162109,2143.126964569092,7741.934426229508,0.23724314054036072,0.019168356788389802,21,23,24,27,520,820,2100,2100,2100,2100,2100,2100
GET,/product/66VCHSJNUP,831,79,21,121.45132220896,5.144834518432617,2792.147636413574,7702.932611311673,0.23085368827756414,0.021946379511344843,21,22,23,25,470,670,950,2100,2800,2800,2800,2800
GET,/product/6E92ZMYYFZ,853,86,21,177.44266749266862,4.98652458190918,2769.3910598754883,7695.391559202813,0.23696533826806523,0.023890995417413376,21,23,24,27,620,830,2100,2100,2800,2800,2800,2800
GET,/product/9SIQT8TOJO,959,95,21,157.7994097509772,4.860401153564453,2401.336669921875,7673.052137643379,0.2664123791313887,0.026391215868072915,21,22,24,26,620,820,2100,2100,2400,2400,2400,2400
GET,/product/L9ECAV7KIM,872,84,21,152.53375402284325,4.918098449707031,2983.832597732544,7697.86123853211,0.24224358144167982,0.023335390872822367,21,22,24,27,520,820,2100,2100,3000,3000,3000,3000
GET,/product/LS4PSXUNUM,902,82,21,163.6410409753973,5.116462707519531,3005.917549133301,7745.215077605321,0.25057764961054496,0.02277978632823136,21,23,24,27,620,820,2100,2100,3000,3000,3000,3000
GET,/product/OLJCESPC7Z,915,73,21,135.90620306671642,5.0907135009765625,2941.758394241333,7717.836065573771,0.2541890791503865,0.02027956587757182,21,22,24,26,540,820,1700,2100,2900,2900,2900,2900
POST,/setCurrency,1370,145,25,151.0747951312657,7.635831832885742,3037.5826358795166,10103.255474452555,0.380589113044841,0.040281329482848134,25,26,27,29,330,830,3000,3000,3000,3000,3000,3000
,Aggregated,13961,1313,22,159.1904820843247,3.5169124603271484,3648.7576961517334,9432.352625170117,3.8783975235175365,0.36475438352399725,22,25,29,35,510,830,2100,2100,3000,3400,3600,3600
