,Unnamed: 0,carts_carts-db,cartservice_redis-cart,catalogue_catalogue-db,checkoutservice_cartservice,checkoutservice_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,front-end_catalogue,front-end_user,frontend_adservice,frontend_cartservice,frontend_checkoutservice,frontend_currencyservice,frontend_productcatalogservice,frontend_recommendationservice,frontend_shippingservice,orders_orders-db,orders_payment,orders_user,queue-master_rabbitmq,recommendationservice_productcatalogservice,shipping_rabbitmq,unknown_frontend,user_user-db
0,0,0.042533333333333326,0.336,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.059171597633137,58.33333333333334,5.0,5.002708559046587,5.367647058823529,5.0,0.042533333333333326,0.0,0.0,0.0,5.0344827586206895,0.0,18.008474576271187,0.0070666666666666655
1,2,0.042533333333333326,0.336,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.059171597633137,58.33333333333334,5.0,5.002708559046587,5.367647058823529,5.0,0.042533333333333326,0.0,0.0,0.0,5.0344827586206895,0.0,18.008474576271187,0.0070666666666666655
2,4,0.056711111111111115,0.4543111111111112,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.118386243386244,5.235135135135135,40.0,5.004340277777779,5.009453784849168,5.848823089856156,5.0675675675675675,0.056711111111111115,0.0,0.0,0.0003555555555555556,5.041666666666666,0.0,17.5,0.016177777777777777
3,6,0.0638,0.5134666666666666,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.118386243386244,5.235135135135135,40.0,5.004340277777779,5.009453784849168,5.848823089856156,5.0675675675675675,0.0638,0.0,0.0,0.0005333333333333334,5.041666666666666,0.0,17.5,0.020733333333333333
4,8,0.06805333333333333,0.5489599999999999,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.118386243386244,5.235135135135135,40.0,5.004340277777779,5.009453784849168,5.848823089856156,5.0675675675675675,0.06805333333333333,0.0,0.0,0.00064,5.041666666666666,0.0,17.5,0.023466666666666663
5,10,0.0638,0.5272222222222221,0.0,5.294117647058824,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.047169811320755,5.119944061962135,68.75,5.0,5.011410550611538,5.378361475922452,5.0,0.0638,0.0,0.0,0.0005333333333333334,5.0390625,0.00017777777777777779,17.309322033898304,0.020733333333333333
6,12,0.06076190476190475,0.5116952380952381,0.0,5.294117647058824,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.047169811320755,5.119944061962135,68.75,5.0,5.011410550611538,5.378361475922452,5.0,0.06076190476190475,0.0,0.0,0.00045714285714285724,5.0390625,0.00030476190476190485,17.309322033898304,0.01878095238095238
7,14,0.058483333333333325,0.50005,0.0,5.294117647058824,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.047169811320755,5.119944061962135,68.75,5.0,5.011410550611538,5.378361475922452,5.0,0.058483333333333325,0.0,0.0,0.0004,5.0390625,0.0004,17.309322033898304,0.017316666666666668
8,16,0.06143703703703704,0.5351851851851852,0.0,5.357142857142857,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.06923207611281,5.10158425786422,69.44444444444444,5.023522790025912,5.009114742016168,5.402269861286256,5.0,0.06143703703703704,0.0,0.0,0.0003555555555555556,5.0,0.0003555555555555556,18.23170731707317,0.019214814814814817
9,18,0.0638,0.5632933333333333,0.0,5.357142857142857,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.06923207611281,5.10158425786422,69.44444444444444,5.023522790025912,5.009114742016168,5.402269861286256,5.0,0.0638,0.0,0.0,0.00032,5.0,0.00032,18.23170731707317,0.020733333333333333
10,20,0.06573333333333332,0.586290909090909,0.0,5.357142857142857,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.06923207611281,5.10158425786422,69.44444444444444,5.023522790025912,5.009114742016168,5.402269861286256,5.0,0.06573333333333332,0.0,0.0,0.0002909090909090909,5.0,0.0002909090909090909,18.23170731707317,0.021975757575757572
11,22,0.06379999999999998,0.5717111111111111,0.0,5.263157894736842,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.023809523809524,5.305959963603275,51.66666666666667,5.0456876456876465,5.008717807483407,5.506885245901641,5.0,0.06379999999999998,0.0,0.0,0.0002666666666666667,5.018518518518519,0.0002666666666666667,17.564102564102573,0.02073333333333333
12,24,0.06379999999999998,0.5779888888888888,0.0,5.263157894736842,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.023809523809524,5.305959963603275,51.66666666666667,5.0456876456876465,5.008717807483407,5.506885245901641,5.0,0.06379999999999998,0.0,0.0,0.0002666666666666667,5.018518518518519,0.0002666666666666667,17.564102564102573,0.02073333333333333
13,26,0.06379999999999998,0.5842666666666666,0.0,5.263157894736842,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.023809523809524,5.305959963603275,51.66666666666667,5.0456876456876465,5.008717807483407,5.506885245901641,5.0,0.06379999999999998,0.0,0.0,0.0002666666666666667,5.018518518518519,0.0002666666666666667,17.564102564102573,0.02073333333333333
