,Unnamed: 0,carts_carts-db,cartservice_redis-cart,catalogue_catalogue-db,checkoutservice_cartservice,checkoutservice_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,front-end_carts,front-end_catalogue,front-end_orders,front-end_user,frontend_adservice,frontend_cartservice,frontend_checkoutservice,frontend_currencyservice,frontend_productcatalogservice,frontend_recommendationservice,frontend_shippingservice,orders_carts,orders_orders-db,orders_payment,orders_shipping,orders_user,queue-master_rabbitmq,recommendationservice_productcatalogservice,shipping_rabbitmq,unknown_front-end,unknown_frontend,user_user-db
0,0,0.08506666666666667,0.5264666666666666,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.048076923076923,5.066669629761322,60.625,5.0,5.052905974737089,5.244249074563722,5.0,0.0,0.08506666666666667,0.0,0.0,0.0,0.0010666666666666667,5.0,0.0,0.0,18.130252100840334,0.0344
1,2,0.08506666666666667,0.5264666666666666,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.048076923076923,5.066669629761322,60.625,5.0,5.052905974737089,5.244249074563722,5.0,0.0,0.08506666666666667,0.0,0.0,0.0,0.0010666666666666667,5.0,0.0,0.0,18.130252100840334,0.0344
2,4,0.07088888888888889,0.5345333333333333,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.086206896551724,5.045457864758289,37.5,5.049099497704976,5.008879286624777,5.439536591880342,5.0,0.0,0.07088888888888889,0.0,0.0,0.0,0.0007111111111111113,5.0,0.0003555555555555556,0.0,17.6844262295082,0.02528888888888889
3,6,0.0638,0.5385666666666666,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.086206896551724,5.045457864758289,37.5,5.049099497704976,5.008879286624777,5.439536591880342,5.0,0.0,0.0638,0.0,0.0,0.0,0.0005333333333333334,5.0,0.0005333333333333334,0.0,17.6844262295082,0.020733333333333333
4,8,0.059546666666666664,0.5409866666666666,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.086206896551724,5.045457864758289,37.5,5.049099497704976,5.008879286624777,5.439536591880342,5.0,0.0,0.059546666666666664,0.0,0.0,0.0,0.00042666666666666667,5.0,0.00064,0.0,17.6844262295082,0.018000000000000002
5,10,0.0638,0.5242777777777777,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.049019607843137,5.056250701380316,58.33333333333334,5.0,5.0,5.157884151246984,5.0,0.0,0.0638,0.0,0.0,0.0,0.0003555555555555556,5.0,0.0005333333333333334,0.0,17.309322033898304,0.020733333333333333
6,12,0.06683809523809524,0.512342857142857,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.049019607843137,5.056250701380316,58.33333333333334,5.0,5.0,5.157884151246984,5.0,0.0,0.06683809523809524,0.0,0.0,0.0,0.00030476190476190485,5.0,0.00045714285714285724,0.0,17.309322033898304,0.022685714285714285
7,14,0.06911666666666666,0.5033916666666667,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.049019607843137,5.056250701380316,58.33333333333334,5.0,5.0,5.157884151246984,5.0,0.0,0.06911666666666666,0.0,0.0,0.0,0.0002666666666666667,5.0,0.0004,0.0,17.309322033898304,0.02415
8,16,0.06616296296296297,0.5047777777777778,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.029585798816568,62.5,5.021739130434783,5.017421602787456,5.516738953645975,5.0,0.0,0.06616296296296297,0.0,0.0,0.0,0.00023703703703703707,5.095130696275735,0.0003555555555555556,0.0,17.261904761904766,0.022251851851851846
9,18,0.0638,0.5058866666666666,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.029585798816568,62.5,5.021739130434783,5.017421602787456,5.516738953645975,5.0,0.0,0.0638,0.0,0.0,0.0,0.00021333333333333336,5.095130696275735,0.00032,0.0,17.261904761904766,0.020733333333333333
