,Unnamed: 0,carts_carts-db,cartservice_redis-cart,catalogue_catalogue-db,checkoutservice_cartservice,checkoutservice_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,front-end_carts,front-end_catalogue,front-end_orders,front-end_user,frontend_adservice,frontend_cartservice,frontend_checkoutservice,frontend_currencyservice,frontend_productcatalogservice,frontend_recommendationservice,frontend_shippingservice,orders_carts,orders_orders-db,orders_payment,orders_shipping,orders_user,queue-master_rabbitmq,recommendationservice_productcatalogservice,shipping_rabbitmq,unknown_front-end,unknown_frontend,user_user-db
10,20,0.06186666666666665,0.5067939393939394,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.029585798816568,62.5,5.021739130434783,5.017421602787456,5.516738953645975,5.0,0.0,0.06186666666666665,0.0,0.0,0.0,0.00019393939393939398,5.095130696275735,0.0002909090909090909,0.0,17.261904761904766,0.019490909090909087
11,22,0.06379999999999998,0.5174944444444445,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.044247787610621,5.111873264739507,68.75,5.028621514072077,5.015456688657796,5.380434782608696,5.0,0.0,0.06379999999999998,0.0,0.0,0.0,0.0002666666666666667,5.0,0.0002666666666666667,0.0,17.258064516129032,0.02073333333333333
12,24,0.06379999999999998,0.5265555555555556,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.044247787610621,5.111873264739507,68.75,5.028621514072077,5.015456688657796,5.380434782608696,5.0,0.0,0.06379999999999998,0.0,0.0,0.0,0.0002666666666666667,5.0,0.0002666666666666667,0.0,17.258064516129032,0.02073333333333333
13,26,0.06379999999999998,0.5356166666666667,0.0,5.0,5.0,5.0,5.0,5.0,5.0,,0.0,,0.0,5.044247787610621,5.111873264739507,68.75,5.028621514072077,5.015456688657796,5.380434782608696,5.0,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,5.0,0.0002666666666666667,,17.258064516129032,0.02073333333333333
14,28,0.06379999999999998,0.5431111111111112,0.0,5.500000000000001,5.0,5.0,5.0,5.0,5.0,,0.0,,0.0,5.191411849020545,5.555555555555555,87.5,5.0,5.0,9.580357142857144,5.0,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,5.0,0.0002666666666666667,,27.20588235294117,0.02073333333333333
15,30,0.06379999999999998,0.5506055555555558,0.0,5.500000000000001,5.0,5.0,5.0,5.0,5.0,,0.0,,0.0,5.191411849020545,5.555555555555555,87.5,5.0,5.0,9.580357142857144,5.0,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,5.0,0.0002666666666666667,,27.20588235294117,0.02073333333333333
16,32,0.06379999999999998,0.5581,0.0,5.500000000000001,5.0,5.0,5.0,5.0,5.0,,0.0,,0.0,5.191411849020545,5.555555555555555,87.5,5.0,5.0,9.580357142857144,5.0,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,5.0,0.0002666666666666667,,27.20588235294117,0.02073333333333333
17,34,0.06379999999999998,0.55495,0.0,5.0,5.0,5.0,5.0,377.5,5.0,,0.0,,0.0,5.0,5.190476190476192,2000.0,5.006281407035177,377.519267822736,750.0,5.0,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,377.5,0.0002666666666666667,,1481.3432835820895,0.02073333333333333
18,36,0.06379999999999998,0.5518,0.0,5.0,5.0,5.0,5.0,377.5,5.0,,0.0,,0.0,5.0,5.190476190476192,2000.0,5.006281407035177,377.519267822736,750.0,5.0,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,377.5,0.0002666666666666667,,1481.3432835820895,0.02073333333333333
19,38,0.06379999999999998,0.5486499999999999,0.0,5.0,5.0,5.0,5.0,377.5,5.0,,0.0,,0.0,5.0,5.190476190476192,2000.0,5.006281407035177,377.519267822736,750.0,5.0,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,377.5,0.0002666666666666667,,1481.3432835820895,0.02073333333333333
20,40,0.06379999999999998,0.53575,0.0,5.0,5.0,5.0,5.0,377.5,5.0,,0.0,,0.0,5.036231884057971,5.314459247648903,50.0,5.0,377.5,750.0,5.0,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,377.5,0.0002666666666666667,,1542.3076923076926,0.02073333333333333
21,42,0.06379999999999998,0.5228499999999998,0.0,5.0,5.0,5.0,5.0,377.5,5.0,,0.0,,0.0,5.036231884057971,5.314459247648903,50.0,5.0,377.5,750.0,5.0,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,377.5,0.0002666666666666667,,1542.3076923076926,0.02073333333333333
22,44,0.06379999999999998,0.5099499999999999,0.0,5.0,5.0,5.0,5.0,377.5,5.0,,0.0,,0.0,5.036231884057971,5.314459247648903,50.0,5.0,377.5,750.0,5.0,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,377.5,0.0002666666666666667,,1542.3076923076926,0.02073333333333333
23,46,0.06379999999999998,0.49089999999999984,0.0,5.7142857142857135,5.3125,5.0,5.0,377.5,5.0,,0.0,,0.0,5.103691019786911,6.583080808080807,100.0,5.089058524173028,377.5,755.3191489361702,5.080645161290322,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,377.5,0.0002666666666666667,,1706.5217391304345,0.02073333333333333
24,48,0.06379999999999998,0.4718499999999999,0.0,5.7142857142857135,5.3125,5.0,5.0,377.5,5.0,,0.0,,0.0,5.103691019786911,6.583080808080807,100.0,5.089058524173028,377.5,755.3191489361702,5.080645161290322,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,377.5,0.0002666666666666667,,1706.5217391304345,0.02073333333333333
25,50,0.06379999999999998,0.45279999999999987,0.0,5.7142857142857135,5.3125,5.0,5.0,377.5,5.0,,0.0,,0.0,5.103691019786911,6.583080808080807,100.0,5.089058524173028,377.5,755.3191489361702,5.080645161290322,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,377.5,0.0002666666666666667,,1706.5217391304345,0.02073333333333333
26,52,0.06379999999999998,0.4346555555555554,0.0,5.0,5.0,,,377.5,,,0.0,,0.0,5.034722222222221,5.528894726207314,,5.006648936170213,377.50443262411346,750.0,5.0,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,377.5,0.0002666666666666667,,1510.0,0.02073333333333333
27,54,0.06379999999999998,0.41651111111111094,0.0,5.0,5.0,,,377.5,,,0.0,,0.0,5.034722222222221,5.528894726207314,,5.006648936170213,377.50443262411346,750.0,5.0,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,377.5,0.0002666666666666667,,1510.0,0.02073333333333333
28,56,0.06379999999999998,0.39836666666666654,0.0,5.0,5.0,,,377.5,,,0.0,,0.0,5.034722222222221,5.528894726207314,,5.006648936170213,377.50443262411346,750.0,5.0,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,377.5,0.0002666666666666667,,1510.0,0.02073333333333333
29,58,0.06379999999999998,0.40604444444444426,0.0,5.0,5.0,5.0,5.0,377.5,5.0,,0.0,,0.0,5.0,5.267578918845685,1500.0,5.0,377.5,750.0,5.0925925925925934,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,377.5233644859813,0.0002666666666666667,,1539.3258426966293,0.02073333333333333
30,60,0.06379999999999998,0.4137222222222221,0.0,5.0,5.0,5.0,5.0,377.5,5.0,,0.0,,0.0,5.0,5.267578918845685,1500.0,5.0,377.5,750.0,5.0925925925925934,,0.06379999999999998,0.0,,0.0,0.0002666666666666667,377.5233644859813,0.0002666666666666667,,1539.3258426966293,0.02073333333333333
