,Unnamed: 0,carts_carts-db,cartservice_redis-cart,catalogue_catalogue-db,checkoutservice_cartservice,checkoutservice_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,front-end_catalogue,front-end_user,frontend_adservice,frontend_cartservice,frontend_checkoutservice,frontend_currencyservice,frontend_productcatalogservice,frontend_recommendationservice,frontend_shippingservice,orders_orders-db,orders_payment,orders_user,queue-master_rabbitmq,recommendationservice_productcatalogservice,shipping_rabbitmq,unknown_frontend,user_user-db
0,0,0.042533333333333326,0.4248,0.0,5.727272727272728,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.144706426259825,6.133074307916464,80.00000000000001,5.1055818800259525,5.065964523281597,7.099514563106796,5.0,0.042533333333333326,0.0,0.0,0.0,5.055555555555555,0.0010666666666666667,21.120689655172423,0.0070666666666666655
1,2,0.0638,0.6044666666666666,0.0,6.000000000000001,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.054347826086957,5.6346421609579505,42.5,5.021761854264506,5.003246753246753,6.105263157894737,5.065789473684211,0.0638,0.0,0.0,0.0,5.0,0.0005333333333333334,18.40909090909091,0.020733333333333333
2,4,0.07088888888888889,0.6643555555555556,0.0,6.000000000000001,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.054347826086957,5.6346421609579505,42.5,5.021761854264506,5.003246753246753,6.105263157894737,5.065789473684211,0.07088888888888889,0.0,0.0,0.0,5.0,0.0003555555555555556,18.40909090909091,0.02528888888888889
3,6,0.07443333333333334,0.6943,0.0,6.000000000000001,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.054347826086957,5.6346421609579505,42.5,5.021761854264506,5.003246753246753,6.105263157894737,5.065789473684211,0.07443333333333334,0.0,0.0,0.0,5.0,0.0002666666666666667,18.40909090909091,0.027566666666666663
4,8,0.06805333333333333,0.6413866666666668,0.0,5.0,5.833333333333333,5.0,5.0,5.0,5.0,0.0,0.0,5.045045045045045,5.0,45.0,5.009578544061303,5.009698279464217,5.424825174825175,5.0,0.06805333333333333,0.0,0.0,0.0,5.0,0.00021333333333333336,17.5,0.023466666666666663
5,10,0.0638,0.6061111111111112,0.0,5.0,5.833333333333333,5.0,5.0,5.0,5.0,0.0,0.0,5.045045045045045,5.0,45.0,5.009578544061303,5.009698279464217,5.424825174825175,5.0,0.0638,0.0,0.0,0.0,5.0,0.00017777777777777779,17.5,0.020733333333333333
6,12,0.06076190476190475,0.5809142857142858,0.0,5.0,5.833333333333333,5.0,5.0,5.0,5.0,0.0,0.0,5.045045045045045,5.0,45.0,5.009578544061303,5.009698279464217,5.424825174825175,5.0,0.06076190476190475,0.0,0.0,0.0,5.0,0.00015238095238095242,17.5,0.01878095238095238
7,14,0.058483333333333325,0.5620166666666667,0.0,5.0,5.833333333333333,5.0,5.0,5.0,5.0,0.0,0.0,5.045045045045045,5.0,45.0,5.009578544061303,5.009698279464217,5.424825174825175,5.0,0.058483333333333325,0.0,0.0,0.0,5.0,0.00013333333333333334,17.5,0.017316666666666668
8,16,0.056711111111111115,0.5473185185185186,0.0,5.0,5.833333333333333,5.0,5.0,5.0,5.0,0.0,0.0,5.045045045045045,5.0,45.0,5.009578544061303,5.009698279464217,5.424825174825175,5.0,0.056711111111111115,0.0,0.0,0.0,5.0,0.00011851851851851853,17.5,0.016177777777777777
9,18,0.055293333333333326,0.53556,0.0,5.0,5.833333333333333,5.0,5.0,5.0,5.0,0.0,0.0,5.045045045045045,5.0,45.0,5.009578544061303,5.009698279464217,5.424825174825175,5.0,0.055293333333333326,0.0,0.0,0.0,5.0,0.00010666666666666667,17.5,0.015266666666666668
10,20,0.054133333333333325,0.5259393939393939,0.0,5.0,5.833333333333333,5.0,5.0,5.0,5.0,0.0,0.0,5.045045045045045,5.0,45.0,5.009578544061303,5.009698279464217,5.424825174825175,5.0,0.054133333333333325,0.0,0.0,0.0,5.0,9.696969696969699e-05,17.5,0.014521212121212122
11,22,0.05316666666666666,0.5179222222222222,0.0,5.0,5.833333333333333,5.0,5.0,5.0,5.0,0.0,0.0,5.045045045045045,5.0,45.0,5.009578544061303,5.009698279464217,5.424825174825175,5.0,0.05316666666666666,0.0,0.0,0.0,5.0,8.88888888888889e-05,17.5,0.0139
12,24,0.05316666666666666,0.5183333333333332,0.0,5.0,5.833333333333333,5.0,5.0,5.0,5.0,0.0,0.0,5.045045045045045,5.0,45.0,5.009578544061303,5.009698279464217,5.424825174825175,5.0,0.05316666666666666,0.0,0.0,0.0,5.0,0.0,17.5,0.0139
