,Unnamed: 0,carts_carts-db,cartservice_redis-cart,catalogue_catalogue-db,checkoutservice_cartservice,checkoutservice_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,front-end_catalogue,front-end_user,frontend_adservice,frontend_cartservice,frontend_checkoutservice,frontend_currencyservice,frontend_productcatalogservice,frontend_recommendationservice,frontend_shippingservice,orders_orders-db,orders_payment,orders_user,queue-master_rabbitmq,recommendationservice_productcatalogservice,shipping_rabbitmq,unknown_front-end,unknown_frontend,unknown_redis-cart,user_user-db
21,42,0.06379811013359399,0.0,0.0,,,,,,,0.0,0.0,,,5.0,5.0,5.0,,,0.06379811013359399,0.0,0.0,0.0002666666666666667,,0.0002666666666666667,0.0,3.595238095238095,0.0,0.020731804852039456
22,44,0.06379716520039097,0.0,0.0,,,,,,,0.0,0.0,,,5.0,5.0,5.0,,,0.06379716520039097,0.0,0.0,0.0002666666666666667,,0.0002666666666666667,0.0,3.595238095238095,0.0,0.020731040611392516
23,46,0.06379905607499457,0.0,0.0,,,,,,,0.0,0.0,,,5.5,5.0,5.0,,,0.06379905607499457,0.0,0.0,0.0002666903766930441,,0.0002666666666666667,0.0,3.6622807017543857,0.0,0.02073119769031727
24,48,0.06380094694959819,0.0,0.0,,,,,,,0.0,0.0,,,5.5,5.0,5.0,,,0.06380094694959819,0.0,0.0,0.00026671408671942156,,0.0002666666666666667,0.0,3.6622807017543857,0.0,0.020731354769242018
25,50,0.06380283782420178,0.0,0.0,,,,,,,0.0,0.0,,,5.5,5.0,5.0,,,0.06380283782420178,0.0,0.0,0.00026673779674579897,,0.0002666666666666667,0.0,3.6622807017543857,0.0,0.020731511848166767
26,52,0.06380283782420178,0.0,0.0,,,,,,,0.0,0.0,,,5.0,5.0,5.0,,,0.06380283782420178,0.0,0.0,0.00026673779674579897,,0.0002666666666666667,0.0,3.935643564356436,0.0,0.020731511848166767
27,54,0.06380283782420178,0.0,0.0,,,,,,,0.0,0.0,,,5.0,5.0,5.0,,,0.06380283782420178,0.0,0.0,0.00026673779674579897,,0.0002666666666666667,0.0,3.935643564356436,0.0,0.020731511848166767
28,56,0.06380283782420178,0.0,0.0,,,,,,,0.0,0.0,,,5.0,5.0,5.0,,,0.06380283782420178,0.0,0.0,0.00026673779674579897,,0.0002666666666666667,0.0,3.935643564356436,0.0,0.020731511848166767
29,58,0.06380283782420178,0.0,0.0,,,,,,,0.0,0.0,,,5.0,5.0,5.0,,,0.06380283782420178,0.0,0.0,0.00026673779674579897,,0.0002666666666666667,0.0,3.606194690265487,0.0,0.020731511848166767
30,60,0.06380283782420178,0.0,0.0,,,,,,,0.0,0.0,,,5.0,5.0,5.0,,,0.06380283782420178,0.0,0.0,0.00026673779674579897,,0.0002666666666666667,0.0,3.606194690265487,0.0,0.020731511848166767
