Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/,502,0,23,130.70767191776716,19.288301467895508,3079.0884494781494,10711.121513944223,0.1838273110740389,0.0,23,25,27,31,330,500,1600,3000,3100,3100,3100,3100
GET,/cart,1588,0,26,158.8278546441412,16.977787017822266,3050.161600112915,13574.399244332493,0.5815095019632943,0.0,26,29,33,36,350,930,1900,2500,3000,3100,3100,3100
POST,/cart,1012,0,33,155.30232054442757,23.346900939941406,3365.3056621551514,16814.235177865612,0.3705841410496561,0.0,33,36,40,44,92,930,2400,3000,3400,3400,3400,3400
POST,/cart/checkout,492,0,46,177.1429229557999,33.22601318359375,3987.5192642211914,7651.016260162602,0.18016541244706602,0.0,46,54,84,100,370,790,1800,2500,4000,4000,4000,4000
GET,/product/0PUK6V6EV0,721,0,23,112.1880763446739,17.884492874145508,2137.1424198150635,7916.42718446602,0.26402289100474513,0.0,23,24,26,29,320,630,960,2100,2100,2100,2100,2100
GET,/product/1YMWWN1N4O,706,0,23,149.33568728881923,17.960071563720703,2144.740581512451,7992.78611898017,0.2585300430642858,0.0,23,25,28,34,330,770,2100,2100,2100,2100,2100,2100
GET,/product/2ZYFJ3GM2N,686,0,23,136.68404132909748,17.938852310180664,2136.0645294189453,7975.851311953353,0.25120624581034,0.0,23,24,27,31,340,640,2100,2100,2100,2100,2100,2100
GET,/product/66VCHSJNUP,645,0,22,111.75994910010996,17.012596130371094,2767.66037940979,7978.1906976744185,0.23619246143975117,0.0,22,24,26,28,320,620,1200,2100,2800,2800,2800,2800
GET,/product/6E92ZMYYFZ,682,0,23,130.92120931295355,17.03786849975586,2138.9338970184326,7988.740469208211,0.24974148635955085,0.0,23,25,27,32,330,640,1800,2100,2100,2100,2100,2100
GET,/product/9SIQT8TOJO,669,0,23,100.23461329028211,16.733646392822266,2137.739896774292,7956.430493273542,0.24498101814448608,0.0,23,24,26,28,270,540,920,2100,2100,2100,2100,2100
GET,/product/L9ECAV7KIM,695,0,23,106.61069574973565,17.824649810791016,2133.746385574341,7974.674820143885,0.2545019545746156,0.0,23,24,26,29,320,630,930,1800,2100,2100,2100,2100
GET,/product/LS4PSXUNUM,655,0,23,100.93479338493056,17.995595932006836,2338.4556770324707,8010.523664122137,0.23985436006672406,0.0,23,24,26,27,310,580,1100,2100,2300,2300,2300,2300
GET,/product/OLJCESPC7Z,654,0,23,101.33842299108476,17.46821403503418,2134.6662044525146,7945.934250764526,0.23948817020402677,0.0,23,24,27,29,280,550,1100,2100,2100,2100,2100,2100
POST,/setCurrency,1000,0,26,125.73376202583313,21.036863327026367,3056.191921234131,10708.873,0.36618986269728865,0.0,26,28,30,32,130,440,3000,3000,3100,3100,3100,3100
,Aggregated,10707,0,25,131.0249559794909,16.733646392822266,3987.5192642211914,10007.231904361632,3.9207948598998694,0.0,25,28,34,40,330,640,1700,2100,3200,3400,4000,4000
