"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1600333562","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1600333567","20","","Aggregated",72.00,0.00,43,47,54,57,76,280,640,750,1100,1100,1100,1100,590,4,43,68,5,1096,5644
"1600333572","20","","Aggregated",102.62,0.88,43,49,59,76,280,570,880,1100,1700,3800,3800,3800,1096,7,43,115,3,3756,5724
"1600333577","20","","Aggregated",110.20,1.10,43,56,250,260,490,710,1100,1300,3800,3800,3800,3800,1604,17,43,130,2,3756,5771
"1600333582","20","","Aggregated",100.20,1.70,43,55,220,260,490,730,1000,1300,5500,5500,5500,5500,2096,29,43,140,2,5481,5778
"1600333587","20","","Aggregated",100.80,2.10,43,55,220,260,490,730,1100,1500,5500,5500,5500,5500,2613,33,43,145,2,5481,5779
"1600333592","20","","Aggregated",100.40,1.50,43,55,220,260,510,870,1100,1600,3600,3600,3600,3600,3108,39,43,149,2,5481,5802
"1600333597","20","","Aggregated",100.70,0.80,44,56,220,260,500,840,1100,1500,3800,3800,3800,3800,3621,40,43,151,2,5481,5812
"1600333602","20","","Aggregated",101.60,0.30,44,56,220,260,490,750,1100,1300,3800,3800,3800,3800,4127,43,43,154,2,5481,5830
"1600333607","20","","Aggregated",101.30,0.50,44,56,220,260,480,690,990,1400,3400,3400,3400,3400,4632,46,43,154,2,5481,5825
"1600333612","20","","Aggregated",100.20,0.40,45,58,220,260,470,690,980,1400,3400,3400,3400,3400,5131,51,44,155,2,5481,5830
"1600333617","20","","Aggregated",101.00,0.70,45,56,220,260,480,720,1300,1500,14000,14000,14000,14000,5650,52,44,158,2,13570,5828
"1600333622","20","","Aggregated",101.70,0.60,44,55,220,260,480,820,1300,1700,14000,14000,14000,14000,6140,55,44,158,2,13570,5828
"1600333627","20","","Aggregated",99.60,0.50,44,56,220,260,500,890,1200,1400,3200,3200,3200,3200,6654,58,44,159,2,13570,5833
"1600333632","20","","Aggregated",100.50,0.60,43,57,250,260,490,720,1100,1300,3200,3200,3200,3200,7157,60,44,160,2,13570,5832
"1600333637","20","","Aggregated",101.80,0.30,43,55,250,260,480,710,1100,1500,2100,2100,2100,2100,7653,64,44,160,2,13570,5839
"1600333642","20","","Aggregated",100.60,0.70,43,55,230,260,480,830,1200,1500,2500,2500,2500,2500,8160,69,44,161,2,13570,5841
"1600333647","20","","Aggregated",100.50,1.10,44,55,220,260,480,710,1100,1500,2500,2500,2500,2500,8668,73,44,161,2,13570,5840
"1600333652","20","","Aggregated",100.80,0.90,44,56,220,260,480,740,1100,1500,4100,4100,4100,4100,9166,82,44,162,2,13570,5838
"1600333657","20","","Aggregated",101.60,1.40,44,56,220,260,490,870,1100,1500,4100,4100,4100,4100,9669,86,44,162,2,13570,5838
"1600333662","20","","Aggregated",100.80,1.50,44,56,240,260,480,830,1100,1500,2100,2100,2100,2100,10180,89,44,162,2,13570,5840
"1600333667","20","","Aggregated",99.50,0.80,44,56,240,260,480,700,1100,1500,4000,4000,4000,4000,10674,97,44,163,2,13570,5842
"1600333672","20","","Aggregated",100.70,0.90,44,56,230,260,480,820,1100,1600,3200,4000,4000,4000,11187,104,44,163,2,13570,5844
"1600333677","20","","Aggregated",101.50,1.50,45,56,220,260,480,830,1100,1500,3200,4800,4800,4800,11694,111,44,163,2,13570,5839
"1600333682","20","","Aggregated",100.60,1.30,45,57,220,260,480,830,1100,1500,3100,4800,4800,4800,12203,113,44,163,2,13570,5839
"1600333687","20","","Aggregated",100.30,0.80,46,58,220,270,480,810,1100,1300,2500,3500,3500,3500,12702,116,44,164,2,13570,5841
"1600333692","20","","Aggregated",100.60,0.60,45,56,220,260,480,810,1100,1300,3700,3700,3700,3700,13207,118,44,164,2,13570,5843
"1600333697","20","","Aggregated",100.80,0.90,44,56,240,260,490,810,1100,1300,3000,3700,3700,3700,13711,127,44,164,2,13570,5845
"1600333702","20","","Aggregated",100.80,1.10,44,55,250,270,500,740,1100,1500,2600,3000,3000,3000,14214,136,44,164,2,13570,5846
"1600333707","20","","Aggregated",99.80,1.40,43,55,220,260,510,820,1100,1500,2600,2800,2800,2800,14717,145,44,164,2,13570,5844
"1600333712","20","","Aggregated",100.00,1.70,44,56,220,260,480,880,1100,1500,2800,3200,3200,3200,15218,147,44,164,2,13570,5841
"1600333717","20","","Aggregated",100.80,1.00,45,56,220,260,480,860,1100,1500,3300,3300,3300,3300,15714,156,44,165,2,13570,5844
"1600333722","20","","Aggregated",100.60,1.10,44,57,250,260,490,720,950,1200,3300,3300,3300,3300,16222,159,44,165,2,13570,5846
"1600333727","20","","Aggregated",100.60,1.00,45,59,250,270,500,740,900,1200,1900,2100,2100,2100,16728,159,44,165,2,13570,5847
"1600333732","20","","Aggregated",100.20,0.40,45,58,240,260,480,760,1100,1500,2600,2600,2600,2600,17222,163,44,165,2,13570,5845
"1600333738","20","","Aggregated",101.10,1.00,44,56,220,270,500,830,1100,1400,2600,2600,2600,2600,17738,169,44,165,2,13570,5845
"1600333743","20","","Aggregated",101.50,1.10,44,56,220,260,480,830,1300,1500,2100,2100,2100,2100,18237,177,44,165,2,13570,5844
"1600333748","20","","Aggregated",98.30,0.90,49,260,310,330,420,680,1100,1500,3300,3300,3300,3300,18645,181,44,166,2,13570,5850
"1600333753","20","","Aggregated",83.70,1.10,270,320,340,360,390,480,720,1100,2600,2600,2600,2600,19011,191,45,168,2,13570,5850
"1600333758","20","","Aggregated",73.30,1.50,290,320,330,340,380,540,820,920,3800,3800,3800,3800,19366,193,45,169,2,13570,5849
"1600333763","20","","Aggregated",70.90,0.80,310,320,340,350,430,540,700,890,3800,3800,3800,3800,19733,195,45,171,2,13570,5849
"1600333768","20","","Aggregated",74.10,0.30,260,320,330,350,370,480,670,900,1900,1900,1900,1900,20165,201,45,171,2,13570,5851
"1600333773","20","","Aggregated",87.30,1.60,57,310,320,340,360,370,400,510,1700,1700,1700,1700,20669,211,45,171,2,13570,5853
"1600333778","20","","Aggregated",101.10,1.50,47,310,320,330,360,370,370,380,520,520,520,520,21189,211,45,171,2,13570,5850
"1600333783","20","","Aggregated",102.50,0.40,46,310,320,330,360,370,370,380,520,520,520,520,21706,215,45,171,2,13570,5852
"1600333788","20","","Aggregated",103.90,0.40,46,310,320,330,360,370,380,380,390,390,390,390,22235,215,45,171,2,13570,5851
"1600333793","20","","Aggregated",106.10,0.60,47,310,320,330,360,370,380,380,390,390,390,390,22750,220,45,171,2,13570,5852
"1600333798","20","","Aggregated",103.40,0.70,46,310,320,330,360,370,370,380,390,390,390,390,23273,223,45,170,2,13570,5852
"1600333803","20","","Aggregated",103.40,0.40,46,310,320,330,360,370,380,390,460,460,460,460,23792,224,45,170,2,13570,5852
"1600333808","20","","Aggregated",105.40,0.80,46,210,310,320,370,460,690,1100,3500,3500,3500,3500,24316,235,45,170,2,13570,5848
"1600333813","20","","Aggregated",103.50,2.10,44,57,220,260,470,870,1100,1300,3500,3500,3500,3500,24819,245,45,170,2,13570,5847
"1600333818","20","","Aggregated",101.10,2.40,43,55,220,260,620,880,1100,1500,3600,3600,3600,3600,25325,255,45,170,2,13570,5847
"1600333823","20","","Aggregated",101.00,1.40,44,56,230,260,490,770,1100,1400,3600,3600,3600,3600,25824,261,45,170,2,13570,5848
"1600333828","20","","Aggregated",99.50,0.70,45,56,250,270,480,810,1200,1400,2800,2800,2800,2800,26329,265,45,170,2,13570,5848
"1600333833","20","","Aggregated",100.10,1.70,44,56,250,270,490,700,1100,1300,2800,2800,2800,2800,26836,276,45,170,2,13570,5847
"1600333838","20","","Aggregated",101.40,1.90,44,56,220,260,480,690,1100,1200,3300,3300,3300,3300,27342,287,45,169,2,13570,5848
"1600333843","20","","Aggregated",100.90,1.20,44,55,220,260,480,700,1200,1500,3300,3300,3300,3300,27842,291,45,169,2,13570,5848
"1600333848","20","","Aggregated",101.30,1.40,43,54,220,260,490,870,1200,1500,2100,2100,2100,2100,28353,297,45,169,2,13570,5848
"1600333853","20","","Aggregated",101.60,1.20,44,56,220,260,480,850,1100,1500,2400,2400,2400,2400,28861,299,45,169,2,13570,5848
"1600333858","20","","Aggregated",100.70,1.10,43,58,230,260,480,720,1100,1400,2400,2400,2400,2400,29358,308,45,169,2,13570,5847
"1600333863","20","","Aggregated",100.20,1.50,45,57,220,260,480,880,1100,1500,2100,2100,2100,2100,29871,316,45,169,2,13570,5848
"1600333868","20","","Aggregated",100.00,1.20,44,55,220,260,480,700,1200,1500,2600,2600,2600,2600,30370,324,45,169,2,13570,5847
"1600333873","20","","Aggregated",100.80,1.10,43,54,69,240,480,720,1100,1500,2600,2600,2600,2600,30875,327,45,169,2,13570,5848
"1600333878","20","","Aggregated",101.00,1.80,43,55,210,260,470,730,1100,1500,9800,9800,9800,9800,31379,335,45,169,2,13570,5848
"1600333883","20","","Aggregated",101.00,1.10,43,56,240,260,480,690,1000,1200,13000,13000,13000,13000,31887,338,45,169,2,13570,5847
"1600333888","20","","Aggregated",101.10,0.60,43,57,260,260,480,710,1100,1400,13000,13000,13000,13000,32398,342,45,169,2,13570,5848
"1600333893","20","","Aggregated",101.10,1.10,44,55,220,260,480,840,1100,1300,3500,3500,3500,3500,32894,352,45,169,2,13570,5848
"1600333898","20","","Aggregated",100.70,1.40,43,55,220,260,490,830,1100,1400,6900,6900,6900,6900,33398,359,45,169,2,13570,5849
"1600333903","20","","Aggregated",100.00,1.80,44,57,220,260,480,710,1100,1500,6900,6900,6900,6900,33905,367,45,169,2,13570,5848
"1600333908","20","","Aggregated",100.60,1.20,44,58,230,260,490,730,1100,1300,3200,3200,3200,3200,34408,370,45,169,2,13570,5849
"1600333913","20","","Aggregated",101.00,1.00,44,56,240,260,490,730,1100,1300,1900,1900,1900,1900,34914,378,45,169,2,13570,5850
"1600333918","20","","Aggregated",101.30,1.60,43,54,220,260,490,880,1200,1300,4500,4500,4500,4500,35414,388,45,169,2,13570,5849
"1600333923","20","","Aggregated",101.20,1.60,43,56,230,260,490,770,1200,1300,2800,2800,2800,2800,35923,394,45,169,2,13570,5850
