latency delay Hipster,,
Random Select,0.07, AC_2@2
Random Select,0.17, AC_2@3
Random Select,0.33, AC_2@5
MicroRCA,0.6, AC_2@2
MicroRCA,0.74, AC_2@3
MicroRCA,0.83, AC_2@5
Microscope,0.57, AC_2@2
Microscope,0.69, AC_2@3
Microscope,0.78, AC_2@5
AAMR,0.68, AC_2@2
AAMR,0.77, AC_2@3
AAMR,0.84, AC_2@5
