type,replicas,1fPR,1fMAP,2fPR,2fMAP
RS,7,0.12,0.28,0.26,0.16
MicroRCA,7,0.79,0.93,0.91,0.89
Microscope,7,0.79,0.9,0.88,0.83
AAMR,7,0.9,0.95,0.93,0.89
RS,14,0.27,0.26,0.24,0.18
MicroRCA,14,0.89,0.89,0.87,0.89
Microscope,14,0.81,0.8,0.78,0.81
AAMR,14,0.96,0.94,0.92,0.88
RS,21,0.28,0.23,0.21,0.12
MicroRCA,21,0.86,0.86,0.84,0.85
Microscope,21,0.65,0.66,0.64,0.77
AAMR,21,0.95,0.94,0.92,0.88
RS,28,0.08,0.19,0.17,0.1
MicroRCA,28,0.81,0.83,0.81,0.8
Microscope,28,0.61,0.64,0.62,0.72
AAMR,28,1,0.93,0.91,0.84
RS,35,0.28,0.21,0.19,0.12
MicroRCA,35,0.82,0.85,0.83,0.76
Microscope,35,0.67,0.66,0.64,0.63
AAMR,35,0.96,0.93,0.91,0.83
RS,42,0.22,0.14,0.12,0.07
MicroRCA,42,0.7,0.79,0.77,0.69
Microscope,42,0.6,0.61,0.59,0.53
AAMR,42,0.95,0.91,0.89,0.79
RS,49,0.06,0.13,0.11,0.1
MicroRCA,49,0.72,0.78,0.76,0.66
Microscope,49,0.54,0.54,0.52,0.53
AAMR,49,0.92,0.89,0.87,0.77
RS,56,0.05,0.12,0.1,0.08
MicroRCA,56,0.78,0.74,0.72,0.65
Microscope,56,0.5,0.51,0.49,0.5
AAMR,56,0.82,0.85,0.83,0.74
RS,63,0.15,0.1,0.08,0.07
MicroRCA,63,0.76,0.76,0.74,0.64
Microscope,63,0.42,0.43,0.41,0.49
AAMR,63,0.84,0.86,0.84,0.68
RS,72,0.07,0.12,0.1,0.03
MicroRCA,72,0.69,0.74,0.72,0.59
Microscope,72,0.4,0.42,0.4,0.41
AAMR,72,0.89,0.86,0.84,0.65
