,timestamp,ctn_cpu,ctn_network,ctn_memory,node_cpu,node_network,node_memory
0,2020-08-28 06:22:21,9.071077777775827e-05,1.8777777777777774e-05,1005.3404444444444,0.062194444444442956,0.00031111111111111107,0.5128331932028132
1,2020-08-28 06:22:26,9.071077777775827e-05,1.8777777777777774e-05,1005.3404444444444,0.062194444444442956,0.00031111111111111107,0.5128331932028132
2,2020-08-28 06:22:31,9.071077777775827e-05,1.8777777777777774e-05,1005.3404444444444,0.062194444444442956,0.00031111111111111107,0.5128331932028132
3,2020-08-28 06:22:36,8.758504444459604e-05,2.015012345679012e-05,0.0,0.06294444444444534,0.0002888888888888889,0.5127783541750329
4,2020-08-28 06:22:41,8.758504444459604e-05,2.015012345679012e-05,0.0,0.06294444444444534,0.0002888888888888889,0.5127783541750329
5,2020-08-28 06:22:46,8.758504444459604e-05,2.015012345679012e-05,0.0,0.06294444444444534,0.0002888888888888889,0.5127783541750329
6,2020-08-28 06:22:51,8.775048888891331e-05,2.4778271604938263e-05,0.0,0.06186111111111317,0.00031111111111111107,0.5126290838169045
7,2020-08-28 06:22:56,8.775048888891331e-05,2.4778271604938263e-05,0.0,0.06186111111111317,0.00031111111111111107,0.5126290838169045
8,2020-08-28 06:23:01,8.775048888891331e-05,2.4778271604938263e-05,0.0,0.06186111111111317,0.00031111111111111107,0.5126290838169045
9,2020-08-28 06:23:06,1.3116355555729972e-05,2.704e-05,0.0,0.0634722222222192,0.0002888888888888889,0.5116284559961066
10,2020-08-28 06:23:11,1.3116355555729972e-05,2.704e-05,0.0,0.0634722222222192,0.0002888888888888889,0.5116284559961066
11,2020-08-28 06:23:16,1.3116355555729972e-05,2.704e-05,0.0,0.0634722222222192,0.0002888888888888889,0.5116284559961066
12,2020-08-28 06:23:21,1.4920977777895435e-05,2.5446419753086412e-05,6.917688888888888,0.06055555555555549,0.00031111111111111107,0.5113712289868773
13,2020-08-28 06:23:26,1.4920977777895435e-05,2.5446419753086412e-05,6.917688888888888,0.06055555555555549,0.00031111111111111107,0.5113712289868773
14,2020-08-28 06:23:31,1.4920977777895435e-05,2.5446419753086412e-05,6.917688888888888,0.06055555555555549,0.00031111111111111107,0.5113712289868773
15,2020-08-28 06:23:36,1.5959399999903528e-05,2.3901234567901233e-05,12.379022222222222,0.060722222222217404,0.0002888888888888889,0.5115281227076118
16,2020-08-28 06:23:41,1.5959399999903528e-05,2.3901234567901233e-05,12.379022222222222,0.060722222222217404,0.0002888888888888889,0.5115281227076118
17,2020-08-28 06:23:46,1.5959399999903528e-05,2.3901234567901233e-05,12.379022222222222,0.060722222222217404,0.0002888888888888889,0.5115281227076118
18,2020-08-28 06:23:51,1.5671355555468836e-05,1.9556049382716043e-05,2275.7376,0.06169444444444542,0.00031111111111111107,0.5114169691625146
19,2020-08-28 06:23:56,1.5671355555468836e-05,1.9556049382716043e-05,2275.7376,0.06169444444444542,0.00031111111111111107,0.5114169691625146
20,2020-08-28 06:24:01,1.5671355555468836e-05,1.9556049382716043e-05,2275.7376,0.06169444444444542,0.00031111111111111107,0.5114169691625146
21,2020-08-28 06:24:06,1.0810155555418532e-05,1.7640000000000004e-05,2268.819911111111,0.07180555555555317,0.0002888888888888889,0.5063102998760343
22,2020-08-28 06:24:11,1.0810155555418532e-05,1.7640000000000004e-05,2268.819911111111,0.07180555555555317,0.0002888888888888889,0.5063102998760343
23,2020-08-28 06:24:16,1.0810155555418532e-05,1.7640000000000004e-05,2268.819911111111,0.07180555555555317,0.0002888888888888889,0.5063102998760343
24,2020-08-28 06:24:21,9.221439999988786e-05,2.567111111111111e-05,2263.358577777778,0.11458333333334095,0.0002888888888888889,0.5058137976469385
25,2020-08-28 06:24:26,9.221439999988786e-05,2.567111111111111e-05,2263.358577777778,0.11458333333334095,0.0002888888888888889,0.5058137976469385
26,2020-08-28 06:24:31,9.221439999988786e-05,2.567111111111111e-05,2263.358577777778,0.11458333333334095,0.0002888888888888889,0.5058137976469385
27,2020-08-28 06:24:36,9.101882222226877e-05,2.3901234567901233e-05,0.0,0.15652777777778254,0.0002888888888888889,0.5029361012205495
28,2020-08-28 06:24:41,9.101882222226877e-05,2.3901234567901233e-05,0.0,0.15652777777778254,0.0002888888888888889,0.5029361012205495
29,2020-08-28 06:24:46,9.101882222226877e-05,2.3901234567901233e-05,0.0,0.15652777777778254,0.0002888888888888889,0.5029361012205495
30,2020-08-28 06:24:51,9.621535555545e-05,2.3468641975308636e-05,0.0,0.1478611111111122,0.0002888888888888889,0.5017362823122986
