,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,loadgenerator_frontend,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,carts_carts-db,orders_orders-db,queue-master_rabbitmq,shipping_rabbitmq,cartservice_redis-cart,user_user-db
0,2.5,2.5,2.7027027027027026,100.0,2.5,2.5,2.5,17.045454545454547,2.5,2.5,2.5,2.5,2.578125,2.5,2.5,0.04253333333333333,0.04253333333333333,0.0005333333333333334,0.0,0.16419999999999998,0.003533333333333333
1,2.5,2.5,2.7027027027027026,100.0,2.5,2.5,2.5,17.045454545454547,2.5,2.5,2.5,2.5,2.578125,2.5,2.5,0.04253333333333333,0.04253333333333333,0.0005333333333333334,0.0,0.16419999999999998,0.003533333333333333
2,2.5,2.5,2.5,37.50000000000001,2.5,2.5,2.5,18.863636363636367,2.5,2.5,2.5,2.5,2.9166666666666665,2.5,2.5,0.035444444444444445,0.035444444444444445,0.00035555555555555557,0.0,0.12666666666666665,0.008088888888888889
3,2.5,2.5,2.5,37.50000000000001,2.5,2.5,2.5,18.863636363636367,2.5,2.5,2.5,2.5,2.9166666666666665,2.5,2.5,0.0319,0.0319,0.0002666666666666667,0.0,0.10789999999999998,0.010366666666666666
4,2.5,2.5,2.5,37.50000000000001,2.5,2.5,2.5,18.863636363636367,2.5,2.5,2.5,2.5,2.9166666666666665,2.5,2.5,0.02977333333333333,0.02977333333333333,0.00021333333333333333,0.0,0.09663999999999998,0.011733333333333333
5,2.5,2.5,2.5,17.5,2.5,2.5,2.5,17.840909090909093,2.5,2.5,2.5,2.5,2.8571428571428577,2.5,2.5,0.0319,0.0319,0.00017777777777777779,8.888888888888889e-05,0.09555555555555555,0.010366666666666666
6,2.5,2.5,2.5,17.5,2.5,2.5,2.5,17.840909090909093,2.5,2.5,2.5,2.5,2.8571428571428577,2.5,2.5,0.03341904761904762,0.03341904761904762,0.0001523809523809524,0.0001523809523809524,0.09478095238095238,0.00939047619047619
7,2.5,2.5,2.5,17.5,2.5,2.5,2.5,17.840909090909093,2.5,2.5,2.5,2.5,2.8571428571428577,2.5,2.5,0.03455833333333333,0.03455833333333333,0.00013333333333333334,0.0002,0.0942,0.008658333333333334
8,2.5,5.0,2.5,37.50000000000001,2.5,2.5,2.5,16.176470588235297,2.5,2.5,2.5,2.5,2.6724137931034484,2.5,2.5,0.033081481481481476,0.033081481481481476,0.00011851851851851852,0.00017777777777777779,0.08930370370370372,0.009607407407407407
9,2.5,5.0,2.5,37.50000000000001,2.5,2.5,2.5,16.176470588235297,2.5,2.5,2.5,2.5,2.6724137931034484,2.5,2.5,0.0319,0.0319,0.00010666666666666667,0.00016,0.08538666666666668,0.010366666666666666
10,2.5,5.0,2.5,37.50000000000001,2.5,2.5,2.5,16.176470588235297,2.5,2.5,2.5,2.5,2.6724137931034484,2.5,2.5,0.030933333333333327,0.030933333333333327,9.696969696969698e-05,0.00014545454545454546,0.08218181818181819,0.010987878787878786
11,2.6470588235294117,,2.5,,,2.526315789473684,,15.795454545454547,,,2.5,2.5,2.625,,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.08391666666666668,0.010366666666666665
12,2.6470588235294117,,2.5,,,2.526315789473684,,15.795454545454547,,,2.5,2.5,2.625,,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.07881666666666667,0.010366666666666665
13,2.6470588235294117,,2.5,,,2.526315789473684,,15.795454545454547,,,2.5,2.5,2.625,,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.07371666666666668,0.010366666666666665
14,2.5,2.5,2.5,37.50000000000001,2.5,2.5,2.5,16.38888888888889,2.5,2.5,2.5,2.5,2.6086956521739126,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.07663333333333334,0.010366666666666665
15,2.5,2.5,2.5,37.50000000000001,2.5,2.5,2.5,16.38888888888889,2.5,2.5,2.5,2.5,2.6086956521739126,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.07955000000000002,0.010366666666666665
16,2.5,2.5,2.5,37.50000000000001,2.5,2.5,2.5,16.38888888888889,2.5,2.5,2.5,2.5,2.6086956521739126,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.08246666666666667,0.010366666666666665
17,2.5,2.5,2.5,37.50000000000001,2.5,2.5,2.5,17.232142857142858,2.5,2.5,2.5,2.5,2.5862068965517246,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.0840888888888889,0.010366666666666665
18,2.5,2.5,2.5,37.50000000000001,2.5,2.5,2.5,17.232142857142858,2.5,2.5,2.5,2.5,2.5862068965517246,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.08571111111111111,0.010366666666666665
19,2.5,2.5,2.5,37.50000000000001,2.5,2.5,2.5,17.232142857142858,2.5,2.5,2.5,2.5,2.5862068965517246,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.08733333333333332,0.010366666666666665
20,2.5,2.5,2.5,17.5,2.5,2.5,2.5,16.5625,2.5,2.5,2.5,2.5,2.625,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.08614444444444443,0.010366666666666665
21,2.5,2.5,2.5,17.5,2.5,2.5,2.5,16.5625,2.5,2.5,2.5,2.5,2.625,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.08495555555555555,0.010366666666666665
22,2.5,2.5,2.5,17.5,2.5,2.5,2.5,16.5625,2.5,2.5,2.5,2.5,2.625,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.08376666666666666,0.010366666666666665
23,2.5,2.5,2.7142857142857144,37.50000000000001,2.5,2.5,2.5,17.8,2.5,2.5,2.5,2.5,2.692307692307692,3.333333333333333,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.08486111111111111,0.010366666666666665
24,2.5,2.5,2.7142857142857144,37.50000000000001,2.5,2.5,2.5,17.8,2.5,2.5,2.5,2.5,2.692307692307692,3.333333333333333,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.08595555555555556,0.010366666666666665
25,2.5,2.5,2.7142857142857144,37.50000000000001,2.5,2.5,2.5,17.8,2.5,2.5,2.5,2.5,2.692307692307692,3.333333333333333,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.08705000000000002,0.010366666666666665
26,2.5,2.857142857142857,2.625,37.5,2.5,2.5,2.5,17.5,2.5,2.5,2.5,2.5,2.86764705882353,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.08618333333333335,0.010366666666666665
27,2.5,2.857142857142857,2.625,37.5,2.5,2.5,2.5,17.5,2.5,2.5,2.5,2.5,2.86764705882353,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.0853166666666667,0.010366666666666665
28,2.5,2.857142857142857,2.625,37.5,2.5,2.5,2.5,17.5,2.5,2.5,2.5,2.5,2.86764705882353,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.08445000000000003,0.010366666666666665
29,2.5,2.5,2.661290322580645,21.25,2.5,2.5,2.5,18.1,2.5,2.5,2.5,2.5,2.884615384615384,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.08375000000000003,0.010366666666666665
30,2.5,2.5,2.661290322580645,21.25,2.5,2.5,2.5,18.1,2.5,2.5,2.5,2.5,2.884615384615384,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.00013333333333333334,0.08305000000000003,0.010366666666666665
