,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,loadgenerator_frontend,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,carts_carts-db,orders_orders-db,queue-master_rabbitmq,shipping_rabbitmq,cartservice_redis-cart,user_user-db
0,2.5,2.5,2.7027027027027026,100.0,2.5,2.5,2.5,17.045454545454547,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.04253333333333333,0.04253333333333333,0.0005333333333333334,0.0,0.16419999999999998,0.003533333333333333
1,2.5,2.5,2.7027027027027026,100.0,2.5,2.5,2.5,17.045454545454547,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.04253333333333333,0.04253333333333333,0.0005333333333333334,0.0,0.16419999999999998,0.003533333333333333
2,2.5,2.5,2.5,37.50000000000001,2.5,2.5,2.5,17.8,2.5,2.5,2.5,2.5,2.692307692307692,2.5,2.5,0.035444444444444445,0.035444444444444445,0.00035555555555555557,0.0,0.12666666666666665,0.008088888888888889
3,2.5,2.5,2.5,37.50000000000001,2.5,2.5,2.5,17.8,2.5,2.5,2.5,2.5,2.692307692307692,2.5,2.5,0.0319,0.0319,0.0002666666666666667,0.0,0.10789999999999998,0.010366666666666666
4,2.5,2.5,2.5,37.50000000000001,2.5,2.5,2.5,17.8,2.5,2.5,2.5,2.5,2.692307692307692,2.5,2.5,0.02977333333333333,0.02977333333333333,0.00021333333333333333,0.0,0.09663999999999998,0.011733333333333333
5,2.5,2.5,2.5,17.5,2.5,2.5,2.5,17.1875,2.5,2.5,2.5,2.5,2.6086956521739126,2.5,2.5,0.0319,0.0319,0.00017777777777777779,8.888888888888889e-05,0.09555555555555555,0.010366666666666666
6,2.5,2.5,2.5,17.5,2.5,2.5,2.5,17.1875,2.5,2.5,2.5,2.5,2.6086956521739126,2.5,2.5,0.03341904761904762,0.03341904761904762,0.0001523809523809524,0.0001523809523809524,0.09478095238095238,0.00939047619047619
7,2.5,2.5,2.5,17.5,2.5,2.5,2.5,17.1875,2.5,2.5,2.5,2.5,2.6086956521739126,2.5,2.5,0.03455833333333333,0.03455833333333333,0.00013333333333333334,0.0002,0.0942,0.008658333333333334
8,2.5,5.0,2.5,37.50000000000001,2.5,2.5,2.5,16.136363636363637,2.5,2.5,2.5,2.5,2.583333333333334,2.5,2.5,0.033081481481481476,0.033081481481481476,0.00011851851851851852,0.00017777777777777779,0.08930370370370372,0.009607407407407407
9,2.5,5.0,2.5,37.50000000000001,2.5,2.5,2.5,16.136363636363637,2.5,2.5,2.5,2.5,2.583333333333334,2.5,2.5,0.0319,0.0319,0.00010666666666666667,0.00016,0.08538666666666668,0.010366666666666666
