,source,destination
0,cartservice,redis-cart
1,frontend,cartservice
2,frontend,checkoutservice
3,checkoutservice,productcatalogservice
4,recommendationservice,productcatalogservice
5,frontend,adservice
6,frontend,recommendationservice
7,unknown,frontend
8,frontend,currencyservice
9,frontend,productcatalogservice
10,checkoutservice,shippingservice
11,checkoutservice,cartservice
12,checkoutservice,emailservice
13,checkoutservice,paymentservice
14,frontend,shippingservice
15,checkoutservice,currencyservice
