,all
Unnamed: 0,29.660493827160494
cartservice_redis-cart,0.43052976276365784
checkoutservice_cartservice,5.360675448118518
checkoutservice_currencyservice,5.023433927754914
checkoutservice_emailservice,4.9753086419753085
checkoutservice_paymentservice,4.943415637860082
checkoutservice_productcatalogservice,4.465020576131687
checkoutservice_shippingservice,4.965182124273034
frontend_adservice,4.96762874415246
frontend_cartservice,5.5715089336655526
frontend_checkoutservice,65.32508808404147
frontend_currencyservice,5.013736066415721
frontend_productcatalogservice,4.9825821595618205
frontend_recommendationservice,7.0379616471019615
frontend_shippingservice,4.943415637860082
recommendationservice_productcatalogservice,4.978464544221162
unknown_frontend,
