,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,unknown_frontend,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,cartservice_redis-cart
0,2.5227272727272734,2.5,2.5709219858156027,21.25,2.5,2.504288164665523,2.5,311.9047619047619,2.5,2.5,2.5069735006973497,2.5,2.8316326530612246,2.5,2.5,0.15706666666666666
1,2.5227272727272734,2.5,2.5709219858156027,21.25,2.5,2.504288164665523,2.5,311.9047619047619,2.5,2.5,2.5069735006973497,2.5,2.8316326530612246,2.5,2.5,0.15706666666666666
2,2.5227272727272734,2.5,2.5709219858156027,21.25,2.5,2.504288164665523,2.5,311.9047619047619,2.5,2.5,2.5069735006973497,2.5,2.8316326530612246,2.5,2.5,0.15706666666666666
3,2.5,2.5,2.516025641025641,35.416666666666664,2.5,2.5112866817155757,2.5,321.4285714285714,2.5,2.5,2.5,2.5,2.86697247706422,2.5,2.5,0.1914
4,2.5,2.5,2.516025641025641,35.416666666666664,2.5,2.5112866817155757,2.5,321.4285714285714,2.5,2.5,2.5,2.5,2.86697247706422,2.5,2.5,0.21200000000000002
5,2.5,2.5,2.516025641025641,35.416666666666664,2.5,2.5112866817155757,2.5,321.4285714285714,2.5,2.5,2.5,2.5,2.86697247706422,2.5,2.5,0.22573333333333334
6,2.5,2.5,2.538167938931298,31.25,2.5,2.5049603174603177,2.5,317.75700934579436,2.5,2.5,2.5034722222222223,2.5,2.6470588235294117,2.5,2.5,0.21433333333333332
7,2.5,2.5,2.538167938931298,31.25,2.5,2.5049603174603177,2.5,317.75700934579436,2.5,2.5,2.5034722222222223,2.5,2.6470588235294117,2.5,2.5,0.20578333333333332
8,2.5,2.5,2.538167938931298,31.25,2.5,2.5049603174603177,2.5,317.75700934579436,2.5,2.5,2.5034722222222223,2.5,2.6470588235294117,2.5,2.5,0.1991333333333333
9,2.5255102040816326,2.5,2.536231884057971,29.166666666666668,2.5,2.5,2.5,320.45454545454544,2.5,2.5,2.5,2.5,2.6595744680851063,2.5,2.5,0.20727333333333334
10,2.5255102040816326,2.5,2.536231884057971,29.166666666666668,2.5,2.5,2.5,320.45454545454544,2.5,2.5,2.5,2.5,2.6595744680851063,2.5,2.5,0.21393333333333334
11,2.5255102040816326,2.5,2.536231884057971,29.166666666666668,2.5,2.5,2.5,320.45454545454544,2.5,2.5,2.5,2.5,2.6595744680851063,2.5,2.5,0.21948333333333336
12,2.5,2.5,2.5,31.25,2.5,2.5,2.5,331.9672131147541,2.5,2.5,2.503205128205128,2.5,2.6260504201680672,2.5,2.578125,0.22045000000000003
