,source,destination
0,cartservice,redis-cart
1,recommendationservice,productcatalogservice
2,checkoutservice,shippingservice
3,frontend,shippingservice
4,checkoutservice,cartservice
5,frontend,currencyservice
6,checkoutservice,paymentservice
7,frontend,adservice
8,unknown,frontend
9,checkoutservice,emailservice
10,checkoutservice,productcatalogservice
11,frontend,recommendationservice
12,frontend,cartservice
13,checkoutservice,currencyservice
14,frontend,checkoutservice
15,frontend,productcatalogservice
