,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,unknown_frontend,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,front-end_carts,orders_carts,carts_carts-db,front-end_catalogue,catalogue_catalogue-db,unknown_front-end,front-end_orders,orders_orders-db,orders_payment,queue-master_rabbitmq,shipping_rabbitmq,cartservice_redis-cart,orders_shipping,front-end_user,orders_user,user_user-db
0,2.5,2.5,2.5,32.142857142857146,2.5,2.5,2.5,17.90178571428572,2.5,2.5,2.5,2.5,2.6814516129032255,2.5,2.5,0.0,0.0,0.021266666666666666,0.0,0.0,0.0,0.0,0.021266666666666666,0.0,0.0,0.0005333333333333334,0.4138,0.0,0.0,0.0,0.003533333333333333
1,2.5,2.5,3.0445544554455446,22.5,2.7500000000000004,2.505197505197505,2.5,21.148648648648653,2.5,2.5,2.510121457489879,2.542372881355932,3.1790123456790123,2.5,2.5,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0319,0.0,0.0,0.0002666666666666667,0.32526666666666665,0.0,0.0,0.0,0.010366666666666666
2,2.5,2.5,3.0445544554455446,22.5,2.7500000000000004,2.505197505197505,2.5,21.148648648648653,2.5,2.5,2.510121457489879,2.542372881355932,3.1790123456790123,2.5,2.5,0.0,0.0,0.035444444444444445,0.0,0.0,0.0,0.0,0.035444444444444445,0.0,0.0,0.00017777777777777779,0.29575555555555555,0.0,0.0,0.0,0.012644444444444444
3,2.5,2.5,3.0445544554455446,22.5,2.7500000000000004,2.505197505197505,2.5,21.148648648648653,2.5,2.5,2.510121457489879,2.542372881355932,3.1790123456790123,2.5,2.5,0.0,0.0,0.03721666666666667,0.0,0.0,0.0,0.0,0.03721666666666667,0.0,0.0,0.00013333333333333334,0.28099999999999997,0.0,0.0,0.0,0.013783333333333333
4,2.5,2.857142857142857,3.1034482758620694,41.66666666666667,2.5,2.5054347826086962,2.5,20.745192307692303,2.5,2.5,2.5056947608200453,2.5,3.237704918032787,2.5,2.5,0.0,0.0,0.03402666666666666,0.0,0.0,0.0,0.0,0.03402666666666666,0.0,0.0,0.00010666666666666667,0.31151999999999996,0.0,0.0,0.0,0.011733333333333333
5,2.5,2.857142857142857,3.1034482758620694,41.66666666666667,2.5,2.5054347826086962,2.5,20.745192307692303,2.5,2.5,2.5056947608200453,2.5,3.237704918032787,2.5,2.5,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0319,0.0,0.0,8.888888888888889e-05,0.33186666666666664,0.0,0.0,0.0,0.010366666666666666
6,2.5,2.857142857142857,3.1034482758620694,41.66666666666667,2.5,2.5054347826086962,2.5,20.745192307692303,2.5,2.5,2.5056947608200453,2.5,3.237704918032787,2.5,2.5,0.0,0.0,0.030380952380952377,0.0,0.0,0.0,0.0,0.030380952380952377,0.0,0.0,7.61904761904762e-05,0.3464,0.0,0.0,0.0,0.00939047619047619
7,2.5,2.5,2.5170068027210886,21.25,2.5,2.510893246187364,2.5,18.419811320754718,2.5,2.5,2.5,2.5,2.7433628318584073,2.5,2.5,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0319,0.0,6.666666666666667e-05,6.666666666666667e-05,0.336275,0.0,0.0,0.0,0.010366666666666666
8,2.5,2.5,2.5170068027210886,21.25,2.5,2.510893246187364,2.5,18.419811320754718,2.5,2.5,2.5,2.5,2.7433628318584073,2.5,2.5,0.0,0.0,0.033081481481481476,0.0,0.0,0.0,0.0,0.033081481481481476,0.0,0.00011851851851851852,5.925925925925926e-05,0.3284,0.0,0.0,0.0,0.011125925925925925
9,2.5,2.5,2.5170068027210886,21.25,2.5,2.510893246187364,2.5,18.419811320754718,2.5,2.5,2.5,2.5,2.7433628318584073,2.5,2.5,0.0,0.0,0.03402666666666666,0.0,0.0,0.0,0.0,0.03402666666666666,0.0,0.00016,5.333333333333333e-05,0.3221,0.0,0.0,0.0,0.011733333333333332
