,source,destination
0,cartservice,redis-cart
1,checkoutservice,cartservice
2,checkoutservice,currencyservice
3,checkoutservice,emailservice
4,checkoutservice,paymentservice
5,frontend,shippingservice
6,frontend,adservice
7,recommendationservice,productcatalogservice
8,frontend,recommendationservice
9,frontend,checkoutservice
10,frontend,currencyservice
11,unknown,frontend
12,frontend,productcatalogservice
13,frontend,cartservice
14,checkoutservice,productcatalogservice
15,checkoutservice,shippingservice
