,source,destination
0,cartservice,redis-cart
1,checkoutservice,currencyservice
2,frontend,currencyservice
3,checkoutservice,emailservice
4,checkoutservice,paymentservice
5,frontend,recommendationservice
6,frontend,checkoutservice
7,frontend,adservice
8,frontend,cartservice
9,checkoutservice,productcatalogservice
10,recommendationservice,productcatalogservice
11,checkoutservice,shippingservice
12,frontend,shippingservice
13,checkoutservice,cartservice
14,unknown,frontend
15,frontend,productcatalogservice
