,all
Unnamed: 0,465.0
cartservice_redis-cart,3.510287200823338
checkoutservice_cartservice,104.80170618854831
checkoutservice_currencyservice,94.88083644209445
checkoutservice_emailservice,93.0
checkoutservice_paymentservice,112.99899193548389
checkoutservice_productcatalogservice,93.0
checkoutservice_shippingservice,93.0
frontend_adservice,93.02325581395348
frontend_cartservice,108.37120750417859
frontend_checkoutservice,2045.6566819063005
frontend_currencyservice,94.3031472370504
frontend_productcatalogservice,93.2075351859385
frontend_recommendationservice,114.25015662888309
frontend_shippingservice,93.0
recommendationservice_productcatalogservice,93.09576658537654
unknown_frontend,
