,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,loadgenerator_frontend,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,cartservice_redis-cart
0,2.5,,2.573529411764706,,,2.5,,21.000000000000004,,,2.5,2.5,3.6111111111111116,,2.5,0.15193333333333334
1,2.5,,2.573529411764706,,,2.5,,21.000000000000004,,,2.5,2.5,3.6111111111111116,,2.5,0.15193333333333334
2,2.5,2.5,2.5,50.0,2.5,2.5,2.5,22.5,2.5,2.5,2.5,2.5,3.28125,2.5,2.5,0.14393333333333333
3,2.5,2.5,2.5,50.0,2.5,2.5,2.5,22.5,2.5,2.5,2.5,2.5,3.28125,2.5,2.5,0.13993333333333335
4,2.5,2.5,2.5,50.0,2.5,2.5,2.5,22.5,2.5,2.5,2.5,2.5,3.28125,2.5,2.5,0.13753333333333334
5,2.5,2.5,2.5625000000000004,75.00000000000001,2.5,2.5,2.5,29.166666666666668,2.5,2.5,2.5113636363636367,2.5,3.5714285714285716,2.5,2.5,0.14312222222222223
6,2.5,2.5,2.5625000000000004,75.00000000000001,2.5,2.5,2.5,29.166666666666668,2.5,2.5,2.5113636363636367,2.5,3.5714285714285716,2.5,2.5,0.14711428571428573
7,2.5,2.5,2.5625000000000004,75.00000000000001,2.5,2.5,2.5,29.166666666666668,2.5,2.5,2.5113636363636367,2.5,3.5714285714285716,2.5,2.5,0.15010833333333334
8,2.5,2.5,2.916666666666667,37.50000000000001,2.5,2.5,2.5,343.75,2.5,2.5,2.5,2.5,5.0,2.5,2.5,0.1506
9,2.5,2.5,2.916666666666667,37.50000000000001,2.5,2.5,2.5,343.75,2.5,2.5,2.5,2.5,5.0,2.5,2.5,0.15099333333333337
10,2.5,2.5,2.916666666666667,37.50000000000001,2.5,2.5,2.5,343.75,2.5,2.5,2.5,2.5,5.0,2.5,2.5,0.15131515151515154
11,2.5,2.5,2.8125,37.50000000000001,2.5,2.5675675675675675,2.5,315.0,2.5,2.5,2.5142857142857147,2.5,375.0,2.5,2.5,0.15168333333333336
12,2.5,2.5,2.8125,37.50000000000001,2.5,2.5675675675675675,2.5,315.0,2.5,2.5,2.5142857142857147,2.5,375.0,2.5,2.5,0.15200000000000002
13,2.5,2.5,2.8125,37.50000000000001,2.5,2.5675675675675675,2.5,315.0,2.5,2.5,2.5142857142857147,2.5,375.0,2.5,2.5,0.15231666666666668
14,2.5,,2.6470588235294117,,,2.5,,298.9130434782609,,,2.5,2.5,375.0,,2.5,0.15220000000000003
15,2.5,,2.6470588235294117,,,2.5,,298.9130434782609,,,2.5,2.5,375.0,,2.5,0.15208333333333338
16,2.5,,2.6470588235294117,,,2.5,,298.9130434782609,,,2.5,2.5,375.0,,2.5,0.15196666666666672
17,2.5,2.5,2.661290322580645,50.0,2.5,2.5,5.0,321.4285714285714,2.5,2.5,2.5,2.5,375.0,2.5,2.5,0.15227222222222228
18,2.5,2.5,2.661290322580645,50.0,2.5,2.5,5.0,321.4285714285714,2.5,2.5,2.5,2.5,375.0,2.5,2.5,0.15257777777777784
19,2.5,2.5,2.661290322580645,50.0,2.5,2.5,5.0,321.4285714285714,2.5,2.5,2.5,2.5,375.0,2.5,2.5,0.1528833333333334
20,2.5,3.333333333333333,2.5,37.50000000000001,2.5,2.5,2.5,333.3333333333333,2.5,2.5,2.5,2.5,375.0,2.5,2.5,0.15177777777777782
21,2.5,3.333333333333333,2.5,37.50000000000001,2.5,2.5,2.5,333.3333333333333,2.5,2.5,2.5,2.5,375.0,2.5,2.5,0.15067222222222226
22,2.5,3.333333333333333,2.5,37.50000000000001,2.5,2.5,2.5,333.3333333333333,2.5,2.5,2.5,2.5,375.0,2.5,2.5,0.1495666666666667
23,2.5,,2.685185185185185,,,2.5,,342.3913043478261,,,2.5,2.5,375.0,,2.5,0.14703124486213873
24,2.5,,2.685185185185185,,,2.5,,342.3913043478261,,,2.5,2.5,375.0,,2.5,0.14449582305761074
25,2.5,,2.685185185185185,,,2.5,,342.3913043478261,,,2.5,2.5,375.0,,2.5,0.14196040125308276
26,2.5,,2.5,,,2.5,,307.29166666666663,,,2.5314465408805034,2.5,375.0,,2.5,0.14168467721938713
27,2.5,,2.5,,,2.5,,307.29166666666663,,,2.5314465408805034,2.5,375.0,,2.5,0.1414089531856915
28,2.5,,2.5,,,2.5,,307.29166666666663,,,2.5314465408805034,2.5,375.0,,2.5,0.14113322915199586
29,2.638888888888889,2.5,2.565789473684211,50.0,2.5,2.5,2.5,340.90909090909093,2.5,2.5,2.5,2.5,375.0,2.5,2.5,0.14144434026310695
30,2.638888888888889,2.5,2.565789473684211,50.0,2.5,2.5,2.5,340.90909090909093,2.5,2.5,2.5,2.5,375.0,2.5,2.5,0.14175545137421805
