,Unnamed: 0,carts_carts-db,cartservice_redis-cart,checkoutservice_cartservice,checkoutservice_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,frontend_adservice,frontend_cartservice,frontend_checkoutservice,frontend_currencyservice,frontend_productcatalogservice,frontend_recommendationservice,frontend_shippingservice,orders_orders-db,queue-master_rabbitmq,recommendationservice_productcatalogservice,shipping_rabbitmq,unknown_frontend,user_user-db
0,0,0.08506666666666667,0.69,5.505050505050505,5.0,5.0,5.0,5.0,5.0,5.047169811320755,5.096153846153847,75.00000000000001,5.00886524822695,5.023675674767235,5.2836325787145455,5.0,0.0638,0.0,5.0,0.0010666666666666667,17.03488372093023,0.0070666666666666655
1,2,0.08506666666666667,0.69,5.505050505050505,5.0,5.0,5.0,5.0,5.0,5.047169811320755,5.096153846153847,75.00000000000001,5.00886524822695,5.023675674767235,5.2836325787145455,5.0,0.0638,0.0,5.0,0.0010666666666666667,17.03488372093023,0.0070666666666666655
2,4,0.08506666666666667,0.69,5.505050505050505,5.0,5.0,5.0,5.0,5.0,5.047169811320755,5.096153846153847,75.00000000000001,5.00886524822695,5.023675674767235,5.2836325787145455,5.0,0.0638,0.0,5.0,0.0010666666666666667,17.03488372093023,0.0070666666666666655
3,6,0.07443333333333332,0.5977333333333333,5.0,5.0,5.0,5.0,5.0,5.0,5.025,5.070422535211266,47.5,5.004863813229573,5.0,5.759926508114728,5.0,0.0638,0.0,5.0,0.0008,17.69230769230769,0.0139
4,8,0.06805333333333333,0.5423733333333334,5.0,5.0,5.0,5.0,5.0,5.0,5.025,5.070422535211266,47.5,5.004863813229573,5.0,5.759926508114728,5.0,0.0638,0.0,5.0,0.00064,17.69230769230769,0.018000000000000002
5,10,0.06379999999999998,0.5054666666666667,5.0,5.0,5.0,5.0,5.0,5.0,5.025,5.070422535211266,47.5,5.004863813229573,5.0,5.759926508114728,5.0,0.0638,0.0,5.0,0.0005333333333333334,17.69230769230769,0.020733333333333333
6,12,0.06683809523809522,0.5247238095238096,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.201576576576578,68.75,5.019646365422399,5.016200142772399,5.527510982056437,5.0,0.06076190476190475,0.00015238095238095242,5.0,0.00045714285714285724,17.83482142857143,0.01878095238095238
7,14,0.06911666666666666,0.5391666666666667,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.201576576576578,68.75,5.019646365422399,5.016200142772399,5.527510982056437,5.0,0.058483333333333325,0.0002666666666666667,5.0,0.0004,17.83482142857143,0.017316666666666668
8,16,0.07088888888888888,0.5504000000000002,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.201576576576578,68.75,5.019646365422399,5.016200142772399,5.527510982056437,5.0,0.05671111111111111,0.0003555555555555556,5.0,0.0003555555555555556,17.83482142857143,0.016177777777777777
9,18,0.06805333333333333,0.5315933333333334,5.0,5.217391304347825,5.0,5.0,5.0,5.0,5.02212389380531,5.029411764705882,65.47619047619048,5.0,5.005452562704471,5.5363082039911315,5.0,0.05954666666666666,0.00032,5.0,0.00032,17.44230769230769,0.018000000000000002
10,20,0.06573333333333332,0.5162060606060606,5.0,5.217391304347825,5.0,5.0,5.0,5.0,5.02212389380531,5.029411764705882,65.47619047619048,5.0,5.005452562704471,5.5363082039911315,5.0,0.06186666666666665,0.0002909090909090909,5.0,0.0002909090909090909,17.44230769230769,0.019490909090909087
11,22,0.06379999999999998,0.5033833333333334,5.0,5.217391304347825,5.0,5.0,5.0,5.0,5.02212389380531,5.029411764705882,65.47619047619048,5.0,5.005452562704471,5.5363082039911315,5.0,0.06379999999999998,0.0002666666666666667,5.0,0.0002666666666666667,17.44230769230769,0.02073333333333333
