,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,carts_carts-db,orders_orders-db,queue-master_rabbitmq,shipping_rabbitmq,cartservice_redis-cart,user_user-db
0,2.5,2.5,2.552447552447552,375.0,2.5,2.5116822429906542,2.5,2.5,2.5,2.5063938618925827,2.5,2.8794642857142856,2.5,2.5,0.04253333333333333,0.04253333333333333,0.0,0.0,0.23933333333333334,0.0
1,2.5,2.5,2.552447552447552,375.0,2.5,2.5116822429906542,2.5,2.5,2.5,2.5063938618925827,2.5,2.8794642857142856,2.5,2.5,0.04253333333333333,0.04253333333333333,0.0,0.0,0.23933333333333334,0.0
2,2.5,2.5,2.5,375.0,2.5,2.5,2.5,2.5,2.5,2.5066137566137563,2.5,2.7570093457943923,2.5,2.5,0.03544491706854531,0.03544491706854531,0.0,0.00017778963041980572,0.20362516019586493,0.0069115718825699494
3,2.5,2.5,2.5,375.0,2.5,2.5,2.5,2.5,2.5,2.5066137566137563,2.5,2.7570093457943923,2.5,2.5,0.031900708936151295,0.031900708936151295,0.0,0.0002666844456297086,0.18577107362713072,0.010367357823854924
4,2.5,2.5,2.5,375.0,2.5,2.5,2.5,2.5,2.5,2.5066137566137563,2.5,2.7570093457943923,2.5,2.5,0.029774184056714885,0.029774184056714885,0.0,0.0003200213347556503,0.1750586216858902,0.01244082938862591
5,2.5245098039215685,2.5,2.5314465408805034,375.0,2.5,2.504950495049505,2.5,2.5,2.5,2.5029761904761902,2.5,2.9621848739495804,2.5,2.5,0.03190023637506278,0.03190023637506278,0.0,0.0002666844456297086,0.20660035908217445,0.010367357823854924
6,2.5245098039215685,2.5,2.5314465408805034,375.0,2.5,2.504950495049505,2.5,2.5,2.5,2.5029761904761902,2.5,2.9621848739495804,2.5,2.5,0.033418845173882696,0.033418845173882696,0.0,0.00022858666768260736,0.22913017150809178,0.008886306706161364
7,2.5245098039215685,2.5,2.5314465408805034,375.0,2.5,2.504950495049505,2.5,2.5,2.5,2.5029761904761902,2.5,2.9621848739495804,2.5,2.5,0.03455780177299764,0.03455780177299764,0.0,0.00020001333422228144,0.2460275308275298,0.0077755183678911936
8,2.6052631578947367,2.631578947368421,2.517605633802817,375.0,2.5,2.5,2.5,2.5,2.5,2.510162601626016,2.566371681415929,3.0851063829787235,2.5,2.5,0.033081008983405304,0.033081008983405304,5.925925925925926e-05,0.00017778963041980572,0.24066150888373017,0.009215275586273655
9,2.6052631578947367,2.631578947368421,2.517605633802817,375.0,2.5,2.5,2.5,2.5,2.5,2.510162601626016,2.566371681415929,3.0851063829787235,2.5,2.5,0.03189957475173144,0.03189957475173144,0.00010666666666666667,0.00016001066737782516,0.23636869132869048,0.010367081360979621
10,2.6052631578947367,2.631578947368421,2.517605633802817,375.0,2.5,2.5,2.5,2.5,2.5,2.510162601626016,2.566371681415929,3.0851063829787235,2.5,2.5,0.03093294674399828,0.03093294674399828,0.00014545454545454546,0.00014546424307075015,0.23285638605638528,0.011309467903920867
11,2.5476190476190483,3.4615384615384617,3.377192982456141,475.0,2.857142857142857,2.565502183406113,2.5,2.8125,2.5,2.5221518987341773,2.5396825396825395,4.266666666666667,2.5,2.5,0.03189964562644287,0.03189964562644287,0.00013333333333333334,0.0001333422228148543,0.2439127983294643,0.010367012245260794
12,2.5476190476190483,3.4615384615384617,3.377192982456141,475.0,2.857142857142857,2.565502183406113,2.5,2.8125,2.5,2.5221518987341773,2.5396825396825395,4.266666666666667,2.5,2.5,0.03189964562644287,0.03189964562644287,0.00013333333333333334,0.0001333422228148543,0.254429464996131,0.010367012245260794
13,2.5476190476190483,3.4615384615384617,3.377192982456141,475.0,2.857142857142857,2.565502183406113,2.5,2.8125,2.5,2.5221518987341773,2.5396825396825395,4.266666666666667,2.5,2.5,0.03189964562644287,0.03189964562644287,0.00013333333333333334,0.0001333422228148543,0.2649461316627977,0.010367012245260794
14,2.5520833333333335,2.5,2.5,375.0,2.5,2.5052410901467503,2.5,2.5,2.5,2.5,2.5,2.7272727272727275,2.5,2.5,0.031899527470417646,0.031899527470417646,0.00013333333333333334,0.00013333925965434732,0.27038984161383145,0.010366897052396086
15,2.5520833333333335,2.5,2.5,375.0,2.5,2.5052410901467503,2.5,2.5,2.5,2.5,2.5,2.7272727272727275,2.5,2.5,0.031899409314392425,0.031899409314392425,0.00013333333333333334,0.00013333629649384037,0.2758335515648653,0.010366781859531375
16,2.5520833333333335,2.5,2.5,375.0,2.5,2.5052410901467503,2.5,2.5,2.5,2.5,2.5,2.7272727272727275,2.5,2.5,0.03189929115836721,0.03189929115836721,0.00013333333333333334,0.0001333333333333334,0.28127726151589905,0.010366666666666665
17,2.5277777777777777,2.7272727272727275,2.92,400.0,2.5,2.510548523206751,2.5,2.5,2.5,2.5,2.5,3.8157894736842106,2.5,2.5,0.03189952743891147,0.03189952743891147,0.00013333333333333334,0.0001333333333333334,0.28529039656615496,0.010366666666666665
18,2.5277777777777777,2.7272727272727275,2.92,400.0,2.5,2.510548523206751,2.5,2.5,2.5,2.5,2.5,3.8157894736842106,2.5,2.5,0.03189976371945573,0.03189976371945573,0.00013333333333333334,0.0001333333333333334,0.28930353161641087,0.010366666666666665
19,2.5277777777777777,2.7272727272727275,2.92,400.0,2.5,2.510548523206751,2.5,2.5,2.5,2.5,2.5,3.8157894736842106,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.0001333333333333334,0.2933166666666668,0.010366666666666665
20,2.5240384615384617,2.6190476190476195,2.5170068027210886,375.0,2.5,2.5100401606425704,2.5,2.5,2.5,2.5031969309462916,2.520325203252033,2.8703703703703702,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.0001333333333333334,0.2917222222222223,0.010366666666666665
21,2.5240384615384617,2.6190476190476195,2.5170068027210886,375.0,2.5,2.5100401606425704,2.5,2.5,2.5,2.5031969309462916,2.520325203252033,2.8703703703703702,2.5,2.5,0.03189999999999999,0.03189999999999999,0.00013333333333333334,0.0001333333333333334,0.2901277777777779,0.010366666666666665
