,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,loadgenerator_frontend,unknown_frontend,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,cartservice_redis-cart
0,2.537313432835821,2.5,2.6842105263157894,25.0,2.5,2.5076923076923077,2.5,19.000000000000004,18.895348837209305,2.5,2.5,2.5,2.5277777777777777,2.645348837209302,2.5,2.5,0.1522
1,2.5,2.5,2.601010101010101,33.92857142857143,2.5,2.5,2.5,16.29032258064516,17.666666666666668,2.5,2.5,2.5,2.5,2.5961538461538467,2.5,2.5,0.18016666666666667
2,2.5,2.5,2.601010101010101,33.92857142857143,2.5,2.5,2.5,16.29032258064516,17.666666666666668,2.5,2.5,2.5,2.5,2.5961538461538467,2.5,2.5,0.1894888888888889
3,2.5,2.5,2.601010101010101,33.92857142857143,2.5,2.5,2.5,16.29032258064516,17.666666666666668,2.5,2.5,2.5,2.5,2.5961538461538467,2.5,2.5,0.19415
4,2.5,2.5,2.601010101010101,33.92857142857143,2.5,2.5,2.5,16.29032258064516,17.666666666666668,2.5,2.5,2.5,2.5,2.5961538461538467,2.5,2.5,0.19694666666666666
5,2.5,2.5,2.601010101010101,33.92857142857143,2.5,2.5,2.5,16.29032258064516,17.666666666666668,2.5,2.5,2.5,2.5,2.5961538461538467,2.5,2.5,0.19881111111111108
6,2.5,2.5,2.601010101010101,33.92857142857143,2.5,2.5,2.5,16.29032258064516,17.666666666666668,2.5,2.5,2.5,2.5,2.5961538461538467,2.5,2.5,0.20014285714285712
7,2.5,2.5,2.601010101010101,33.92857142857143,2.5,2.5,2.5,16.29032258064516,17.666666666666668,2.5,2.5,2.5,2.5,2.5961538461538467,2.5,2.5,0.20114166666666664
8,2.5,2.5,2.601010101010101,33.92857142857143,2.5,2.5,2.5,16.29032258064516,17.666666666666668,2.5,2.5,2.5,2.5,2.5961538461538467,2.5,2.5,0.2019185185185185
9,2.5,2.5,2.601010101010101,33.92857142857143,2.5,2.5,2.5,16.29032258064516,17.666666666666668,2.5,2.5,2.5,2.5,2.5961538461538467,2.5,2.5,0.20254
