,Unnamed: 0,carts_carts-db,cartservice_redis-cart,checkoutservice_cartservice,checkoutservice_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,frontend_cartservice,frontend_checkoutservice,frontend_currencyservice,frontend_productcatalogservice,frontend_recommendationservice,frontend_shippingservice,orders_orders-db,queue-master_rabbitmq,recommendationservice_productcatalogservice,shipping_rabbitmq,unknown_frontend,user_user-db
0,0,0.04253049796680222,0.43617092193853735,5.882352941176469,5.0,5.555555555555554,5.0,5.0,5.131578947368421,5.367121507472385,75.00000000000001,5.097996986586123,5.014695538238741,5.958498023715415,5.0,0.04253049796680222,0.0,5.018796992481203,0.0,129.5673076923077,0.03439770681954536
1,2,0.04253049796680222,0.43617092193853735,5.882352941176469,5.0,5.555555555555554,5.0,5.0,5.131578947368421,5.367121507472385,75.00000000000001,5.097996986586123,5.014695538238741,5.958498023715415,5.0,0.04253049796680222,0.0,5.018796992481203,0.0,129.5673076923077,0.03439770681954536
2,4,0.05670922086675704,0.6016917257368027,5.0,5.0,5.0,5.0,5.0,5.0,5.24634275752293,50.0,5.004537205081669,5.005854800936769,5.730263157894736,5.0,0.05670922086675704,0.0,5.0,0.0003555555555555556,137.1559633027523,0.02528736010191913
3,6,0.06379858231673444,0.6844521276359354,5.0,5.0,5.0,5.0,5.0,5.0,5.24634275752293,50.0,5.004537205081669,5.005854800936769,5.730263157894736,5.0,0.06379858231673444,0.0,5.0,0.0005333333333333334,137.1559633027523,0.020732186743106014
4,8,0.06805219918672087,0.7341083687754151,5.0,5.0,5.0,5.0,5.0,5.0,5.24634275752293,50.0,5.004537205081669,5.005854800936769,5.730263157894736,5.0,0.06805219918672087,0.0,5.0,0.00064,137.1559633027523,0.017999082727818146
5,10,0.06379905487782296,0.6911236406461791,5.0,5.0,5.0,5.0,5.0,5.0,5.081487140310671,62.5,5.0,5.01233045622688,5.230677966101695,5.0,0.06379905487782296,0.0,5.0,0.0005333333333333334,120.66326530612244,0.020732568939848452
6,12,0.060761094657181575,0.6604202634110108,5.0,5.0,5.0,5.0,5.0,5.0,5.081487140310671,62.5,5.0,5.01233045622688,5.230677966101695,5.0,0.060761094657181575,0.0,5.0,0.00045714285714285724,120.66326530612244,0.02268505909129867
7,14,0.05848262449170055,0.6373927304846344,5.0,5.0,5.0,5.0,5.0,5.0,5.081487140310671,62.5,5.0,5.01233045622688,5.230677966101695,5.0,0.05848262449170055,0.0,5.0,0.0004,120.66326530612244,0.024149426704886342
8,16,0.0614370371210535,0.6915055708625927,5.0,5.0,5.0,5.0,5.0,5.0,5.041360573128529,38.75000000000001,5.0164609387469135,5.005341880341881,5.453076923076923,5.0,0.0614370371210535,0.00011852642027987049,5.0,0.0003555555555555556,120.1219512195122,0.022251394605364218
9,18,0.06380056722453584,0.7347958431649594,5.0,5.0,5.0,5.0,5.0,5.0,5.041360573128529,38.75000000000001,5.0164609387469135,5.005341880341881,5.453076923076923,5.0,0.06380056722453584,0.00021334755650376686,5.0,0.00032,120.1219512195122,0.02073296892574653
10,20,0.0657343645819305,0.7702151568668958,5.0,5.0,5.0,5.0,5.0,5.0,5.041360573128529,38.75000000000001,5.0164609387469135,5.005341880341881,5.453076923076923,5.0,0.0657343645819305,0.00029092848614150035,5.0,0.0002909090909090909,120.1219512195122,0.01949062064242296
11,22,0.0638007090306698,0.7367118483754602,5.539772727272728,5.1190476190476195,5.0,5.0,5.0,5.0,5.658914728682173,80.0,5.185227272727273,5.003429355281207,6.099706744868034,5.0,0.0638007090306698,0.0002666844456297086,5.0,0.0002666666666666667,136.62790697674419,0.020732877823849825
12,24,0.0638007090306698,0.7310455594613878,5.539772727272728,5.1190476190476195,5.0,5.0,5.0,5.0,5.658914728682173,80.0,5.185227272727273,5.003429355281207,6.099706744868034,5.0,0.0638007090306698,0.0002666844456297086,5.0,0.0002666666666666667,136.62790697674419,0.020732877823849825
13,26,0.0638007090306698,0.7253792705473154,5.539772727272728,5.1190476190476195,5.0,5.0,5.0,5.0,5.658914728682173,80.0,5.185227272727273,5.003429355281207,6.099706744868034,5.0,0.0638007090306698,0.0002666844456297086,5.0,0.0002666666666666667,136.62790697674419,0.020732877823849825
14,28,0.0638007090306698,0.7178348261028709,6.000000000000001,6.25,5.0,5.0,2.5,5.0,6.141732283464568,75.00000000000001,5.084090160032227,5.028097893432466,7.117732558139535,5.409090909090909,0.0638007090306698,0.0002666844456297086,5.0,0.0002666666666666667,144.8170731707317,0.020732877823849825
15,30,0.0638007090306698,0.7102903816584265,6.000000000000001,6.25,5.0,5.0,2.5,5.0,6.141732283464568,75.00000000000001,5.084090160032227,5.028097893432466,7.117732558139535,5.409090909090909,0.0638007090306698,0.0002666844456297086,5.0,0.0002666666666666667,144.8170731707317,0.020732877823849825
16,32,0.0638007090306698,0.702745937213982,6.000000000000001,6.25,5.0,5.0,2.5,5.0,6.141732283464568,75.00000000000001,5.084090160032227,5.028097893432466,7.117732558139535,5.409090909090909,0.0638007090306698,0.0002666844456297086,5.0,0.0002666666666666667,144.8170731707317,0.020732877823849825
17,34,0.0638007090306698,0.7023237149917598,5.0,5.0,5.0,5.0,5.0,5.0,5.294181034482758,62.5,5.0,5.0,5.666579131652661,5.0,0.0638007090306698,0.0002666844456297086,5.0,0.0002666666666666667,119.62616822429906,0.020732877823849825
18,36,0.0638007090306698,0.7019014927695375,5.0,5.0,5.0,5.0,5.0,5.0,5.294181034482758,62.5,5.0,5.0,5.666579131652661,5.0,0.0638007090306698,0.0002666844456297086,5.0,0.0002666666666666667,119.62616822429906,0.020732877823849825
19,38,0.0638007090306698,0.7014792705473154,5.0,5.0,5.0,5.0,5.0,5.0,5.294181034482758,62.5,5.0,5.0,5.666579131652661,5.0,0.0638007090306698,0.0002666844456297086,5.0,0.0002666666666666667,119.62616822429906,0.020732877823849825
