,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,unknown_frontend,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,cartservice_redis-cart
0,2.5,2.5,2.5,31.25,2.5,2.5,2.5,17.32692307692308,2.5,2.5,2.5,2.5,2.6296296296296298,2.5,2.5,0.15786666666666668
1,2.5,2.5,2.5,31.25,2.5,2.5,2.5,17.32692307692308,2.5,2.5,2.5,2.5,2.6296296296296298,2.5,2.5,0.15786666666666668
2,2.5,2.5,2.5,31.25,2.5,2.5,2.5,17.32692307692308,2.5,2.5,2.5,2.5,2.6296296296296298,2.5,2.5,0.15786666666666668
3,2.5,2.5,2.5172413793103448,37.5,2.5,2.5,2.5,17.685950413223143,2.5,2.5,2.5,2.5,2.5854700854700856,2.5,2.5,0.21581666666666666
4,2.5,2.5,2.5172413793103448,37.5,2.5,2.5,2.5,17.685950413223143,2.5,2.5,2.5,2.5,2.5854700854700856,2.5,2.5,0.2505866666666666
5,2.5,2.5,2.5172413793103448,37.5,2.5,2.5,2.5,17.685950413223143,2.5,2.5,2.5,2.5,2.5854700854700856,2.5,2.5,0.27376666666666666
6,2.52212389380531,2.5,2.546875,25.0,2.5,2.5,2.5,17.81779661016949,2.5,2.5,2.5,2.5,2.799145299145299,2.5,2.5,0.25817142857142855
7,2.52212389380531,2.5,2.546875,25.0,2.5,2.5,2.5,17.81779661016949,2.5,2.5,2.5,2.5,2.799145299145299,2.5,2.5,0.246475
8,2.52212389380531,2.5,2.546875,25.0,2.5,2.5,2.5,17.81779661016949,2.5,2.5,2.5,2.5,2.799145299145299,2.5,2.5,0.2373777777777778
9,2.5,3.333333333333334,2.833333333333333,375.0,2.5,2.52125850340136,2.5,18.94230769230769,2.5,2.5,2.513351134846462,2.543859649122807,3.1578947368421058,2.5,2.5,0.24963333333333332
10,2.5,3.333333333333334,2.833333333333333,375.0,2.5,2.52125850340136,2.5,18.94230769230769,2.5,2.5,2.513351134846462,2.543859649122807,3.1578947368421058,2.5,2.5,0.25966060606060604
11,2.5,3.333333333333334,2.833333333333333,375.0,2.5,2.52125850340136,2.5,18.94230769230769,2.5,2.5,2.513351134846462,2.543859649122807,3.1578947368421058,2.5,2.5,0.2680166666666666
12,2.548076923076923,2.6666666666666665,2.701342281879194,392.85714285714283,2.5,2.504664179104477,2.5,19.242424242424242,2.5,2.5,2.5088967971530245,2.519230769230769,2.869565217391304,2.5,2.5,0.2705444444444444
13,2.548076923076923,2.6666666666666665,2.701342281879194,392.85714285714283,2.5,2.504664179104477,2.5,19.242424242424242,2.5,2.5,2.5088967971530245,2.519230769230769,2.869565217391304,2.5,2.5,0.2730722222222222
14,2.548076923076923,2.6666666666666665,2.701342281879194,392.85714285714283,2.5,2.504664179104477,2.5,19.242424242424242,2.5,2.5,2.5088967971530245,2.519230769230769,2.869565217391304,2.5,2.5,0.2756
15,2.566964285714286,2.5,2.5628930817610067,375.0,2.5,2.5043554006968645,2.5,17.926829268292686,2.5,2.5,2.50280583613917,2.5,2.66,2.5,2.5,0.2732333333333334
16,2.566964285714286,2.5,2.5628930817610067,375.0,2.5,2.5043554006968645,2.5,17.926829268292686,2.5,2.5,2.50280583613917,2.5,2.66,2.5,2.5,0.27086666666666664
17,2.566964285714286,2.5,2.5628930817610067,375.0,2.5,2.5043554006968645,2.5,17.926829268292686,2.5,2.5,2.50280583613917,2.5,2.66,2.5,2.5,0.26849999999999996
18,2.5,2.5,2.5331125827814573,375.0,2.5,2.5,2.5,18.01980198019802,2.5,2.5,2.5,2.5,2.5826446280991733,2.5,2.5,0.27375984601026593
19,2.5,2.5,2.5331125827814573,375.0,2.5,2.5,2.5,18.01980198019802,2.5,2.5,2.5,2.5,2.5826446280991733,2.5,2.5,0.2790196920205319
20,2.5,2.5,2.5331125827814573,375.0,2.5,2.5,2.5,18.01980198019802,2.5,2.5,2.5,2.5,2.5826446280991733,2.5,2.5,0.28427953803079786
21,2.5,3.0769230769230766,2.8521126760563376,449.99999999999994,2.5,2.5,2.5,19.609375000000004,2.5,2.5,2.5029002320185616,2.5,3.125,2.5,2.5,0.28180359481976897
22,2.5,3.0769230769230766,2.8521126760563376,449.99999999999994,2.5,2.5,2.5,19.609375000000004,2.5,2.5,2.5029002320185616,2.5,3.125,2.5,2.5,0.2793276516087401
23,2.5,3.0769230769230766,2.8521126760563376,449.99999999999994,2.5,2.5,2.5,19.609375000000004,2.5,2.5,2.5029002320185616,2.5,3.125,2.5,2.5,0.2768517083977112
24,2.5,2.692307692307692,2.6655629139072845,375.0,2.5,2.5044014084507036,2.5,16.94954128440367,2.5,2.5,2.5,2.5,2.725225225225225,2.5,2.5,0.2762572639532668
25,2.5,2.692307692307692,2.6655629139072845,375.0,2.5,2.5044014084507036,2.5,16.94954128440367,2.5,2.5,2.5,2.5,2.725225225225225,2.5,2.5,0.2756628195088223
26,2.5,2.692307692307692,2.6655629139072845,375.0,2.5,2.5044014084507036,2.5,16.94954128440367,2.5,2.5,2.5,2.5,2.725225225225225,2.5,2.5,0.27506837506437787
27,2.52212389380531,3.0555555555555554,2.5775193798449614,400.0,2.5,2.5,2.5,18.42920353982301,2.5,2.5,2.5,2.5,2.7,2.5,2.5,0.2699739306199334
28,2.52212389380531,3.0555555555555554,2.5775193798449614,400.0,2.5,2.5,2.5,18.42920353982301,2.5,2.5,2.5,2.5,2.7,2.5,2.5,0.264879486175489
29,2.52212389380531,3.0555555555555554,2.5775193798449614,400.0,2.5,2.5,2.5,18.42920353982301,2.5,2.5,2.5,2.5,2.7,2.5,2.5,0.25978504173104455
30,2.5,2.5,2.6257861635220126,375.0,2.5,2.5047080979284373,2.5,18.632075471698116,2.5,2.5,2.502808988764045,2.5,2.736220472440945,2.5,2.583333333333334,0.25616964016522303
