,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,loadgenerator_frontend,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,cartservice_redis-cart
0,2.5,2.5,2.5625000000000004,37.50000000000001,2.5,2.5,20.416666666666668,2.5,2.5,2.5,2.5,2.9464285714285716,2.5,2.5,0.1778
1,2.625,3.0000000000000004,2.962962962962963,43.75000000000001,2.5,2.5219298245614037,27.67857142857143,2.5,2.5,2.5,2.5,3.0952380952380953,2.5,2.5,0.21243333333333334
2,2.625,3.0000000000000004,2.962962962962963,43.75000000000001,2.5,2.5219298245614037,27.67857142857143,2.5,2.5,2.5,2.5,3.0952380952380953,2.5,2.5,0.22397777777777775
3,2.625,3.0000000000000004,2.962962962962963,43.75000000000001,2.5,2.5219298245614037,27.67857142857143,2.5,2.5,2.5,2.5,3.0952380952380953,2.5,2.5,0.22974999999999998
4,2.5,2.5,2.5892857142857144,37.50000000000001,2.5,2.520661157024793,20.961538461538467,2.5,2.5,2.5,2.5,2.941176470588235,2.5,2.5,0.20831999999999998
5,2.5,2.5,2.5892857142857144,37.50000000000001,2.5,2.520661157024793,20.961538461538467,2.5,2.5,2.5,2.5,2.941176470588235,2.5,2.5,0.1940333333333333
6,2.5,2.5,2.5892857142857144,37.50000000000001,2.5,2.520661157024793,20.961538461538467,2.5,2.5,2.5,2.5,2.941176470588235,2.5,2.5,0.18382857142857142
7,2.5,,2.5925925925925926,,,2.5,33.333333333333336,,,2.5,2.5,4.464285714285715,,2.5,0.16946666666666665
8,2.5,,2.5925925925925926,,,2.5,33.333333333333336,,,2.5,2.5,4.464285714285715,,2.5,0.15829629629629627
9,2.5,,2.5925925925925926,,,2.5,33.333333333333336,,,2.5,2.5,4.464285714285715,,2.5,0.14936
10,2.5,,2.7500000000000004,,,2.5,1617.6470588235295,,,375.0,375.0,375.0,,2.5,0.14431515151515148
11,2.5,,2.7500000000000004,,,2.5,1617.6470588235295,,,375.0,375.0,375.0,,2.5,0.14011111111111108
12,2.5,,2.7500000000000004,,,2.5,1617.6470588235295,,,375.0,375.0,375.0,,2.5,0.13311666666666663
13,2.5,,2.604166666666667,,,2.5,1450.0000000000002,,,375.0,375.0,375.0,,2.5,0.12978888888888884
14,2.5,,2.604166666666667,,,2.5,1450.0000000000002,,,375.0,375.0,375.0,,2.5,0.12646111111111105
15,2.5,,2.604166666666667,,,2.5,1450.0000000000002,,,375.0,375.0,375.0,,2.5,0.12313333333333328
16,2.5,,2.5925925925925926,,,2.5,1703.125,,,375.0,375.0,375.0,,2.5,0.12063333333333327
17,2.5,,2.5925925925925926,,,2.5,1703.125,,,375.0,375.0,375.0,,2.5,0.11813333333333327
18,2.5,,2.5925925925925926,,,2.5,1703.125,,,375.0,375.0,375.0,,2.5,0.11563333333333327
19,2.5,,2.5,,,2.526315789473684,1321.428571428571,,,375.0,375.0,375.0,,2.5,0.11632222222222216
20,2.5,,2.5,,,2.526315789473684,1321.428571428571,,,375.0,375.0,375.0,,2.5,0.11701111111111105
21,2.5,,2.5,,,2.526315789473684,1321.428571428571,,,375.0,375.0,375.0,,2.5,0.11769999999999993
22,2.5,3.333333333333333,2.6000000000000005,1000.0,2.5,2.5,1882.3529411764707,2.5,,375.0,375.0,375.0,2.5,2.5,0.12193333333333327
23,2.5,3.333333333333333,2.6000000000000005,1000.0,2.5,2.5,1882.3529411764707,2.5,,375.0,375.0,375.0,2.5,2.5,0.12616666666666662
24,2.5,3.333333333333333,2.6000000000000005,1000.0,2.5,2.5,1882.3529411764707,2.5,,375.0,375.0,375.0,2.5,2.5,0.13039999999999996
25,2.5,2.5,2.96875,375.0,2.5,2.5,1803.5714285714287,2.5,375.0,375.0,375.0,375.0,2.5,2.5,0.12944999999999995
26,2.5,2.5,2.96875,375.0,2.5,2.5,1803.5714285714287,2.5,375.0,375.0,375.0,375.0,2.5,2.5,0.12849999999999995
27,2.5,2.5,2.96875,375.0,2.5,2.5,1803.5714285714287,2.5,375.0,375.0,375.0,375.0,2.5,2.5,0.12754999999999994
28,2.5,2.5,2.8125,750.0,2.5,2.5,1421.875,2.5,375.0,375.0,375.0,375.0,2.5,2.5,0.12729999999999994
29,2.5,2.5,2.8125,750.0,2.5,2.5,1421.875,2.5,375.0,375.0,375.0,375.0,2.5,2.5,0.1270499999999999
30,2.5,2.5,2.8125,750.0,2.5,2.5,1421.875,2.5,375.0,375.0,375.0,375.0,2.5,2.5,0.1267999999999999
