,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,unknown_frontend,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,cartservice_redis-cart
0,3.0,3.0,3.0,32.0,3.0,3.008915304606241,3.0,19.63380281690141,3.0,3.0,3.0,3.0,3.0454545454545454,3.0,3.0,0.09033333333333333
1,3.0,3.0,3.0,32.0,3.0,3.008915304606241,3.0,19.63380281690141,3.0,3.0,3.0,3.0,3.0454545454545454,3.0,3.0,0.09033333333333333
2,3.0,3.0,3.0,32.0,3.0,3.008915304606241,3.0,19.63380281690141,3.0,3.0,3.0,3.0,3.0454545454545454,3.0,3.0,0.09033333333333333
3,3.0,3.0,3.0,32.0,3.0,3.010327022375215,3.0,19.719178082191778,3.0,3.0,3.0,3.0205479452054798,3.105633802816902,3.0,2.999999999999999,0.10661666666666667
4,3.0,3.0,3.0,32.0,3.0,3.010327022375215,3.0,19.719178082191778,3.0,3.0,3.0,3.0205479452054798,3.105633802816902,3.0,2.999999999999999,0.11638666666666667
5,3.0,3.0,3.0,32.0,3.0,3.010327022375215,3.0,19.719178082191778,3.0,3.0,3.0,3.0205479452054798,3.105633802816902,3.0,2.999999999999999,0.1229
6,3.0,3.0,3.0,32.5,3.0,3.0,3.0,19.081081081081084,3.0,3.0,3.0,3.0209790209790213,3.1079136690647484,3.0,3.0,0.11968571428571428
7,3.0,3.0,3.0,32.5,3.0,3.0,3.0,19.081081081081084,3.0,3.0,3.0,3.0209790209790213,3.1079136690647484,3.0,3.0,0.117275
8,3.0,3.0,3.0,32.5,3.0,3.0,3.0,19.081081081081084,3.0,3.0,3.0,3.0209790209790213,3.1079136690647484,3.0,3.0,0.1154
9,3.0,3.0,3.0172413793103443,30.000000000000004,3.0,3.0,3.0,18.845161290322583,3.0,3.0,3.0,3.0201342281879198,3.082191780821918,3.0,3.0,0.12162666666666666
10,3.0,3.0,3.0172413793103443,30.000000000000004,3.0,3.0,3.0,18.845161290322583,3.0,3.0,3.0,3.0201342281879198,3.082191780821918,3.0,3.0,0.12672121212121212
11,3.0,3.0,3.0172413793103443,30.000000000000004,3.0,3.0,3.0,18.845161290322583,3.0,3.0,3.0,3.0201342281879198,3.082191780821918,3.0,3.0,0.13096666666666665
12,3.0500000000000003,3.0,3.1569767441860463,31.666666666666668,3.0,3.0,3.0,19.198675496688743,3.0,3.0,3.0,3.0,3.0608108108108105,3.0,3.0,0.12883333333333333
13,3.0500000000000003,3.0,3.1569767441860463,31.666666666666668,3.0,3.0,3.0,19.198675496688743,3.0,3.0,3.0,3.0,3.0608108108108105,3.0,3.0,0.12669999999999998
14,3.0500000000000003,3.0,3.1569767441860463,31.666666666666668,3.0,3.0,3.0,19.198675496688743,3.0,3.0,3.0,3.0,3.0608108108108105,3.0,3.0,0.12456666666666665
15,3.050847457627119,3.0,3.237804878048781,30.000000000000004,3.0,3.0,3.0,19.534246575342465,3.0,3.0,3.0,3.0,3.0999999999999996,3.0,3.0,0.12431666666666664
16,3.050847457627119,3.0,3.237804878048781,30.000000000000004,3.0,3.0,3.0,19.534246575342465,3.0,3.0,3.0,3.0,3.0999999999999996,3.0,3.0,0.12406666666666666
17,3.050847457627119,3.0,3.237804878048781,30.000000000000004,3.0,3.0,3.0,19.534246575342465,3.0,3.0,3.0,3.0,3.0999999999999996,3.0,3.0,0.12381666666666667
18,3.0476190476190474,3.0,3.299999999999999,30.000000000000004,3.0,3.0,3.0,19.53793103448276,3.0,3.0,3.0,3.0,3.1621621621621627,3.0,3.0,0.12211666666666667
19,3.0476190476190474,3.0,3.299999999999999,30.000000000000004,3.0,3.0,3.0,19.53793103448276,3.0,3.0,3.0,3.0,3.1621621621621627,3.0,3.0,0.12041666666666667
20,3.0476190476190474,3.0,3.299999999999999,30.000000000000004,3.0,3.0,3.0,19.53793103448276,3.0,3.0,3.0,3.0,3.1621621621621627,3.0,3.0,0.11871666666666668
21,3.0,3.0,3.1956521739130435,25.0,3.0,3.0,3.0,19.36,3.0,3.0,3.0,3.0,3.198675496688742,3.0,3.0,0.11911111111111113
22,3.0,3.0,3.1956521739130435,25.0,3.0,3.0,3.0,19.36,3.0,3.0,3.0,3.0,3.198675496688742,3.0,3.0,0.11950555555555557
23,3.0,3.0,3.1956521739130435,25.0,3.0,3.0,3.0,19.36,3.0,3.0,3.0,3.0,3.198675496688742,3.0,3.0,0.1199
24,3.0,3.0,3.145945945945946,25.0,3.0,3.0,3.0,19.217105263157894,3.0,3.0,3.0,3.0,3.1824324324324316,3.0,3.0,0.12011111111111111
25,3.0,3.0,3.145945945945946,25.0,3.0,3.0,3.0,19.217105263157894,3.0,3.0,3.0,3.0,3.1824324324324316,3.0,3.0,0.12032222222222222
