,source,destination
0,cartservice,redis-cart
1,checkoutservice,currencyservice
2,unknown,frontend
3,checkoutservice,shippingservice
4,frontend,shippingservice
5,checkoutservice,paymentservice
6,checkoutservice,productcatalogservice
7,checkoutservice,cartservice
8,frontend,cartservice
9,frontend,currencyservice
10,checkoutservice,emailservice
11,frontend,adservice
12,recommendationservice,productcatalogservice
13,frontend,checkoutservice
14,frontend,productcatalogservice
15,frontend,recommendationservice
