,source,destination
0,cartservice,redis-cart
1,checkoutservice,shippingservice
2,checkoutservice,cartservice
3,frontend,cartservice
4,unknown,frontend
5,frontend,recommendationservice
6,frontend,shippingservice
7,checkoutservice,productcatalogservice
8,frontend,currencyservice
9,checkoutservice,emailservice
10,checkoutservice,paymentservice
11,frontend,productcatalogservice
12,recommendationservice,productcatalogservice
13,frontend,adservice
14,frontend,checkoutservice
15,checkoutservice,currencyservice
