,source,destination
0,orders,carts
1,front-end,catalogue
2,catalogue,catalogue-db
3,front-end,orders
4,orders,shipping
5,unknown,shipping
6,orders,user
7,front-end,carts
8,carts,carts-db
9,unknown,front-end
10,orders,orders-db
11,unknown,orders-db
12,orders,payment
13,unknown,payment
14,front-end,user
15,unknown,user
16,unknown,carts
17,queue-master,rabbitmq
18,shipping,rabbitmq
19,user,user-db
20,front-end,orders
21,orders,payment
22,orders,shipping
23,front-end,user
24,orders,user
25,orders,carts
26,front-end,carts
27,front-end,catalogue
