,source,destination
0,orders,orders-db
1,cartservice,redis-cart
2,catalogue,catalogue-db
3,unknown,front-end
4,front-end,orders
5,front-end,user
6,front-end,carts
7,orders,carts
8,orders,payment
9,shipping,rabbitmq
10,user,user-db
11,carts,carts-db
12,front-end,catalogue
13,orders,user
14,queue-master,rabbitmq
15,orders,shipping
16,front-end,carts
17,front-end,catalogue
18,front-end,orders
19,orders,payment
20,orders,shipping
21,front-end,user
22,orders,user
23,orders,carts
