,Unnamed: 0,carts_carts-db,cartservice_redis-cart,catalogue_catalogue-db,front-end_carts,front-end_catalogue,front-end_orders,front-end_user,orders_carts,orders_orders-db,orders_payment,orders_shipping,orders_user,queue-master_rabbitmq,shipping_rabbitmq,unknown_carts,unknown_catalogue,unknown_front-end,unknown_orders,unknown_user,user_user-db
0,0,0.08506666666666667,0.003733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.042533333333333326,0.0,0.0,0.0,0.0010666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0070666666666666655
1,2,0.08506666666666667,0.003733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.042533333333333326,0.0,0.0,0.0,0.0010666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0070666666666666655
2,4,0.07088888888888889,0.003111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.056711111111111115,0.0,0.0,0.0,0.0007111111111111113,0.0,0.0,0.0,0.0,0.0,0.0,0.016177777777777777
3,6,0.0638,0.0027999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0638,0.0,0.0,0.0,0.0005333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.020733333333333333
4,8,0.059546666666666664,0.002613333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06805333333333333,0.0,0.0,0.0,0.00042666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.023466666666666663
5,10,0.0638,0.009955555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0638,0.0,0.0,0.0,0.0003555555555555556,0.00017777777777777779,0.0,0.0,0.0,0.0,0.0,0.020733333333333333
6,12,0.06683809523809524,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.06076190476190475,0.0,0.0,0.0,0.00030476190476190485,0.00030476190476190485,0.0,0.0,0.0,0.0,0.0,0.01878095238095238
7,14,0.06911666666666666,0.019133333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.058483333333333325,0.0,0.0,0.0,0.0002666666666666667,0.0004,0.0,0.0,0.0,0.0,0.0,0.017316666666666668
8,16,0.06616296296296297,0.01721481481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.06143703703703704,0.0,0.0,0.0,0.00023703703703703707,0.0003555555555555556,0.0,0.0,0.0,0.0,0.0,0.019214814814814817
9,18,0.0638,0.015679999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0638,0.0,0.0,0.0,0.00021333333333333336,0.00032,0.0,0.0,0.0,0.0,0.0,0.020733333333333333
10,20,0.06186666666666665,0.01442424242424242,0.0,0.0,0.0,0.0,0.0,0.0,0.06573333333333332,0.0,0.0,0.0,0.00019393939393939398,0.0002909090909090909,0.0,0.0,0.0,0.0,0.0,0.021975757575757572
11,22,0.06379716557821313,0.013533208938646759,0.0,0.0,0.0,0.0,0.0,0.0,0.06379858278910656,0.0,0.0,0.0,0.00026663112532764673,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.020733097871962324
12,24,0.06379433115642633,0.01353308454396019,0.0,0.0,0.0,0.0,0.0,0.0,0.06379716557821313,0.0,0.0,0.0,0.00026659558398862683,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.020732862410591316
13,26,0.06379149673463948,0.01353296014927362,0.0,0.0,0.0,0.0,0.0,0.0,0.06379574836731973,0.0,0.0,0.0,0.0002665600426496069,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.02073262694922031
14,28,0.0637929150797553,0.013533022396394692,0.0,0.0,0.0,0.0,0.0,0.0,0.06379858505755137,0.0,0.0,0.0,0.0002665600426496069,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.02073377407473718
15,30,0.06379433342487113,0.013533084643515762,0.0,0.0,0.0,0.0,0.0,0.0,0.06380142174778304,0.0,0.0,0.0,0.0002665600426496069,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.020734921200254053
16,32,0.06379575176998696,0.013533146890636831,0.0,0.0,0.0,0.0,0.0,0.0,0.0638042584380147,0.0,0.0,0.0,0.0002665600426496069,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.020736068325770924
17,34,0.06379575176998696,0.013533146890636831,0.0,0.0,0.0,0.0,0.0,0.0,0.0638042584380147,0.0,0.0,0.0,0.0002665600426496069,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.020736068325770924
18,36,0.06379575176998696,0.013533146890636831,0.0,0.0,0.0,0.0,0.0,0.0,0.0638042584380147,0.0,0.0,0.0,0.0002665600426496069,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.020736068325770924
19,38,0.06379575176998696,0.013533146890636831,0.0,0.0,0.0,0.0,0.0,0.0,0.0638042584380147,0.0,0.0,0.0,0.0002665600426496069,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.020736068325770924
20,40,0.06379433455909354,0.013533084693293548,0.0,0.0,0.0,0.0,0.0,0.0,0.06380142401622786,0.0,0.0,0.0,0.0002665600426496069,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.02073492211758753
21,42,0.06379291734820013,0.013533022495950264,0.0,0.0,0.0,0.0,0.0,0.0,0.06379858959444104,0.0,0.0,0.0,0.0002665600426496069,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.020733775909404138
22,44,0.06379150013730671,0.013532960298606978,0.0,0.0,0.0,0.0,0.0,0.0,0.06379575517265419,0.0,0.0,0.0,0.0002665600426496069,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.02073262970122074
