,source,destination
0,front-end,carts
1,front-end,orders
2,queue-master,rabbitmq
3,orders,user
4,orders,carts
5,carts,carts-db
6,front-end,catalogue
7,catalogue,catalogue-db
8,shipping,rabbitmq
9,front-end,user
10,unknown,front-end
11,orders,orders-db
12,orders,payment
13,user,user-db
14,unknown,rabbitmq
15,orders,shipping
16,front-end,catalogue
17,front-end,orders
18,orders,payment
19,orders,shipping
20,front-end,user
21,orders,user
22,orders,carts
23,front-end,carts
