,front-end_carts,orders_carts,unknown_carts,carts_carts-db,front-end_catalogue,unknown_catalogue,catalogue_catalogue-db,unknown_front-end,front-end_orders,unknown_orders,orders_orders-db,orders_payment,queue-master_rabbitmq,shipping_rabbitmq,cartservice_redis-cart,orders_shipping,front-end_user,orders_user,unknown_user,user_user-db
0,0.0,0.0,0.0,0.04253333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.021266666666666666,0.0,0.0005333333333333334,0.0,0.0018666666666666666,0.0,0.0,0.0,0.0,0.003533333333333333
1,0.0,0.0,0.0,0.04253333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.021266666666666666,0.0,0.0005333333333333334,0.0,0.0018666666666666666,0.0,0.0,0.0,0.0,0.003533333333333333
2,0.0,0.0,0.0,0.035444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.028355555555555554,0.0,0.00035555555555555557,0.0,0.0015555555555555555,0.0,0.0,0.0,0.0,0.008088888888888889
3,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,0.0,0.0319,0.0,0.0002666666666666667,0.0,0.0013999999999999998,0.0,0.0,0.0,0.0,0.010366666666666666
4,0.0,0.0,0.0,0.02977333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.03402666666666666,0.0,0.00021333333333333333,0.0,0.0013066666666666665,0.0,0.0,0.0,0.0,0.011733333333333333
5,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,0.0,0.0319,0.0,0.00017777777777777779,8.888888888888889e-05,0.004977777777777777,0.0,0.0,0.0,0.0,0.010366666666666666
6,0.0,0.0,0.0,0.03341904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.030380952380952377,0.0,0.0001523809523809524,0.0001523809523809524,0.0076,0.0,0.0,0.0,0.0,0.00939047619047619
7,0.0,0.0,0.0,0.03455833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.029241666666666662,0.0,0.00013333333333333334,0.0002,0.009566666666666666,0.0,0.0,0.0,0.0,0.008658333333333334
8,0.0,0.0,0.0,0.033081481481481476,0.0,0.0,0.0,0.0,0.0,0.0,0.030718518518518517,0.0,0.00011851851851851852,0.00017777777777777779,0.008607407407407406,0.0,0.0,0.0,0.0,0.009607407407407407
9,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,0.0,0.0319,0.0,0.00010666666666666667,0.00016,0.007839999999999998,0.0,0.0,0.0,0.0,0.010366666666666666
10,0.0,0.0,0.0,0.030933333333333327,0.0,0.0,0.0,0.0,0.0,0.0,0.03286666666666666,0.0,9.696969696969698e-05,0.00014545454545454546,0.0072121212121212105,0.0,0.0,0.0,0.0,0.010987878787878786
11,0.0,0.0,0.0,0.03189858278910657,0.0,0.0,0.0,0.0,0.0,0.0,0.03189929139455328,0.0,0.00013331556266382336,0.00013333333333333334,0.00676660446932338,0.0,0.0,0.0,0.0,0.010366548935981162
12,0.0,0.0,0.0,0.031897165578213156,0.0,0.0,0.0,0.0,0.0,0.0,0.03189858278910657,0.0,0.0001332977919943134,0.00013333333333333334,0.006766542271980095,0.0,0.0,0.0,0.0,0.010366431205295658
13,0.0,0.0,0.0,0.03189574836731974,0.0,0.0,0.0,0.0,0.0,0.0,0.031897874183659865,0.0,0.00013328002132480344,0.00013333333333333334,0.00676648007463681,0.0,0.0,0.0,0.0,0.010366313474610154
14,0.0,0.0,0.0,0.03189645753987765,0.0,0.0,0.0,0.0,0.0,0.0,0.03189929252877569,0.0,0.00013328002132480344,0.00013333333333333334,0.006766511198197346,0.0,0.0,0.0,0.0,0.01036688703736859
15,0.0,0.0,0.0,0.031897166712435567,0.0,0.0,0.0,0.0,0.0,0.0,0.03190071087389152,0.0,0.00013328002132480344,0.00013333333333333334,0.006766542321757881,0.0,0.0,0.0,0.0,0.010367460600127026
16,0.0,0.0,0.0,0.03189787588499348,0.0,0.0,0.0,0.0,0.0,0.0,0.03190212921900735,0.0,0.00013328002132480344,0.00013333333333333334,0.006766573445318416,0.0,0.0,0.0,0.0,0.010368034162885462
17,0.0,0.0,0.0,0.03189787588499348,0.0,0.0,0.0,0.0,0.0,0.0,0.03190212921900735,0.0,0.00013328002132480344,0.00013333333333333334,0.006766573445318416,0.0,0.0,0.0,0.0,0.010368034162885462
18,0.0,0.0,0.0,0.03189787588499348,0.0,0.0,0.0,0.0,0.0,0.0,0.03190212921900735,0.0,0.00013328002132480344,0.00013333333333333334,0.006766573445318416,0.0,0.0,0.0,0.0,0.010368034162885462
19,0.0,0.0,0.0,0.03189787588499348,0.0,0.0,0.0,0.0,0.0,0.0,0.03190212921900735,0.0,0.00013328002132480344,0.00013333333333333334,0.006766573445318416,0.0,0.0,0.0,0.0,0.010368034162885462
20,0.0,0.0,0.0,0.03189716727954677,0.0,0.0,0.0,0.0,0.0,0.0,0.03190071200811393,0.0,0.00013328002132480344,0.00013333333333333334,0.006766542346646774,0.0,0.0,0.0,0.0,0.010367461058793765
21,0.0,0.0,0.0,0.03189645867410006,0.0,0.0,0.0,0.0,0.0,0.0,0.031899294797220513,0.0,0.00013328002132480344,0.00013333333333333334,0.006766511247975132,0.0,0.0,0.0,0.0,0.010366887954702067
22,0.0,0.0,0.0,0.031895750068653354,0.0,0.0,0.0,0.0,0.0,0.0,0.031897877586327096,0.0,0.00013328002132480344,0.00013333333333333334,0.006766480149303489,0.0,0.0,0.0,0.0,0.01036631485061037
23,0.0,0.0,0.0,0.0318985856246626,0.0,0.0,0.0,0.0,0.0,0.0,0.03189929536433172,0.0,0.0001333155768860479,0.00013333333333333334,0.006877760167108292,0.0,0.0,0.0,0.0,0.010366550406203615
24,0.0,0.0,0.0,0.031901421180671845,0.0,0.0,0.0,0.0,0.0,0.0,0.03190071314233634,0.0,0.00013335113244729234,0.00013333333333333334,0.006989040184913094,0.0,0.0,0.0,0.0,0.010366785961796859
25,0.0,0.0,0.0,0.03190425673668109,0.0,0.0,0.0,0.0,0.0,0.0,0.031902130920340964,0.0,0.00013338668800853677,0.00013333333333333334,0.007100320202717896,0.0,0.0,0.0,0.0,0.010367021517390102
26,0.0,0.0,0.0,0.031903547564123176,0.0,0.0,0.0,0.0,0.0,0.0,0.031900712575225136,0.0,0.00013338668800853677,0.00013333333333333334,0.00710028907915736,0.0,0.0,0.0,0.0,0.010366447954631665
27,0.0,0.0,0.0,0.03190283839156526,0.0,0.0,0.0,0.0,0.0,0.0,0.03189929423010931,0.0,0.00013338668800853677,0.00013333333333333334,0.007100257955596825,0.0,0.0,0.0,0.0,0.010365874391873229
28,0.0,0.0,0.0,0.03190212921900735,0.0,0.0,0.0,0.0,0.0,0.0,0.03189787588499348,0.0,0.00013338668800853677,0.00013333333333333334,0.007100226832036289,0.0,0.0,0.0,0.0,0.010365300829114793
29,0.0,0.0,0.0,0.03190212921900735,0.0,0.0,0.0,0.0,0.0,0.0,0.03189787588499348,0.0,0.00013338668800853677,0.00013333333333333334,0.007100226832036289,0.0,0.0,0.0,0.0,0.010365300829114793
30,0.0,0.0,0.0,0.03190212921900735,0.0,0.0,0.0,0.0,0.0,0.0,0.03189787588499348,0.0,0.00013338668800853677,0.00013333333333333334,0.007100226832036289,0.0,0.0,0.0,0.0,0.010365300829114793
