,front-end_carts,orders_carts,front-end_catalogue,front-end_orders,orders_payment,orders_shipping,carts_carts-db,catalogue_catalogue-db,orders_orders-db,queue-master_rabbitmq,shipping_rabbitmq,user_user-db
0,4.262820512820513,2.7439024390243905,2.5,17.5,2.5568181818181817,2.5,13.577333333333334,17.264933333333335,0.26253333333333334,0.9930666666666668,0.0,16.76366666666667
1,4.262820512820513,2.7439024390243905,2.5,17.5,2.5568181818181817,2.5,13.577333333333334,17.264933333333335,0.26253333333333334,0.9930666666666668,0.0,16.76366666666667
2,4.262820512820513,2.7439024390243905,2.5,17.5,2.5568181818181817,2.5,13.577333333333334,17.264933333333335,0.26253333333333334,0.9930666666666669,0.0,16.76366666666667
3,4.027777777777779,2.5,2.5,16.976744186046513,2.5,2.5,12.002283333333333,15.197450000000002,0.23221666666666668,0.8822333333333334,0.00013333333333333334,21.178500000000003
4,4.027777777777779,2.5,2.5,16.976744186046513,2.5,2.5,11.057253333333332,13.95696,0.21402666666666667,0.8157333333333334,0.00021333333333333333,23.827400000000004
5,4.027777777777779,2.5,2.5,16.976744186046513,2.5,2.5,10.427233333333332,13.129966666666668,0.2019,0.7714,0.0002666666666666667,25.593333333333334
6,4.104938271604938,2.5,2.5,17.142857142857142,2.5,2.5,10.865009523809523,13.646695238095239,0.20884761904761903,0.7904,0.0002285714285714286,24.36904761904762
7,4.104938271604938,2.5,2.5,17.142857142857142,2.5,2.5,11.193341666666665,14.034241666666668,0.21405833333333332,0.80465,0.0002,23.450833333333335
8,4.104938271604938,2.5,2.5,17.142857142857142,2.5,2.5,11.448711111111109,14.335666666666668,0.2181111111111111,0.8157333333333333,0.00017777777777777779,22.736666666666668
9,4.291044776119403,2.569444444444445,2.5,21.250000000000004,2.5,2.5,11.026419999999998,13.778113333333334,0.21002666666666667,0.78204,0.00016,23.43670666666667
10,4.291044776119403,2.569444444444445,2.5,21.250000000000004,2.5,2.5,10.68090909090909,13.321933333333334,0.2034121212121212,0.7544727272727272,0.00014545454545454546,24.009466666666672
11,4.291044776119403,2.569444444444445,2.5,21.250000000000004,2.5,2.5,10.392983333333333,12.941783333333333,0.1979,0.7314999999999999,0.00013333333333333334,24.48676666666667
12,4.35,2.5862068965517246,2.5847457627118646,375.0,375.0,2.5,10.024305555555555,12.485483333333333,0.19156666666666666,0.7048999999999999,0.00013333333333333334,24.08191666666667
13,4.35,2.5862068965517246,2.5847457627118646,375.0,375.0,2.5,9.655627777777779,12.02918333333333,0.18523333333333333,0.6782999999999998,0.00013333333333333334,23.677066666666672
14,4.35,2.5862068965517246,2.5847457627118646,375.0,375.0,2.5,9.286950000000003,11.57288333333333,0.17889999999999998,0.6516999999999998,0.00013333333333333334,23.27221666666667
15,4.230769230769231,2.7884615384615388,2.5454545454545454,375.0,375.0,2.5,9.049516666666667,11.29318333333333,0.17523333333333332,0.6324888888888888,0.00013333333333333334,22.213038888888892
16,4.230769230769231,2.7884615384615388,2.5454545454545454,375.0,375.0,2.5,8.812083333333334,11.013483333333328,0.17156666666666665,0.6132777777777777,0.00013333333333333334,21.153861111111116
17,4.230769230769231,2.7884615384615388,2.5454545454545454,375.0,375.0,2.5,8.57465,10.733783333333328,0.16789999999999997,0.5940666666666666,0.00013333333333333334,20.09468333333334
18,4.471153846153847,2.5,2.5396825396825395,375.0,375.0,2.5,8.196916666666667,10.28014444444444,0.16289999999999996,0.5704222222222222,0.00013333333333333334,19.59994444444445
19,4.471153846153847,2.5,2.5396825396825395,375.0,375.0,2.5,7.819183333333334,9.826505555555551,0.15789999999999996,0.5467777777777777,0.00013333333333333334,19.10520555555556
20,4.471153846153847,2.5,2.5396825396825395,375.0,375.0,2.5,7.441450000000001,9.372866666666662,0.15289999999999995,0.5231333333333333,0.00013333333333333334,18.61046666666667
21,5.294117647058823,2.5,2.5,375.0,375.0,2.5,7.230705555555556,9.133988888888885,0.14956666666666663,0.5142666666666666,0.00013333333333333334,18.080811111111117
22,5.294117647058823,2.5,2.5,375.0,375.0,2.5,7.019961111111111,8.895111111111108,0.1462333333333333,0.5054,0.00013333333333333334,17.551155555555564
23,5.294117647058823,2.5,2.5,375.0,375.0,2.5,6.809216666666665,8.656233333333331,0.14289999999999994,0.4965333333333333,0.00013333333333333334,17.021500000000007
24,5.625000000000002,2.661290322580645,2.5,375.0,375.0,2.5,6.8383055555555545,8.647499999999997,0.14289999999999994,0.4921,0.00013333333333333334,17.024761111111122
25,5.625000000000002,2.661290322580645,2.5,375.0,375.0,2.5,6.867394444444444,8.638766666666664,0.14289999999999994,0.48766666666666664,0.00013333333333333334,17.028022222222233
26,5.625000000000002,2.661290322580645,2.5,375.0,375.0,2.5,6.896483333333333,8.630033333333332,0.14289999999999994,0.48323333333333324,0.00013333333333333334,17.031283333333345
27,5.490196078431373,2.5892857142857144,2.5,375.0,375.0,2.5,6.891811111111111,8.669733333333332,0.14189999999999994,0.48175555555555544,0.00013333333333333334,17.133250000000015
28,5.490196078431373,2.5892857142857144,2.5,375.0,375.0,2.5,6.887138888888889,8.709433333333331,0.14089999999999994,0.4802777777777776,0.00013333333333333334,17.23521666666668
29,5.490196078431373,2.5892857142857144,2.5,375.0,375.0,2.5,6.882466666666667,8.749133333333331,0.13989999999999994,0.4787999999999997,0.00013333333333333334,17.337183333333346
30,5.454545454545455,2.5892857142857144,2.5,375.0,375.0,2.5,6.911227777777778,8.752338888888886,0.1402333333333333,0.48175555555555527,0.00013333333333333334,17.31400555555557
