,Unnamed: 0,carts_carts-db,catalogue_catalogue-db,front-end_carts,front-end_catalogue,front-end_orders,front-end_user,orders_carts,orders_orders-db,orders_payment,orders_shipping,orders_user,queue-master_rabbitmq,shipping_rabbitmq,unknown_carts,unknown_catalogue,unknown_front-end,unknown_orders,unknown_user,user_user-db
0,0,0.042533333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.042533333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070666666666666655
1,2,0.0638,0.0,0.0,0.0,0.0,0.0,0.0,0.0638,0.0,0.0,0.0,0.0,0.0005333333333333334,0.0,0.0,0.0,0.0,0.0,0.020733333333333333
2,4,0.07088888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.07088888888888889,0.0,0.0,0.0,0.0,0.0007111111111111113,0.0,0.0,0.0,0.0,0.0,0.02528888888888889
3,6,0.07443333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.07443333333333334,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.027566666666666663
4,8,0.06805333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06805333333333333,0.0,0.0,0.0,0.0,0.00064,0.0,0.0,0.0,0.0,0.0,0.023466666666666663
5,10,0.0638,0.0,0.0,0.0,0.0,0.0,0.0,0.0638,0.0,0.0,0.0,0.0,0.0005333333333333334,0.0,0.0,0.0,0.0,0.0,0.020733333333333333
6,12,0.06076190476190475,0.0,0.0,0.0,0.0,0.0,0.0,0.06076190476190475,0.0,0.0,0.0,0.0,0.00045714285714285724,0.0,0.0,0.0,0.0,0.0,0.01878095238095238
7,14,0.0638,0.0,0.0,0.0,0.0,0.0,0.0,0.0638,0.0,0.0,0.0,0.00013333333333333334,0.0004,0.0,0.0,0.0,0.0,0.0,0.020733333333333333
8,16,0.06616296296296297,0.0,0.0,0.0,0.0,0.0,0.0,0.06616296296296297,0.0,0.0,0.0,0.00023703703703703707,0.0003555555555555556,0.0,0.0,0.0,0.0,0.0,0.022251851851851846
9,18,0.06805333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06805333333333333,0.0,0.0,0.0,0.00032,0.00032,0.0,0.0,0.0,0.0,0.0,0.023466666666666663
10,20,0.06573333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.06573333333333332,0.0,0.0,0.0,0.0002909090909090909,0.0002909090909090909,0.0,0.0,0.0,0.0,0.0,0.021975757575757572
11,22,0.06379999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.06379999999999998,0.0,0.0,0.0,0.0002666666666666667,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.02073333333333333
12,24,0.06379999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.06379999999999998,0.0,0.0,0.0,0.0002666666666666667,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.02073333333333333
13,26,0.6997055555555556,0.0,7.096847979797982,2.7,0.0,375.0,2.50475,0.06379999999999998,0.0,0.0,0.0,0.0002666666666666667,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.03439999999999999
14,28,1.335611111111111,0.0,7.10278686868687,2.7,0.0,375.0,2.5095,0.06379999999999998,0.0,0.0,0.0,0.0002666666666666667,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.04806666666666666
15,30,1.9715166666666666,0.0,7.108725757575759,2.7,0.0,375.0,2.51425,0.06379999999999998,0.0,0.0,0.0,0.0002666666666666667,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.061733333333333335
16,32,6.384727777777776,7.618811111111112,5.622786337054759,5.637100970873787,375.42912222222225,377.3413611111111,2.7962179317931795,0.12513333333333332,2.5479777777777777,2.656633333333333,375.52215555555557,0.11257777777777779,0.0002666666666666667,0.0,0.0,49.0077388888889,0.0,0.0,9.379833333333332
