Thu Sep 17 16:27:45 2020,adservice,0:00:05.099713
Thu Sep 17 16:28:44 2020,adservice,0:00:49.457401
Thu Sep 17 16:42:14 2020,carts,0:00:17.336738
Thu Sep 17 16:51:05 2020,carts,0:00:00
Thu Sep 17 17:01:30 2020,carts,0:00:17.496612
Thu Sep 17 17:09:25 2020,carts,0:00:03.458546
Thu Sep 17 17:13:29 2020,shipping,0:00:06.515544
Thu Sep 17 17:18:24 2020,user,0:00:58.301814
Thu Sep 17 17:21:49 2020,catalogue,0:00:06.800029
Thu Sep 17 17:25:12 2020,orders,0:00:04.497669
Thu Sep 17 17:30:09 2020,payment,0:01:00.760091
