,front-end_carts,orders_carts,unknown_carts,carts_carts-db,front-end_catalogue,unknown_catalogue,catalogue_catalogue-db,unknown_front-end,front-end_orders,unknown_orders,orders_orders-db,orders_payment,queue-master_rabbitmq,shipping_rabbitmq,orders_shipping,front-end_user,orders_user,unknown_user,user_user-db
0,0.0,0.0,0.0,0.04253333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.021266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.04253333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.021266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.04253333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.021266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.05316666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.026583333333333334,0.0,0.00013333333333333334,0.0,0.0,0.0,0.0,0.0,0.005183333333333333
4,0.0,0.0,0.0,0.05954666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.029773333333333336,0.0,0.00021333333333333333,0.0,0.0,0.0,0.0,0.0,0.008293333333333333
5,0.0,0.0,0.0,0.06380000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.031900000000000005,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.010366666666666666
6,0.0,0.0,0.0,0.06076190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.03038095238095238,0.0,0.0002285714285714286,0.0,0.0,0.0,0.0,0.0,0.008885714285714285
7,0.0,0.0,0.0,0.05848333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.029241666666666666,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.007775
8,0.0,0.0,0.0,0.05671111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.028355555555555554,0.0,0.00017777777777777779,0.0,0.0,0.0,0.0,0.0,0.006911111111111111
9,0.0,0.034973333333333335,0.0,0.09876666666666667,0.0,0.0,0.06976666666666667,0.45700666666666667,0.0,0.0,0.032973333333333334,0.0,0.00016,5.333333333333333e-05,0.010159999999999999,0.0,0.006946666666666666,0.0,0.07888666666666667
10,0.0,0.06358787878787879,0.0,0.1331757575757576,0.0,0.0,0.12684848484848485,0.8309212121212121,0.0,0.0,0.03675151515151515,0.0,0.00014545454545454546,9.696969696969698e-05,0.018472727272727273,0.0,0.01263030303030303,0.0,0.13777575757575758
11,0.0,0.08743333333333332,0.0,0.16185000000000002,0.0,0.0,0.17441666666666666,1.1425166666666666,0.0,0.0,0.0399,0.0,0.00013333333333333334,0.00013333333333333334,0.025399999999999995,0.0,0.017366666666666666,0.0,0.18685
12,0.3663166666666667,0.33556111111111103,0.0,2.418816666666667,2.1352166666666665,0.0,2.6084,40.19625,0.6456944444444445,0.0,0.0749,0.10937777777777778,0.09766666666666668,0.00013333333333333334,0.24835555555555558,2.347577777777778,0.8375555555555555,0.0,5.775566666666667
13,0.7326333333333334,0.5836888888888888,0.0,4.675783333333333,4.270433333333333,0.0,5.042383333333333,79.24998333333333,1.291388888888889,0.0,0.10989999999999998,0.21875555555555556,0.19520000000000004,0.00013333333333333334,0.4713111111111112,4.695155555555556,1.6577444444444442,0.0,11.364283333333335
14,1.09895,0.8318166666666666,0.0,6.9327499999999995,6.405649999999999,0.0,7.476366666666666,118.30371666666666,1.937083333333333,0.0,0.14489999999999997,0.32813333333333333,0.29273333333333335,0.00013333333333333334,0.6942666666666667,7.0427333333333335,2.477933333333333,0.0,16.953000000000003
15,1.6830166666666668,1.1082444444444444,0.0,10.878683333333333,10.299488888888888,0.0,12.437277777777778,189.28075555555554,2.912783333333333,0.0,0.20156666666666664,0.4679555555555555,0.5734666666666667,0.00013333333333333334,0.8833555555555557,10.84765,3.551138888888889,0.0,25.37947777777778
16,2.2670833333333333,1.384672222222222,0.0,14.824616666666664,14.193327777777776,0.0,17.39818888888889,260.2577944444444,3.888483333333333,0.0,0.25823333333333326,0.6077777777777778,0.8542000000000001,0.00013333333333333334,1.0724444444444445,14.652566666666665,4.624344444444445,0.0,33.805955555555556
17,2.85115,1.6611,0.0,18.770549999999997,18.087166666666665,0.0,22.3591,331.2348333333333,4.864183333333332,0.0,0.3148999999999999,0.7475999999999999,1.1349333333333333,0.00013333333333333334,1.2615333333333336,18.457483333333332,5.69755,0.0,42.23243333333333
18,3.16165,1.8488222222222221,0.0,20.986011111111107,19.976883333333333,0.0,24.845988888888893,366.97776666666664,5.631444444444444,0.0,0.3442333333333332,0.9495444444444444,1.284188888888889,0.00013333333333333334,1.4520333333333335,20.960755555555554,6.641683333333333,0.0,48.81064444444445
19,3.4721499999999996,2.0365444444444445,0.0,23.201472222222222,21.866600000000002,0.0,27.33287777777778,402.7207,6.398705555555555,0.0,0.3735666666666666,1.151488888888889,1.4334444444444445,0.00013333333333333334,1.6425333333333336,23.464027777777776,7.585816666666666,0.0,55.38885555555556
20,3.78265,2.2242666666666664,0.0,25.416933333333333,23.756316666666667,0.0,29.81976666666667,438.46363333333335,7.165966666666666,0.0,0.4029,1.3534333333333333,1.5827,0.00013333333333333334,1.8330333333333337,25.967299999999998,8.52995,0.0,61.967066666666675
21,4.043177777777777,2.436611111111111,0.0,28.968961111111113,27.142277777777778,0.0,33.995155555555556,498.08492777777775,7.836588888888888,0.0,0.4532333333333333,1.4929,1.8206222222222221,0.00013333333333333334,1.964266666666667,28.661516666666667,9.594594444444445,0.0,69.08226666666667
