,source,destination
0,orders,carts
1,orders,payment
2,shipping,rabbitmq
3,orders,shipping
4,carts,carts-db
5,front-end,catalogue
6,unknown,front-end
7,unknown,orders
8,orders,orders-db
9,front-end,user
10,unknown,user
11,user,user-db
12,front-end,carts
13,unknown,carts
14,queue-master,rabbitmq
15,orders,user
16,unknown,catalogue
17,catalogue,catalogue-db
18,front-end,orders
19,front-end,orders
20,orders,payment
21,orders,shipping
22,front-end,user
23,orders,user
24,orders,carts
25,front-end,carts
26,front-end,catalogue
