,front-end_carts,orders_carts,carts_carts-db,front-end_catalogue,catalogue_catalogue-db,unknown_front-end,front-end_orders,orders_orders-db,orders_payment,queue-master_rabbitmq,shipping_rabbitmq,orders_shipping,front-end_user,orders_user,user_user-db
0,4.463066666666666,2.789266666666667,49.7266,43.00926666666667,54.71646666666667,789.5615333333333,7.170133333333333,0.7465333333333333,1.472,3.0678666666666667,0.0005333333333333334,2.1336,39.97726666666667,15.000466666666668,95.93666666666667
1,4.463066666666666,2.789266666666667,49.7266,43.00926666666667,54.71646666666667,789.5615333333333,7.170133333333333,0.7465333333333333,1.472,3.0678666666666667,0.0005333333333333334,2.1336,39.97726666666667,15.000466666666668,95.93666666666667
2,4.224644444444444,2.6305777777777775,41.2538,35.458444444444446,45.54513333333333,639.2161333333332,6.827000000000001,0.5887777777777777,1.4304444444444444,2.4708444444444444,0.00035555555555555557,2.0489333333333333,33.9926,12.461977777777777,84.38148888888888
3,4.105433333333333,2.5512333333333332,37.017399999999995,31.683033333333334,40.95946666666667,564.0434333333333,6.655433333333334,0.5099,1.4096666666666666,2.1723333333333334,0.0002666666666666667,2.0065999999999997,31.000266666666672,11.192733333333333,78.6039
4,4.033906666666667,2.5036266666666664,34.475559999999994,29.417786666666665,38.208066666666674,518.9398133333333,6.5524933333333335,0.4625733333333334,1.3972,1.9932266666666667,0.00021333333333333333,1.9811999999999999,29.204866666666668,10.431186666666665,75.13734666666667
5,3.854477777777778,2.3897333333333335,33.75597777777777,29.675877777777774,36.58853333333334,522.9896222222222,6.599811111111111,0.4779,1.4415777777777778,1.9831777777777777,0.00017777777777777779,1.8796,28.682366666666667,10.276355555555556,71.96768888888889
6,3.726314285714286,2.308380952380952,33.24199047619047,29.860228571428568,35.43172380952382,525.8823428571428,6.633609523809524,0.4888476190476191,1.4732761904761904,1.9759999999999998,0.0001523809523809524,1.8070285714285714,28.30915238095238,10.165761904761904,69.70364761904762
7,3.630191666666667,2.2473666666666663,32.8565,29.998491666666663,34.56411666666667,528.0518833333333,6.658958333333333,0.4970583333333334,1.49705,1.9706166666666665,0.00013333333333333334,1.7526000000000002,28.029241666666664,10.082816666666666,68.00561666666667
8,3.5556000000000005,2.214407407407407,32.098192592592596,28.330007407407404,33.81877037037037,497.84226666666666,6.471962962962962,0.4624148148148149,1.4246518518518518,1.8698814814814813,0.00011851851851851852,1.730962962962963,27.466377777777776,9.683814814814815,66.26711851851853
9,3.495926666666667,2.1880399999999995,31.49154666666667,26.995219999999996,33.22249333333333,473.67457333333334,6.322366666666666,0.43470000000000014,1.3667333333333334,1.7892933333333332,0.00010666666666666667,1.7136533333333333,27.016086666666666,9.364613333333333,64.87632
